# units: hostId; total_energy(Wh)
5770;h_11;11;0.0000
5770;h_10;10;0.0000
5770;h_9;9;192.5045
5770;h_8;8;0.0000
5770;h_7;7;0.0000
5770;h_6;6;192.5169
5770;h_5;5;0.0000
5770;h_4;4;0.0000
5770;h_3;3;192.5185
5770;h_2;2;0.0000
5770;h_1;1;0.0000
5770;h_0;0;192.5000
TOTAL;;;770.0400
5770;h_11;11;0.0000
5770;h_10;10;0.0000
5770;h_9;9;192.5045
5770;h_8;8;0.0000
5770;h_7;7;0.0000
5770;h_6;6;192.5169
5770;h_5;5;0.0000
5770;h_4;4;0.0000
5770;h_3;3;192.5185
5770;h_2;2;0.0000
5770;h_1;1;0.0000
5770;h_0;0;192.5000
TOTAL;;;770.0400
5770;h_11;11;0.0000
5770;h_10;10;0.0000
5770;h_9;9;192.5045
5770;h_8;8;0.0000
5770;h_7;7;0.0000
5770;h_6;6;192.5169
5770;h_5;5;0.0000
5770;h_4;4;0.0000
5770;h_3;3;192.5185
5770;h_2;2;0.0000
5770;h_1;1;0.0000
5770;h_0;0;192.5000
TOTAL;;;770.0400
6442;h_11;11;0.0000
6442;h_10;10;0.0000
6442;h_9;9;214.9245
6442;h_8;8;0.0000
6442;h_7;7;0.0000
6442;h_6;6;214.9383
6442;h_5;5;0.0000
6442;h_4;4;0.0000
6442;h_3;3;214.9401
6442;h_2;2;0.0000
6442;h_1;1;0.0000
6442;h_0;0;214.9195
TOTAL;;;859.7224
6442;h_11;11;0.0000
6442;h_10;10;0.0000
6442;h_9;9;214.9245
6442;h_8;8;0.0000
6442;h_7;7;0.0000
6442;h_6;6;214.9383
6442;h_5;5;0.0000
6442;h_4;4;0.0000
6442;h_3;3;214.9401
6442;h_2;2;0.0000
6442;h_1;1;0.0000
6442;h_0;0;214.9195
TOTAL;;;859.7224
6442;h_11;11;0.0000
6442;h_10;10;0.0000
6442;h_9;9;214.9245
6442;h_8;8;0.0000
6442;h_7;7;0.0000
6442;h_6;6;214.9383
6442;h_5;5;0.0000
6442;h_4;4;0.0000
6442;h_3;3;214.9401
6442;h_2;2;0.0000
6442;h_1;1;0.0000
6442;h_0;0;214.9195
TOTAL;;;859.7224
6442;h_11;11;0.0000
6442;h_10;10;0.0000
6442;h_9;9;214.9245
6442;h_8;8;0.0000
6442;h_7;7;0.0000
6442;h_6;6;214.9383
6442;h_5;5;0.0000
6442;h_4;4;0.0000
6442;h_3;3;214.9401
6442;h_2;2;0.0000
6442;h_1;1;0.0000
6442;h_0;0;214.9195
TOTAL;;;859.7224
6442;h_11;11;0.0000
6442;h_10;10;0.0000
6442;h_9;9;214.9245
6442;h_8;8;0.0000
6442;h_7;7;0.0000
6442;h_6;6;214.9383
6442;h_5;5;0.0000
6442;h_4;4;0.0000
6442;h_3;3;214.9401
6442;h_2;2;0.0000
6442;h_1;1;0.0000
6442;h_0;0;214.9195
TOTAL;;;859.7224
6442;h_11;11;0.0000
6442;h_10;10;0.0000
6442;h_9;9;214.9245
6442;h_8;8;0.0000
6442;h_7;7;0.0000
6442;h_6;6;214.9383
6442;h_5;5;0.0000
6442;h_4;4;0.0000
