# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
140.00;5;0.00;0.00;0.00;0.0000
140.00;4;0.00;0.00;0.00;0.0000
140.00;3;3.91;9.38;8.50;0.3337
140.00;2;0.00;0.00;0.00;0.0000
140.00;1;0.00;0.00;0.00;0.0000
140.00;0;3.13;9.38;9.00;0.3336
140.00;9;2.73;10.94;0.00;0.0698
140.00;6;3.91;9.38;0.00;0.0698
140.00;3;3.91;9.38;0.00;0.0698
140.00;0;3.13;9.38;0.00;0.0698
150.00;11;0.00;0.00;0.00;0.0000
150.00;10;0.00;0.00;0.00;0.0000
150.00;9;2.73;10.94;10.00;0.3336
150.00;8;0.00;0.00;0.00;0.0000
150.00;7;0.00;0.00;0.00;0.0000
150.00;6;3.91;9.38;7.50;0.3337
150.00;5;0.00;0.00;0.00;0.0000
150.00;4;0.00;0.00;0.00;0.0000
150.00;3;3.91;9.38;8.50;0.3337
150.00;2;0.00;0.00;0.00;0.0000
150.00;1;0.00;0.00;0.00;0.0000
150.00;0;3.13;9.38;9.00;0.3336
150.00;9;2.73;10.94;0.00;0.0698
150.00;6;3.91;9.38;0.00;0.0698
150.00;3;3.91;9.38;0.00;0.0698
150.00;0;3.13;9.38;0.00;0.0698
160.00;11;0.00;0.00;0.00;0.0000
160.00;10;0.00;0.00;0.00;0.0000
160.00;9;2.73;10.94;10.00;0.3336
160.00;8;0.00;0.00;0.00;0.0000
160.00;7;0.00;0.00;0.00;0.0000
160.00;6;3.91;9.38;7.50;0.3337
160.00;5;0.00;0.00;0.00;0.0000
160.00;4;0.00;0.00;0.00;0.0000
160.00;3;3.91;9.38;8.50;0.3337
160.00;2;0.00;0.00;0.00;0.0000
160.00;1;0.00;0.00;0.00;0.0000
160.00;0;3.13;9.38;9.00;0.3336
160.00;9;2.73;10.94;0.00;0.0698
160.00;6;3.91;9.38;0.00;0.0698
160.00;3;3.91;9.38;0.00;0.0698
160.00;0;3.13;9.38;0.00;0.0698
170.00;11;0.00;0.00;0.00;0.0000
170.00;10;0.00;0.00;0.00;0.0000
170.00;9;2.73;10.94;10.00;0.3336
170.00;8;0.00;0.00;0.00;0.0000
170.00;7;0.00;0.00;0.00;0.0000
170.00;6;3.91;9.38;7.50;0.3337
170.00;5;0.00;0.00;0.00;0.0000
170.00;4;0.00;0.00;0.00;0.0000
170.00;3;3.91;9.38;8.50;0.3337
170.00;2;0.00;0.00;0.00;0.0000
170.00;1;0.00;0.00;0.00;0.0000
170.00;0;3.13;9.38;9.00;0.3336
170.00;9;2.73;10.94;0.00;0.0698
170.00;6;3.91;9.38;0.00;0.0698
170.00;3;3.91;9.38;0.00;0.0698
170.00;0;3.13;9.38;0.00;0.0698
180.00;11;0.00;0.00;0.00;0.0000
180.00;10;0.00;0.00;0.00;0.0000
180.00;9;2.73;10.94;10.00;0.3336
180.00;8;0.00;0.00;0.00;0.0000
180.00;7;0.00;0.00;0.00;0.0000
180.00;6;3.91;9.38;7.50;0.3337
180.00;5;0.00;0.00;0.00;0.0000
180.00;4;0.00;0.00;0.00;0.0000
180.00;3;3.91;9.38;8.50;0.3337
180.00;2;0.00;0.00;0.00;0.0000
180.00;1;0.00;0.00;0.00;0.0000
180.00;0;3.13;9.38;9.00;0.3336
180.00;9;2.73;10.94;0.00;0.0698
180.00;6;3.91;9.38;0.00;0.0698
180.00;3;3.91;9.38;0.00;0.0698
180.00;0;3.13;9.38;0.00;0.0698
190.00;11;0.00;0.00;0.00;0.0000
190.00;10;0.00;0.00;0.00;0.0000
190.00;9;2.73;10.94;10.00;0.3336
190.00;8;0.00;0.00;0.00;0.0000
190.00;7;0.00;0.00;0.00;0.0000
190.00;6;3.91;9.38;7.50;0.3337
190.00;5;0.00;0.00;0.00;0.0000
190.00;4;0.00;0.00;0.00;0.0000
190.00;3;3.91;9.38;8.50;0.3337
190.00;2;0.00;0.00;0.00;0.0000
190.00;1;0.00;0.00;0.00;0.0000
190.00;0;3.13;9.38;9.00;0.3336
190.00;9;2.73;10.94;0.00;0.0698
190.00;6;3.91;9.38;0.00;0.0698
190.00;3;3.91;9.38;0.00;0.0698
190.00;0;3.13;9.38;0.00;0.0698
200.00;11;0.00;0.00;0.00;0.0000
200.00;10;0.00;0.00;0.00;0.0000
200.00;9;2.73;10.94;10.00;0.3336
200.00;8;0.00;0.00;0.00;0.0000
200.00;7;0.00;0.00;0.00;0.0000
200.00;6;3.91;9.38;7.50;0.3337
200.00;5;0.00;0.00;0.00;0.0000
200.00;4;0.00;0.00;0.00;0.0000
200.00;3;3.91;9.38;8.50;0.3337
200.00;2;0.00;0.00;0.00;0.0000
200.00;1;0.00;0.00;0.00;0.0000
200.00;0;3.13;9.38;9.00;0.3336
200.00;9;2.73;10.94;0.00;0.0698
200.00;6;3.91;9.38;0.00;0.0698
200.00;3;3.91;9.38;0.00;0.0698
200.00;0;3.13;9.38;0.00;0.0698
210.00;11;0.00;0.00;0.00;0.0000
210.00;10;0.00;0.00;0.00;0.0000
210.00;9;2.73;10.94;10.00;0.3336
210.00;8;0.00;0.00;0.00;0.0000
210.00;7;0.00;0.00;0.00;0.0000
210.00;6;3.91;9.38;7.50;0.3337
210.00;5;0.00;0.00;0.00;0.0000
210.00;4;0.00;0.00;0.00;0.0000
210.00;3;3.91;9.38;8.50;0.3337
210.00;2;0.00;0.00;0.00;0.0000
210.00;1;0.00;0.00;0.00;0.0000
210.00;0;3.13;9.38;9.00;0.3336
210.00;9;2.73;10.94;0.00;0.0698
210.00;6;3.91;9.38;0.00;0.0698
210.00;3;3.91;9.38;0.00;0.0698
210.00;0;3.13;9.38;0.00;0.0698
220.00;11;0.00;0.00;0.00;0.0000
220.00;10;0.00;0.00;0.00;0.0000
220.00;9;2.73;10.94;10.00;0.3336
220.00;8;0.00;0.00;0.00;0.0000
220.00;7;0.00;0.00;0.00;0.0000
220.00;6;3.91;9.38;7.50;0.3337
220.00;5;0.00;0.00;0.00;0.0000
220.00;4;0.00;0.00;0.00;0.0000
220.00;3;3.91;9.38;8.50;0.3337
220.00;2;0.00;0.00;0.00;0.0000
220.00;1;0.00;0.00;0.00;0.0000
220.00;0;3.13;9.38;9.00;0.3336
220.00;9;2.73;10.94;0.00;0.0698
220.00;6;3.91;9.38;0.00;0.0698
220.00;3;3.91;9.38;0.00;0.0698
220.00;0;3.13;9.38;0.00;0.0698
230.00;11;0.00;0.00;0.00;0.0000
230.00;10;0.00;0.00;0.00;0.0000
230.00;9;2.73;10.94;10.00;0.3336
230.00;8;0.00;0.00;0.00;0.0000
230.00;7;0.00;0.00;0.00;0.0000
230.00;6;3.91;9.38;7.50;0.3337
230.00;5;0.00;0.00;0.00;0.0000
230.00;4;0.00;0.00;0.00;0.0000
230.00;3;3.91;9.38;8.50;0.3337
230.00;2;0.00;0.00;0.00;0.0000
230.00;1;0.00;0.00;0.00;0.0000
230.00;0;3.13;9.38;9.00;0.3336
230.00;9;2.73;10.94;0.00;0.0698
230.00;6;3.91;9.38;0.00;0.0698
230.00;3;3.91;9.38;0.00;0.0698
230.00;0;3.13;9.38;0.00;0.0698
240.00;11;0.00;0.00;0.00;0.0000
240.00;10;0.00;0.00;0.00;0.0000
240.00;9;2.73;10.94;10.00;0.3336
240.00;8;0.00;0.00;0.00;0.0000
240.00;7;0.00;0.00;0.00;0.0000
240.00;6;3.91;9.38;7.50;0.3337
240.00;5;0.00;0.00;0.00;0.0000
240.00;4;0.00;0.00;0.00;0.0000
240.00;3;3.91;9.38;8.50;0.3337
240.00;2;0.00;0.00;0.00;0.0000
240.00;1;0.00;0.00;0.00;0.0000
240.00;0;3.13;9.38;9.00;0.3336
240.00;9;2.73;10.94;0.00;0.0698
240.00;6;3.91;9.38;0.00;0.0698
240.00;3;3.91;9.38;0.00;0.0698
240.00;0;3.13;9.38;0.00;0.0698
250.00;11;0.00;0.00;0.00;0.0000
250.00;10;0.00;0.00;0.00;0.0000
250.00;9;2.73;10.94;10.00;0.3336
250.00;8;0.00;0.00;0.00;0.0000
250.00;7;0.00;0.00;0.00;0.0000
250.00;6;3.91;9.38;7.50;0.3337
250.00;5;0.00;0.00;0.00;0.0000
250.00;4;0.00;0.00;0.00;0.0000
250.00;3;3.91;9.38;8.50;0.3337
250.00;2;0.00;0.00;0.00;0.0000
250.00;1;0.00;0.00;0.00;0.0000
250.00;0;3.13;9.38;9.00;0.3336
250.00;9;2.73;10.94;0.00;0.0698
250.00;6;3.91;9.38;0.00;0.0698
250.00;3;3.91;9.38;0.00;0.0698
250.00;0;3.13;9.38;0.00;0.0698
260.00;11;0.00;0.00;0.00;0.0000
260.00;10;0.00;0.00;0.00;0.0000
260.00;9;2.73;10.94;10.00;0.3336
260.00;8;0.00;0.00;0.00;0.0000
260.00;7;0.00;0.00;0.00;0.0000
260.00;6;3.91;9.38;7.50;0.3337
260.00;5;0.00;0.00;0.00;0.0000
260.00;4;0.00;0.00;0.00;0.0000
260.00;3;3.91;9.38;8.50;0.3337
260.00;2;0.00;0.00;0.00;0.0000
260.00;1;0.00;0.00;0.00;0.0000
260.00;0;3.13;9.38;9.00;0.3336
260.00;9;2.73;10.94;0.00;0.0698
260.00;6;3.91;9.38;0.00;0.0698
260.00;3;3.91;9.38;0.00;0.0698
260.00;0;3.13;9.38;0.00;0.0698
270.00;11;0.00;0.00;0.00;0.0000
270.00;10;0.00;0.00;0.00;0.0000
270.00;9;2.73;10.94;10.00;0.3336
270.00;8;0.00;0.00;0.00;0.0000
270.00;7;0.00;0.00;0.00;0.0000
270.00;6;3.91;9.38;7.50;0.3337
270.00;5;0.00;0.00;0.00;0.0000
270.00;4;0.00;0.00;0.00;0.0000
270.00;3;3.91;9.38;8.50;0.3337
270.00;2;0.00;0.00;0.00;0.0000
270.00;1;0.00;0.00;0.00;0.0000
270.00;0;3.13;9.38;9.00;0.3336
