time;host_name;host_id;energy;vm_policy;link_policy;wf_policy
166;h_1;1.0;5.5527;LFF;BLA;PSO
166;h_0;0.0;5.555;LFF;BLA;PSO
166;h_3;3.0;5.555;LFF;BLA;PSO
166;h_2;2.0;5.5623;LFF;BLA;PSO
166;h_1;1.0;5.5527;LFF;BLA;PSO
166;h_0;0.0;5.555;LFF;BLA;PSO
176;h_3;3.0;5.8888;LFF;BLA;PSO
176;h_2;2.0;5.8966;LFF;BLA;PSO
176;h_1;1.0;5.8864;LFF;BLA;PSO
176;h_0;0.0;5.8888;LFF;BLA;PSO
137;h_3;3.0;4.3398;LFF;BLA;SJF
137;h_2;2.0;4.3455;LFF;BLA;SJF
137;h_1;1.0;4.3381;LFF;BLA;SJF
137;h_0;0.0;4.3398;LFF;BLA;SJF
137;h_3;3.0;4.3398;LFF;BLA;SJF
137;h_2;2.0;4.3455;LFF;BLA;SJF
137;h_1;1.0;4.3381;LFF;BLA;SJF
137;h_0;0.0;4.3398;LFF;BLA;SJF
137;h_3;3.0;4.3398;LFF;BLA;SJF
137;h_2;2.0;4.3455;LFF;BLA;SJF
137;h_1;1.0;4.3381;LFF;BLA;SJF
137;h_0;0.0;4.3398;LFF;BLA;SJF
137;h_3;3.0;4.3398;LFF;BLA;SJF
137;h_2;2.0;4.3455;LFF;BLA;SJF
137;h_1;1.0;4.3381;LFF;BLA;SJF
137;h_0;0.0;4.3398;LFF;BLA;SJF
137;h_3;3.0;4.3398;LFF;BLA;SJF
137;h_2;2.0;4.3455;LFF;BLA;SJF
137;h_1;1.0;4.3381;LFF;BLA;SJF
137;h_0;0.0;4.3398;LFF;BLA;SJF
137;h_3;3.0;4.3398;LFF;BLA;SJF
137;h_2;2.0;4.3455;LFF;BLA;SJF
137;h_1;1.0;4.3381;LFF;BLA;SJF
137;h_0;0.0;4.3398;LFF;BLA;SJF
137;h_3;3.0;4.3398;LFF;BLA;SJF
137;h_2;2.0;4.3455;LFF;BLA;SJF
137;h_1;1.0;4.3381;LFF;BLA;SJF
137;h_0;0.0;4.3398;LFF;BLA;SJF
162;h_3;3.0;5.4181;LFF;BLA;SJF
162;h_2;2.0;5.4252;LFF;BLA;SJF
162;h_1;1.0;5.4159;LFF;BLA;SJF
162;h_0;0.0;5.4181;LFF;BLA;SJF
162;h_3;3.0;5.4181;LFF;BLA;SJF
162;h_2;2.0;5.4252;LFF;BLA;SJF
162;h_1;1.0;5.4159;LFF;BLA;SJF
162;h_0;0.0;5.4181;LFF;BLA;SJF
162;h_3;3.0;5.4181;LFF;BLA;SJF
162;h_2;2.0;5.4252;LFF;BLA;SJF
