vm_policy;link_policy;wf_policy;# units: time(s); hostId; vmIds
LFF;BLA;SJF;90;1;1
LFF;BLA;SJF;90;0;0
LFF;BLA;SJF;100;3;3
LFF;BLA;SJF;100;2;2
LFF;BLA;SJF;100;1;1
LFF;BLA;SJF;100;0;0
LFF;BLA;SJF;110;3;3
LFF;BLA;SJF;110;2;2
LFF;BLA;SJF;110;1;1
LFF;BLA;SJF;110;0;0
LFF;BLA;SJF;120;3;3
LFF;BLA;SJF;120;2;2
LFF;BLA;SJF;120;1;1
LFF;BLA;SJF;120;0;0
LFF;BLA;SJF;130;3;3
LFF;BLA;SJF;130;2;2
LFF;BLA;SJF;130;1;1
LFF;BLA;SJF;130;0;0
LFF;First;Priority;0,00;h_3;1
LFF;First;Priority;0,00;h_2;1
LFF;First;Priority;0,00;h_1;1
LFF;First;Priority;0,00;h_0;1
LFF;First;Priority;10;3;3
LFF;First;Priority;10;2;2
LFF;First;Priority;10;1;1
LFF;First;Priority;10;0;0
LFF;First;Priority;20;3;3
LFF;First;Priority;20;2;2
LFF;First;Priority;20;1;1
LFF;First;Priority;20;0;0
LFF;First;Priority;30;3;3
LFF;First;Priority;30;2;2
LFF;First;Priority;30;1;1
LFF;First;Priority;30;0;0
LFF;First;Priority;40;3;3
LFF;First;Priority;40;2;2
LFF;First;Priority;40;1;1
LFF;First;Priority;40;0;0
LFF;First;Priority;50;3;3
LFF;First;Priority;50;2;2
LFF;First;Priority;50;1;1
LFF;First;Priority;50;0;0
LFF;First;Priority;60;3;3
LFF;First;Priority;60;2;2
LFF;First;Priority;60;1;1
LFF;First;Priority;60;0;0
LFF;First;Priority;70;3;3
LFF;First;Priority;70;2;2
LFF;First;Priority;70;1;1
LFF;First;Priority;70;0;0
LFF;First;Priority;80;3;3
LFF;First;Priority;80;2;2
LFF;First;Priority;80;1;1
LFF;First;Priority;80;0;0
LFF;First;Priority;90;3;3
LFF;First;Priority;90;2;2
LFF;First;Priority;90;1;1
LFF;First;Priority;90;0;0
LFF;First;Priority;100;3;3
LFF;First;Priority;100;2;2
LFF;First;Priority;100;1;1
LFF;First;Priority;100;0;0
LFF;First;Priority;110;3;3
LFF;First;Priority;110;2;2
LFF;First;Priority;110;1;1
LFF;First;Priority;110;0;0
LFF;First;Priority;120;3;3
LFF;First;Priority;120;2;2
LFF;First;Priority;120;1;1
LFF;First;Priority;120;0;0
LFF;First;Priority;130;3;3
LFF;First;Priority;130;2;2
LFF;First;Priority;130;1;1
LFF;First;Priority;130;0;0
LFF;First;Priority;140;3;3
LFF;First;Priority;140;2;2
LFF;First;Priority;140;1;1
LFF;First;Priority;140;0;0
LFF;First;PSO;0,00;h_3;1
LFF;First;PSO;0,00;h_2;1
LFF;First;PSO;0,00;h_1;1
LFF;First;PSO;0,00;h_0;1
LFF;First;PSO;10;3;3
LFF;First;PSO;10;2;2
LFF;First;PSO;10;1;1
LFF;First;PSO;10;0;0
LFF;First;PSO;20;3;3
LFF;First;PSO;20;2;2
LFF;First;PSO;20;1;1
LFF;First;PSO;20;0;0
LFF;First;PSO;30;3;3
LFF;First;PSO;30;2;2
LFF;First;PSO;30;1;1
LFF;First;PSO;30;0;0
LFF;First;PSO;40;3;3
LFF;First;PSO;40;2;2
LFF;First;PSO;40;1;1
LFF;First;PSO;40;0;0
LFF;First;PSO;50;3;3
LFF;First;PSO;50;2;2
LFF;First;PSO;50;1;1
LFF;First;PSO;50;0;0
LFF;First;PSO;60;3;3
LFF;First;PSO;60;2;2
LFF;First;PSO;60;1;1
LFF;First;PSO;60;0;0
LFF;First;PSO;70;3;3
LFF;First;PSO;70;2;2
LFF;First;PSO;70;1;1
LFF;First;PSO;70;0;0
LFF;First;PSO;80;3;3
LFF;First;PSO;80;2;2
LFF;First;PSO;80;1;1
LFF;First;PSO;80;0;0
LFF;First;PSO;90;3;3
LFF;First;PSO;90;2;2
LFF;First;PSO;90;1;1
LFF;First;PSO;90;0;0
LFF;First;PSO;100;3;3
LFF;First;PSO;100;2;2
LFF;First;PSO;100;1;1
LFF;First;PSO;100;0;0
LFF;First;PSO;110;3;3
LFF;First;PSO;110;2;2
LFF;First;PSO;110;1;1
LFF;First;PSO;110;0;0
LFF;First;PSO;120;3;3
LFF;First;PSO;120;2;2
LFF;First;PSO;120;1;1
LFF;First;PSO;120;0;0
LFF;First;PSO;130;3;3
LFF;First;PSO;130;2;2
LFF;First;PSO;130;1;1
LFF;First;PSO;130;0;0
LFF;First;SJF;0,00;h_3;1
LFF;First;SJF;0,00;h_2;1
LFF;First;SJF;0,00;h_1;1
LFF;First;SJF;0,00;h_0;1
LFF;First;SJF;10;3;3
LFF;First;SJF;10;2;2
LFF;First;SJF;10;1;1
LFF;First;SJF;10;0;0
LFF;First;SJF;20;3;3
LFF;First;SJF;20;2;2
LFF;First;SJF;20;1;1
LFF;First;SJF;20;0;0
LFF;First;SJF;30;3;3
LFF;First;SJF;30;2;2
LFF;First;SJF;30;1;1
LFF;First;SJF;30;0;0
LFF;First;SJF;40;3;3
LFF;First;SJF;40;2;2
LFF;First;SJF;40;1;1
LFF;First;SJF;40;0;0
LFF;First;SJF;50;3;3
LFF;First;SJF;50;2;2
LFF;First;SJF;50;1;1
LFF;First;SJF;50;0;0
LFF;First;SJF;60;3;3
LFF;First;SJF;60;2;2
LFF;First;SJF;60;1;1
LFF;First;SJF;60;0;0
LFF;First;SJF;70;3;3
LFF;First;SJF;70;2;2
LFF;First;SJF;70;1;1
LFF;First;SJF;70;0;0
LFF;First;SJF;80;3;3
LFF;First;SJF;80;2;2
LFF;First;SJF;80;1;1
LFF;First;SJF;80;0;0
LFF;First;SJF;90;3;3
LFF;First;SJF;90;2;2
LFF;First;SJF;90;1;1
LFF;First;SJF;90;0;0
LFF;First;SJF;100;3;3
LFF;First;SJF;100;2;2
LFF;First;SJF;100;1;1
LFF;First;SJF;100;0;0
LFF;First;SJF;110;3;3
LFF;First;SJF;110;2;2
LFF;First;SJF;110;1;1
LFF;First;SJF;110;0;0
LFF;First;SJF;120;3;3
LFF;First;SJF;120;2;2
LFF;First;SJF;120;1;1
LFF;First;SJF;120;0;0
LFF;First;SJF;130;3;3
LFF;First;SJF;130;2;2
LFF;First;SJF;130;1;1
LFF;First;SJF;130;0;0
LFF;First;SJF;140;3;3
LFF;First;SJF;140;2;2
LFF;First;SJF;140;1;1
LFF;First;SJF;140;0;0
LWFF;BLA;Priority;0,00;h_3;1
LWFF;BLA;Priority;0,00;h_2;1
LWFF;BLA;Priority;0,00;h_1;1
LWFF;BLA;Priority;0,00;h_0;1
LWFF;BLA;Priority;10;3;0
LWFF;BLA;Priority;10;2;2
LWFF;BLA;Priority;10;1;1
LWFF;BLA;Priority;10;0;3
LWFF;BLA;Priority;20;3;0
LWFF;BLA;Priority;20;2;2
LWFF;BLA;Priority;20;1;1
LWFF;BLA;Priority;20;0;3
LWFF;BLA;Priority;30;3;0
LWFF;BLA;Priority;30;2;2
LWFF;BLA;Priority;30;1;1
LWFF;BLA;Priority;30;0;3
LWFF;BLA;Priority;40;3;0
LWFF;BLA;Priority;40;2;2
LWFF;BLA;Priority;40;1;1
LWFF;BLA;Priority;40;0;3
LWFF;BLA;Priority;50;3;0
LWFF;BLA;Priority;50;2;2
LWFF;BLA;Priority;50;1;1
LWFF;BLA;Priority;50;0;3
LWFF;BLA;Priority;60;3;0
LWFF;BLA;Priority;60;2;2
LWFF;BLA;Priority;60;1;1
LWFF;BLA;Priority;60;0;3
LWFF;BLA;Priority;70;3;0
LWFF;BLA;Priority;70;2;2
LWFF;BLA;Priority;70;1;1
LWFF;BLA;Priority;70;0;3
LWFF;BLA;Priority;80;3;0
LWFF;BLA;Priority;80;2;2
LWFF;BLA;Priority;80;1;1
LWFF;BLA;Priority;80;0;3
LWFF;BLA;Priority;90;3;0
LWFF;BLA;Priority;90;2;2
LWFF;BLA;Priority;90;1;1
LWFF;BLA;Priority;90;0;3
LWFF;BLA;Priority;100;3;0
LWFF;BLA;Priority;100;2;2
LWFF;BLA;Priority;100;1;1
LWFF;BLA;Priority;100;0;3
LWFF;BLA;Priority;110;3;0
LWFF;BLA;Priority;110;2;2
LWFF;BLA;Priority;110;1;1
LWFF;BLA;Priority;110;0;3
LWFF;BLA;Priority;120;3;0
LWFF;BLA;Priority;120;2;2
LWFF;BLA;Priority;120;1;1
LWFF;BLA;Priority;120;0;3
LWFF;BLA;Priority;130;3;0
LWFF;BLA;Priority;130;2;2
LWFF;BLA;Priority;130;1;1
LWFF;BLA;Priority;130;0;3
LWFF;BLA;Priority;140;3;0
LWFF;BLA;Priority;140;2;2
LWFF;BLA;Priority;140;1;1
LWFF;BLA;Priority;140;0;3
LWFF;BLA;Priority;150;3;0
LWFF;BLA;Priority;150;2;2
LWFF;BLA;Priority;150;1;1
LWFF;BLA;Priority;150;0;3
LWFF;BLA;Priority;160;3;0
LWFF;BLA;Priority;160;2;2
LWFF;BLA;Priority;160;1;1
LWFF;BLA;Priority;160;0;3
LWFF;BLA;PSO;0,00;h_3;1
LWFF;BLA;PSO;0,00;h_2;1
LWFF;BLA;PSO;0,00;h_1;1
LWFF;BLA;PSO;0,00;h_0;1
LWFF;BLA;PSO;10;3;0
LWFF;BLA;PSO;10;2;2
LWFF;BLA;PSO;10;1;1
LWFF;BLA;PSO;10;0;3
LWFF;BLA;PSO;20;3;0
LWFF;BLA;PSO;20;2;2
LWFF;BLA;PSO;20;1;1
LWFF;BLA;PSO;20;0;3
LWFF;BLA;PSO;30;3;0
LWFF;BLA;PSO;30;2;2
LWFF;BLA;PSO;30;1;1
LWFF;BLA;PSO;30;0;3
LWFF;BLA;PSO;40;3;0
LWFF;BLA;PSO;40;2;2
LWFF;BLA;PSO;40;1;1
LWFF;BLA;PSO;40;0;3
LWFF;BLA;PSO;50;3;0
LWFF;BLA;PSO;50;2;2
LWFF;BLA;PSO;50;1;1
LWFF;BLA;PSO;50;0;3
LWFF;BLA;PSO;60;3;0
LWFF;BLA;PSO;60;2;2
LWFF;BLA;PSO;60;1;1
LWFF;BLA;PSO;60;0;3
LWFF;BLA;PSO;70;3;0
LWFF;BLA;PSO;70;2;2
LWFF;BLA;PSO;70;1;1
LWFF;BLA;PSO;70;0;3
LWFF;BLA;PSO;80;3;0
LWFF;BLA;PSO;80;2;2
LWFF;BLA;PSO;80;1;1
LWFF;BLA;PSO;80;0;3
LWFF;BLA;PSO;90;3;0
LWFF;BLA;PSO;90;2;2
LWFF;BLA;PSO;90;1;1
LWFF;BLA;PSO;90;0;3
LWFF;BLA;PSO;100;3;0
LWFF;BLA;PSO;100;2;2
LWFF;BLA;PSO;100;1;1
LWFF;BLA;PSO;100;0;3
LWFF;BLA;PSO;110;3;0
LWFF;BLA;PSO;110;2;2
LWFF;BLA;PSO;110;1;1
LWFF;BLA;PSO;110;0;3
LWFF;BLA;PSO;120;3;0
LWFF;BLA;PSO;120;2;2
LWFF;BLA;PSO;120;1;1
LWFF;BLA;PSO;120;0;3
LWFF;BLA;PSO;130;3;0
LWFF;BLA;PSO;130;2;2
LWFF;BLA;PSO;130;1;1
LWFF;BLA;PSO;130;0;3
LWFF;BLA;PSO;140;3;0
LWFF;BLA;PSO;140;2;2
LWFF;BLA;PSO;140;1;1
LWFF;BLA;PSO;140;0;3
LWFF;BLA;SJF;0,00;h_3;1
LWFF;BLA;SJF;0,00;h_2;1
LWFF;BLA;SJF;0,00;h_1;1
LWFF;BLA;SJF;0,00;h_0;1
LWFF;BLA;SJF;10;3;0
LWFF;BLA;SJF;10;2;2
LWFF;BLA;SJF;10;1;1
LWFF;BLA;SJF;10;0;3
LWFF;BLA;SJF;20;3;0
LWFF;BLA;SJF;20;2;2
LWFF;BLA;SJF;20;1;1
LWFF;BLA;SJF;20;0;3
LWFF;BLA;SJF;30;3;0
LWFF;BLA;SJF;30;2;2
LWFF;BLA;SJF;30;1;1
LWFF;BLA;SJF;30;0;3
LWFF;BLA;SJF;40;3;0
LWFF;BLA;SJF;40;2;2
LWFF;BLA;SJF;40;1;1
LWFF;BLA;SJF;40;0;3
LWFF;BLA;SJF;50;3;0
LWFF;BLA;SJF;50;2;2
LWFF;BLA;SJF;50;1;1
LWFF;BLA;SJF;50;0;3
LWFF;BLA;SJF;60;3;0
LWFF;BLA;SJF;60;2;2
LWFF;BLA;SJF;60;1;1
LWFF;BLA;SJF;60;0;3
LWFF;BLA;SJF;70;3;0
LWFF;BLA;SJF;70;2;2
LWFF;BLA;SJF;70;1;1
LWFF;BLA;SJF;70;0;3
LWFF;BLA;SJF;80;3;0
LWFF;BLA;SJF;80;2;2
LWFF;BLA;SJF;80;1;1
LWFF;BLA;SJF;80;0;3
LWFF;BLA;SJF;90;3;0
LWFF;BLA;SJF;90;2;2
LWFF;BLA;SJF;90;1;1
LWFF;BLA;SJF;90;0;3
LWFF;BLA;SJF;100;3;0
LWFF;BLA;SJF;100;2;2
LWFF;BLA;SJF;100;1;1
LWFF;BLA;SJF;100;0;3
LWFF;BLA;SJF;110;3;0
LWFF;BLA;SJF;110;2;2
LWFF;BLA;SJF;110;1;1
LWFF;BLA;SJF;110;0;3
LWFF;BLA;SJF;120;3;0
LWFF;BLA;SJF;120;2;2
LWFF;BLA;SJF;120;1;1
LWFF;BLA;SJF;120;0;3
LWFF;BLA;SJF;130;3;0
LWFF;BLA;SJF;130;2;2
LWFF;BLA;SJF;130;1;1
LWFF;BLA;SJF;130;0;3
LWFF;BLA;SJF;140;3;0
LWFF;BLA;SJF;140;2;2
LWFF;BLA;SJF;140;1;1
LWFF;BLA;SJF;140;0;3
LWFF;BLA;SJF;150;3;0
LWFF;BLA;SJF;150;2;2
LWFF;BLA;SJF;150;1;1
LWFF;BLA;SJF;150;0;3
LWFF;BLA;SJF;160;3;0
LWFF;BLA;SJF;160;2;2
LWFF;BLA;SJF;160;1;1
LWFF;BLA;SJF;160;0;3
LWFF;First;Priority;0,00;h_3;1
LWFF;First;Priority;0,00;h_2;1
LWFF;First;Priority;0,00;h_1;1
LWFF;First;Priority;0,00;h_0;1
LWFF;First;Priority;10;3;0
LWFF;First;Priority;10;2;2
LWFF;First;Priority;10;1;1
LWFF;First;Priority;10;0;3
LWFF;First;Priority;20;3;0
LWFF;First;Priority;20;2;2
LWFF;First;Priority;20;1;1
LWFF;First;Priority;20;0;3
LWFF;First;Priority;30;3;0
LWFF;First;Priority;30;2;2
LWFF;First;Priority;30;1;1
LWFF;First;Priority;30;0;3
LWFF;First;Priority;40;3;0
LWFF;First;Priority;40;2;2
LWFF;First;Priority;40;1;1
LWFF;First;Priority;40;0;3
LWFF;First;Priority;50;3;0
LWFF;First;Priority;50;2;2
LWFF;First;Priority;50;1;1
LWFF;First;Priority;50;0;3
LWFF;First;Priority;60;3;0
LWFF;First;Priority;60;2;2
LWFF;First;Priority;60;1;1
LWFF;First;Priority;60;0;3
LWFF;First;Priority;70;3;0
LWFF;First;Priority;70;2;2
LWFF;First;Priority;70;1;1
LWFF;First;Priority;70;0;3
LWFF;First;Priority;80;3;0
LWFF;First;Priority;80;2;2
LWFF;First;Priority;80;1;1
LWFF;First;Priority;80;0;3
LWFF;First;Priority;90;3;0
LWFF;First;Priority;90;2;2
LWFF;First;Priority;90;1;1
LWFF;First;Priority;90;0;3
LWFF;First;Priority;100;3;0
LWFF;First;Priority;100;2;2
LWFF;First;Priority;100;1;1
LWFF;First;Priority;100;0;3
LWFF;First;Priority;110;3;0
LWFF;First;Priority;110;2;2
LWFF;First;Priority;110;1;1
LWFF;First;Priority;110;0;3
LWFF;First;Priority;120;3;0
LWFF;First;Priority;120;2;2
LWFF;First;Priority;120;1;1
LWFF;First;Priority;120;0;3
LWFF;First;Priority;130;3;0
LWFF;First;Priority;130;2;2
LWFF;First;Priority;130;1;1
LWFF;First;Priority;130;0;3
LWFF;First;Priority;140;3;0
LWFF;First;Priority;140;2;2
LWFF;First;Priority;140;1;1
LWFF;First;Priority;140;0;3
LWFF;First;Priority;150;3;0
LWFF;First;Priority;150;2;2
LWFF;First;Priority;150;1;1
LWFF;First;Priority;150;0;3
LWFF;First;Priority;160;3;0
LWFF;First;Priority;160;2;2
LWFF;First;Priority;160;1;1
LWFF;First;Priority;160;0;3
LWFF;First;PSO;0,00;h_3;1
LWFF;First;PSO;0,00;h_2;1
LWFF;First;PSO;0,00;h_1;1
LWFF;First;PSO;0,00;h_0;1
LWFF;First;PSO;10;3;0
LWFF;First;PSO;10;2;2
LWFF;First;PSO;10;1;1
LWFF;First;PSO;10;0;3
LWFF;First;PSO;20;3;0
LWFF;First;PSO;20;2;2
LWFF;First;PSO;20;1;1
LWFF;First;PSO;20;0;3
LWFF;First;PSO;30;3;0
LWFF;First;PSO;30;2;2
LWFF;First;PSO;30;1;1
LWFF;First;PSO;30;0;3
LWFF;First;PSO;40;3;0
LWFF;First;PSO;40;2;2
LWFF;First;PSO;40;1;1
LWFF;First;PSO;40;0;3
LWFF;First;PSO;50;3;0
LWFF;First;PSO;50;2;2
LWFF;First;PSO;50;1;1
LWFF;First;PSO;50;0;3
LWFF;First;PSO;60;3;0
LWFF;First;PSO;60;2;2
LWFF;First;PSO;60;1;1
LWFF;First;PSO;60;0;3
LWFF;First;PSO;70;3;0
LWFF;First;PSO;70;2;2
LWFF;First;PSO;70;1;1
LWFF;First;PSO;70;0;3
LWFF;First;PSO;80;3;0
LWFF;First;PSO;80;2;2
LWFF;First;PSO;80;1;1
LWFF;First;PSO;80;0;3
LWFF;First;PSO;90;3;0
LWFF;First;PSO;90;2;2
LWFF;First;PSO;90;1;1
LWFF;First;PSO;90;0;3
LWFF;First;PSO;100;3;0
LWFF;First;PSO;100;2;2
LWFF;First;PSO;100;1;1
LWFF;First;PSO;100;0;3
LWFF;First;PSO;110;3;0
LWFF;First;PSO;110;2;2
LWFF;First;PSO;110;1;1
LWFF;First;PSO;110;0;3
LWFF;First;PSO;120;3;0
LWFF;First;PSO;120;2;2
LWFF;First;PSO;120;1;1
LWFF;First;PSO;120;0;3
LWFF;First;PSO;130;3;0
LWFF;First;PSO;130;2;2
LWFF;First;PSO;130;1;1
LWFF;First;PSO;130;0;3
LWFF;First;PSO;140;3;0
LWFF;First;PSO;140;2;2
LWFF;First;PSO;140;1;1
LWFF;First;PSO;140;0;3
LWFF;First;SJF;0,00;h_3;1
LWFF;First;SJF;0,00;h_2;1
LWFF;First;SJF;0,00;h_1;1
LWFF;First;SJF;0,00;h_0;1
LWFF;First;SJF;10;3;0
LWFF;First;SJF;10;2;2
LWFF;First;SJF;10;1;1
LWFF;First;SJF;10;0;3
LWFF;First;SJF;20;3;0
LWFF;First;SJF;20;2;2
LWFF;First;SJF;20;1;1
LWFF;First;SJF;20;0;3
LWFF;First;SJF;30;3;0
LWFF;First;SJF;30;2;2
LWFF;First;SJF;30;1;1
LWFF;First;SJF;30;0;3
LWFF;First;SJF;40;3;0
LWFF;First;SJF;40;2;2
LWFF;First;SJF;40;1;1
LWFF;First;SJF;40;0;3
LWFF;First;SJF;50;3;0
LWFF;First;SJF;50;2;2
LWFF;First;SJF;50;1;1
LWFF;First;SJF;50;0;3
LWFF;First;SJF;60;3;0
LWFF;First;SJF;60;2;2
LWFF;First;SJF;60;1;1
LWFF;First;SJF;60;0;3
LWFF;First;SJF;70;3;0
LWFF;First;SJF;70;2;2
LWFF;First;SJF;70;1;1
LWFF;First;SJF;70;0;3
LWFF;First;SJF;80;3;0
LWFF;First;SJF;80;2;2
LWFF;First;SJF;80;1;1
LWFF;First;SJF;80;0;3
LWFF;First;SJF;90;3;0
LWFF;First;SJF;90;2;2
LWFF;First;SJF;90;1;1
LWFF;First;SJF;90;0;3
LWFF;First;SJF;100;3;0
LWFF;First;SJF;100;2;2
LWFF;First;SJF;100;1;1
LWFF;First;SJF;100;0;3
LWFF;First;SJF;110;3;0
LWFF;First;SJF;110;2;2
LWFF;First;SJF;110;1;1
LWFF;First;SJF;110;0;3
LWFF;First;SJF;120;3;0
LWFF;First;SJF;120;2;2
LWFF;First;SJF;120;1;1
LWFF;First;SJF;120;0;3
LWFF;First;SJF;130;3;0
LWFF;First;SJF;130;2;2
LWFF;First;SJF;130;1;1
LWFF;First;SJF;130;0;3
LWFF;First;SJF;140;3;0
LWFF;First;SJF;140;2;2
LWFF;First;SJF;140;1;1
LWFF;First;SJF;140;0;3
LWFF;First;SJF;150;3;0
LWFF;First;SJF;150;2;2
LWFF;First;SJF;150;1;1
LWFF;First;SJF;150;0;3
LWFF;First;SJF;160;3;0
LWFF;First;SJF;160;2;2
LWFF;First;SJF;160;1;1
LWFF;First;SJF;160;0;3
MFF;BLA;Priority;0,00;h_3;4
MFF;BLA;Priority;0,00;h_2;0
MFF;BLA;Priority;0,00;h_1;0
MFF;BLA;Priority;0,00;h_0;0
MFF;BLA;Priority;10;3;2|0|1|3
MFF;BLA;Priority;10;2;
MFF;BLA;Priority;10;1;
MFF;BLA;Priority;10;0;
MFF;BLA;Priority;20;3;2|0|1|3
MFF;BLA;Priority;20;2;
MFF;BLA;Priority;20;1;
MFF;BLA;Priority;20;0;
MFF;BLA;Priority;30;3;2|0|1|3
MFF;BLA;Priority;30;2;
MFF;BLA;Priority;30;1;
MFF;BLA;Priority;30;0;
MFF;BLA;Priority;40;3;2|0|1|3
MFF;BLA;Priority;40;2;
MFF;BLA;Priority;40;1;
MFF;BLA;Priority;40;0;
MFF;BLA;Priority;50;3;2|0|1|3
MFF;BLA;Priority;50;2;
MFF;BLA;Priority;50;1;
MFF;BLA;Priority;50;0;
MFF;BLA;Priority;60;3;2|0|1|3
MFF;BLA;Priority;60;2;
MFF;BLA;Priority;60;1;
MFF;BLA;Priority;60;0;
MFF;BLA;Priority;70;3;2|0|1|3
MFF;BLA;Priority;70;2;
MFF;BLA;Priority;70;1;
MFF;BLA;Priority;70;0;
MFF;BLA;PSO;0,00;h_3;4
MFF;BLA;PSO;0,00;h_2;0
MFF;BLA;PSO;0,00;h_1;0
MFF;BLA;PSO;0,00;h_0;0
MFF;BLA;PSO;10;3;2|0|1|3
MFF;BLA;PSO;10;2;
MFF;BLA;PSO;10;1;
MFF;BLA;PSO;10;0;
MFF;BLA;PSO;20;3;2|0|1|3
MFF;BLA;PSO;20;2;
MFF;BLA;PSO;20;1;
MFF;BLA;PSO;20;0;
MFF;BLA;PSO;30;3;2|0|1|3
MFF;BLA;PSO;30;2;
MFF;BLA;PSO;30;1;
