time;src;dst;path;min_bw_mbps;avg_bw_used;avg_pct_use;network_latency_ms;proc_delay_ms;total_delay_ms;selected;vm_policy;link_policy;wf_policy
30;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;726.0;400.5;8000.222;0.0;6000.0;True;LFF;BLA;Priority
30;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;628.0;302.5;6000.222;0.0;5000.0;True;LFF;BLA;Priority
30;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;706.0;338.5;6000.222;1499.778;7500.0;True;LFF;BLA;Priority
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;8000.201;689.799;8690.0;True;LFF;BLA;PSO
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;800.201;7869.799;8670.0;True;LFF;BLA;PSO
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;4000.201;4609.799;8610.0;True;LFF;BLA;PSO
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;6000.201;2589.799;8590.0;True;LFF;BLA;PSO
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;1600.201;6979.799;8580.0;True;LFF;BLA;PSO
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;400.201;8169.799;8570.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;4000.222;4959.778;8960.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;8000.222;949.778;8950.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;8000.222;809.778;8810.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;4000.222;4799.778;8800.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;6000.222;2769.778;8770.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;400.222;8349.778;8750.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;800.222;7929.778;8730.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;8000.222;709.778;8710.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;400.222;8299.778;8700.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;1600.222;7019.778;8620.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;8000.222;549.778;8550.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;1600.222;6929.778;8530.0;True;LFF;BLA;PSO
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;8000.222;519.778;8520.0;True;LFF;BLA;PSO
10;h_3;h_1;h_3->e1->h_1;100.0;0.0;0.0;8000.201;999.799;9000.0;True;LFF;BLA;PSO
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;800.222;8189.778;8990.0;True;LFF;BLA;PSO
10;h_3;h_1;h_3->e1->h_1;100.0;0.0;0.0;400.201;8579.799;8980.0;True;LFF;BLA;PSO
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;6000.222;2969.778;8970.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;6000.222;2919.778;8920.0;True;LFF;BLA;PSO
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;800.222;8109.778;8910.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;899.778;8900.0;True;LFF;BLA;PSO
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;1600.222;7289.778;8890.0;True;LFF;BLA;PSO
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;879.778;8880.0;True;LFF;BLA;PSO
10;h_3;h_1;h_3->e1->h_1;100.0;0.0;0.0;1600.201;7269.799;8870.0;True;LFF;BLA;PSO
10;h_3;h_1;h_3->e1->h_1;100.0;0.0;0.0;4000.201;4859.799;8860.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;4000.222;4839.778;8840.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;819.778;8820.0;True;LFF;BLA;PSO
10;h_3;h_1;h_3->e1->h_1;100.0;0.0;0.0;400.201;8389.799;8790.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;779.778;8780.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;400.222;8339.778;8740.0;True;LFF;BLA;PSO
10;h_3;h_1;h_3->e1->h_1;100.0;0.0;0.0;800.201;7919.799;8720.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;6000.222;2679.778;8680.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;659.778;8660.0;True;LFF;BLA;PSO
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;6000.222;2649.778;8650.0;True;LFF;BLA;PSO
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;800.222;7839.778;8640.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;400.222;8199.778;8600.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;559.778;8560.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;539.778;8540.0;True;LFF;BLA;PSO
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;509.778;8510.0;True;LFF;BLA;PSO
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;0.0;0.0;400.222;8539.778;8940.0;True;LFF;BLA;PSO
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;0.0;0.0;6000.222;2929.778;8930.0;True;LFF;BLA;PSO
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;0.0;0.0;4000.222;4849.778;8850.0;True;LFF;BLA;PSO
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;0.0;0.0;8000.222;829.778;8830.0;True;LFF;BLA;PSO
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;0.0;0.0;800.222;7959.778;8760.0;True;LFF;BLA;PSO
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;0.0;0.0;1600.222;7029.778;8630.0;True;LFF;BLA;PSO
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;8000.201;0.0;5500.0;True;LFF;BLA;SJF
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;6000.201;0.0;1500.0;True;LFF;BLA;SJF
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;400.222;8099.778;8500.0;True;LFF;BLA;SJF
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;800.222;5699.778;6500.0;True;LFF;BLA;SJF
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;4000.222;499.778;4500.0;True;LFF;BLA;SJF
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;1600.222;899.778;2500.0;True;LFF;BLA;SJF
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;4000.222;0.0;500.0;True;LFF;BLA;SJF
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;800.222;8199.778;9000.0;True;LFF;BLA;SJF
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;0.0;8000.0;True;LFF;BLA;SJF
10;h_3;h_1;h_3->e1->h_1;100.0;0.0;0.0;1600.201;5399.799;7000.0;True;LFF;BLA;SJF
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;0.0;6000.0;True;LFF;BLA;SJF
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;800.222;4199.778;5000.0;True;LFF;BLA;SJF
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;0.0;4000.0;True;LFF;BLA;SJF
