vm_policy;link_policy;wf_policy;# units: time(s); hostId; energy(Wh)
LWFF;First;SJF;130;2;0.0704
LWFF;First;SJF;130;1;0.0698
LWFF;First;SJF;130;0;0.0699
LWFF;First;SJF;140;3;0.0699
LWFF;First;SJF;140;2;0.0704
LWFF;First;SJF;140;1;0.0698
LWFF;First;SJF;140;0;0.0699
LWFF;First;SJF;150;3;0.0699
LWFF;First;SJF;150;2;0.0704
LWFF;First;SJF;150;1;0.0698
LWFF;First;SJF;150;0;0.0699
LWFF;First;SJF;160;3;0.0699
LWFF;First;SJF;160;2;0.0704
LWFF;First;SJF;160;1;0.0698
LWFF;First;SJF;160;0;0.0699
MFF;BLA;Priority;10;3;0.0718
MFF;BLA;Priority;10;2;0.0
MFF;BLA;Priority;10;1;0.0
MFF;BLA;Priority;10;0;0.0
MFF;BLA;Priority;20;3;0.0718
MFF;BLA;Priority;20;2;0.0
MFF;BLA;Priority;20;1;0.0
MFF;BLA;Priority;20;0;0.0
MFF;BLA;Priority;30;3;0.0718
MFF;BLA;Priority;30;2;0.0
MFF;BLA;Priority;30;1;0.0
MFF;BLA;Priority;30;0;0.0
MFF;BLA;Priority;40;3;0.0718
MFF;BLA;Priority;40;2;0.0
MFF;BLA;Priority;40;1;0.0
MFF;BLA;Priority;40;0;0.0
MFF;BLA;Priority;50;3;0.0718
MFF;BLA;Priority;50;2;0.0
MFF;BLA;Priority;50;1;0.0
MFF;BLA;Priority;50;0;0.0
MFF;BLA;Priority;60;3;0.0718
MFF;BLA;Priority;60;2;0.0
MFF;BLA;Priority;60;1;0.0
MFF;BLA;Priority;60;0;0.0
MFF;BLA;Priority;70;3;0.0718
MFF;BLA;Priority;70;2;0.0
MFF;BLA;Priority;70;1;0.0
MFF;BLA;Priority;70;0;0.0
MFF;BLA;PSO;10;3;0.0718
MFF;BLA;PSO;10;2;0.0
MFF;BLA;PSO;10;1;0.0
MFF;BLA;PSO;10;0;0.0
MFF;BLA;PSO;20;3;0.0718
MFF;BLA;PSO;20;2;0.0
MFF;BLA;PSO;20;1;0.0
MFF;BLA;PSO;20;0;0.0
MFF;BLA;PSO;30;3;0.0718
MFF;BLA;PSO;30;2;0.0
MFF;BLA;PSO;30;1;0.0
MFF;BLA;PSO;30;0;0.0
MFF;BLA;PSO;40;3;0.0718
MFF;BLA;PSO;40;2;0.0
MFF;BLA;PSO;40;1;0.0
MFF;BLA;PSO;40;0;0.0
MFF;BLA;PSO;50;3;0.0718
MFF;BLA;PSO;50;2;0.0
MFF;BLA;PSO;50;1;0.0
MFF;BLA;PSO;50;0;0.0
MFF;BLA;SJF;10;3;0.0718
MFF;BLA;SJF;10;2;0.0
MFF;BLA;SJF;10;1;0.0
MFF;BLA;SJF;10;0;0.0
MFF;BLA;SJF;20;3;0.0718
MFF;BLA;SJF;20;2;0.0
MFF;BLA;SJF;20;1;0.0
MFF;BLA;SJF;20;0;0.0
MFF;BLA;SJF;30;3;0.0718
MFF;BLA;SJF;30;2;0.0
MFF;BLA;SJF;30;1;0.0
MFF;BLA;SJF;30;0;0.0
MFF;BLA;SJF;40;3;0.0718
MFF;BLA;SJF;40;2;0.0
MFF;BLA;SJF;40;1;0.0
MFF;BLA;SJF;40;0;0.0
MFF;BLA;SJF;50;3;0.0718
MFF;BLA;SJF;50;2;0.0
MFF;BLA;SJF;50;1;0.0
MFF;BLA;SJF;50;0;0.0
MFF;BLA;SJF;60;3;0.0718
MFF;BLA;SJF;60;2;0.0
MFF;BLA;SJF;60;1;0.0
MFF;BLA;SJF;60;0;0.0
MFF;BLA;SJF;70;3;0.0718
MFF;BLA;SJF;70;2;0.0
MFF;BLA;SJF;70;1;0.0
MFF;BLA;SJF;70;0;0.0
MFF;First;Priority;10;3;0.0718
MFF;First;Priority;10;2;0.0
MFF;First;Priority;10;1;0.0
MFF;First;Priority;10;0;0.0
MFF;First;Priority;20;3;0.0718
MFF;First;Priority;20;2;0.0
MFF;First;Priority;20;1;0.0
MFF;First;Priority;20;0;0.0
MFF;First;Priority;30;3;0.0718
MFF;First;Priority;30;2;0.0
MFF;First;Priority;30;1;0.0
MFF;First;Priority;30;0;0.0
MFF;First;Priority;40;3;0.0718
MFF;First;Priority;40;2;0.0
MFF;First;Priority;40;1;0.0
MFF;First;Priority;40;0;0.0
MFF;First;Priority;50;3;0.0718
MFF;First;Priority;50;2;0.0
MFF;First;Priority;50;1;0.0
MFF;First;Priority;50;0;0.0
MFF;First;Priority;60;3;0.0718
MFF;First;Priority;60;2;0.0
MFF;First;Priority;60;1;0.0
MFF;First;Priority;60;0;0.0
MFF;First;Priority;70;3;0.0718
MFF;First;Priority;70;2;0.0
MFF;First;Priority;70;1;0.0
MFF;First;Priority;70;0;0.0
MFF;First;PSO;10;3;0.0718
MFF;First;PSO;10;2;0.0
MFF;First;PSO;10;1;0.0
MFF;First;PSO;10;0;0.0
MFF;First;PSO;20;3;0.0718
MFF;First;PSO;20;2;0.0
MFF;First;PSO;20;1;0.0
MFF;First;PSO;20;0;0.0
MFF;First;PSO;30;3;0.0718
MFF;First;PSO;30;2;0.0
MFF;First;PSO;30;1;0.0
MFF;First;PSO;30;0;0.0
MFF;First;PSO;40;3;0.0718
MFF;First;PSO;40;2;0.0
MFF;First;PSO;40;1;0.0
MFF;First;PSO;40;0;0.0
MFF;First;PSO;50;3;0.0718
MFF;First;PSO;50;2;0.0
MFF;First;PSO;50;1;0.0
MFF;First;PSO;50;0;0.0
MFF;First;SJF;10;3;0.0718
MFF;First;SJF;10;2;0.0
MFF;First;SJF;10;1;0.0
MFF;First;SJF;10;0;0.0
MFF;First;SJF;20;3;0.0718
MFF;First;SJF;20;2;0.0
MFF;First;SJF;20;1;0.0
MFF;First;SJF;20;0;0.0
MFF;First;SJF;30;3;0.0718
MFF;First;SJF;30;2;0.0
MFF;First;SJF;30;1;0.0
MFF;First;SJF;30;0;0.0
MFF;First;SJF;40;3;0.0718
MFF;First;SJF;40;2;0.0
MFF;First;SJF;40;1;0.0
MFF;First;SJF;40;0;0.0
MFF;First;SJF;50;3;0.0718
MFF;First;SJF;50;2;0.0
MFF;First;SJF;50;1;0.0
MFF;First;SJF;50;0;0.0
MFF;First;SJF;60;3;0.0718
MFF;First;SJF;60;2;0.0
MFF;First;SJF;60;1;0.0
MFF;First;SJF;60;0;0.0
MFF;First;SJF;70;3;0.0718
MFF;First;SJF;70;2;0.0
MFF;First;SJF;70;1;0.0
MFF;First;SJF;70;0;0.0
