# units: time(s); hostId; vmIds
0,00;h_3;4
0,00;h_2;0
0,00;h_1;0
0,00;h_0;0
10;3;2|0|1|3
10;2;
10;1;
10;0;
20;3;2|0|1|3
20;2;
20;1;
20;0;
30;3;2|0|1|3
30;2;
30;1;
30;0;
40;3;2|0|1|3
40;2;
40;1;
40;0;
50;3;2|0|1|3
50;2;
50;1;
50;0;
