time;src;dst;path;min_bw_mbps;avg_bw_used;avg_pct_use;network_latency_ms;proc_delay_ms;total_delay_ms;selected;vm_policy;link_policy;wf_policy;dataset
10;h_0;h_2;h_0->edge0->agg0->edge1->h_2;10.0;0.0;0.0;216004.1005;0.0;2569.9993;True;LFF;BLA;Priority;dataset-LargeVF
10;h_10;h_2;h_10->edge5->agg2->core0->agg0->edge1->h_2;10.0;0.0;0.0;10804.1266;0.0;1329.9997;True;LFF;BLA;Priority;dataset-LargeVF
10;h_1;h_0;h_1->edge0->h_0;10000.0;0.0;0.0;108.1;5471.8996;5579.9997;True;LFF;BLA;Priority;dataset-LargeVF
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;2459.9993;2459.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_2;h_1->edge0->agg0->edge1->h_2;10.0;1006.2;5036.03;72004.1005;0.0;5039.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_5;h_4;h_5->edge2->h_4;10000.0;655.2;6.55;3.7;7956.2996;7959.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_13;h_13;h_13->(LOCAL)->h_13;10000.0;0.0;0.0;0.0;8530.0;8530.0;True;LFF;BLA;Priority;dataset-LargeVF
20;h_4;h_5;h_4->edge2->h_5;10000.0;538.2;5.38;108.1;371.8996;479.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_14;h_1->edge0->agg0->core0->agg3->edge7->h_14;10.0;664.2;2378.76;144004.1282;0.0;9979.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_0;h_14;h_0->edge0->agg0->core0->agg3->edge7->h_14;10.0;620.4;2378.33;108004.1282;0.0;6919.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_0;h_14;h_0->edge0->agg0->core0->agg3->edge7->h_14;10.0;620.4;2378.33;3604.1282;225.8718;3830.0;True;LFF;BLA;Priority;dataset-LargeVF
20;h_0;h_14;h_0->edge0->agg0->core0->agg3->edge7->h_14;10.0;620.4;2378.33;54004.1282;0.0;2500.0;True;LFF;BLA;Priority;dataset-LargeVF
20;h_0;h_1;h_0->edge0->h_1;10000.0;1274.4;12.74;144.1;5595.8999;5740.0;True;LFF;BLA;Priority;dataset-LargeVF
20;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;10.0;1311.6;4216.94;72004.1254;0.0;9819.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;10.0;1311.6;4216.94;72004.1254;0.0;8789.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;10.0;1311.6;4216.94;144004.1254;0.0;6089.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_0;h_1->edge0->h_0;10000.0;1323.0;13.23;10.9;4549.0996;4559.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_0;h_1->edge0->h_0;10000.0;1323.0;13.23;3.7;1776.2996;1779.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_9;h_1;h_9->edge4->agg2->core0->agg0->edge0->h_1;10.0;1158.0;3796.58;14404.1266;0.0;7689.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_5;h_1;h_5->edge2->agg1->core0->agg0->edge0->h_1;10.0;1339.2;4217.21;7204.1254;0.0;7029.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_5;h_1;h_5->edge2->agg1->core0->agg0->edge0->h_1;10.0;1339.2;4217.21;108004.1254;0.0;1980.0;True;LFF;BLA;Priority;dataset-LargeVF
20;h_9;h_1;h_9->edge4->agg2->core0->agg0->edge0->h_1;10.0;1158.0;3796.58;108004.1266;0.0;1560.0;True;LFF;BLA;Priority;dataset-LargeVF
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0;0.0;0.0;0.0;9379.9993;9379.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0;0.0;0.0;0.0;9059.9997;9059.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_10;h_1->edge0->agg0->core1->agg2->edge5->h_10;10.0;706.8;3069.21;7204.1266;155.8727;7359.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_10;h_1->edge0->agg0->core1->agg2->edge5->h_10;10.0;706.8;3069.21;3604.1266;1705.8731;5309.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_10;h_1->edge0->agg0->core1->agg2->edge5->h_10;10.0;706.8;3069.21;54004.1266;0.0;2090.0;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_10;h_1->edge0->agg0->core1->agg2->edge5->h_10;10.0;706.8;3069.21;7204.1266;0.0;1329.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_17;h_10;h_17->edge8->agg5->core0->agg2->edge5->h_10;10.0;271.8;1284.87;72004.1293;0.0;669.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_3;h_1;h_3->edge1->agg0->edge0->h_1;10.0;862.2;4989.64;36004.1005;0.0;6649.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_3;h_1;h_3->edge1->agg0->edge0->h_1;10.0;862.2;4989.64;216004.1005;0.0;3630.0;True;LFF;BLA;Priority;dataset-LargeVF
20;h_9;h_1;h_9->edge4->agg2->core0->agg0->edge0->h_1;10.0;1158.0;3796.58;7204.1266;0.0;3989.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_9;h_1;h_9->edge4->agg2->core0->agg0->edge0->h_1;10.0;1158.0;3796.58;36004.1266;0.0;2269.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_0;h_1->edge0->h_0;10000.0;1323.0;13.23;14.5;1205.4999;1220.0;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_1;h_1->(LOCAL)->h_1;10000.0;0.0;0.0;0.0;4329.9993;4329.9993;True;LFF;BLA;Priority;dataset-LargeVF
20;h_0;h_1;h_0->edge0->h_1;10000.0;1274.4;12.74;108.1;2871.8996;2979.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_1;h_3;h_1->edge0->agg0->edge1->h_3;10.0;869.4;5034.66;10804.1005;0.0;4709.9997;True;LFF;BLA;Priority;dataset-LargeVF
20;h_15;h_2;h_15->edge7->agg3->core0->agg0->edge1->h_2;10.0;547.2;1093.91;10804.1282;0.0;9649.9997;True;LFF;BLA;Priority;dataset-LargeVF
