pkt_id;src;dest;psize;delay_ms;proc_delay_ms;prop_delay_ms;trans_delay_ms;queue_delay_ms;vm_policy;link_policy;wf_policy;dataset
63;web8;app2;13500000;54365.3998;16590.9;0.1;10.8;37759.3798;LFF;BLA;Priority;dataset-LargeVF
225;web0;web0;135000000;17546.1999;3335.4;0.0;0.0;14206.6799;LFF;BLA;Priority;dataset-LargeVF
246;web0;web0;45000000;13147.8999;3409.3;0.0;0.0;9734.4799;LFF;BLA;Priority;dataset-LargeVF
223;db4;web2;90000000;18956.2994;3530.0;0.1;72.0;15349.9993;LFF;BLA;Priority;dataset-LargeVF
116;svc2;app3;18000000;43215.6998;13737.4;0.1;14.4;29459.5797;LFF;BLA;Priority;dataset-LargeVF
170;web0;web0;9000000;33269.3996;10989.8;0.0;0.0;22275.4796;LFF;BLA;Priority;dataset-LargeVF
245;web8;web2;135000000;16746.6998;4430.8;0.1;108.0;12203.5997;LFF;BLA;Priority;dataset-LargeVF
180;web9;web2;4500000;31691.8839;4276.5;4.1282;3600.0;23803.0157;LFF;BLA;Priority;dataset-LargeVF
274;web1;web1;135000000;11012.3996;2136.2;0.0;0.0;8872.0996;LFF;BLA;Priority;dataset-LargeVF
226;web1;web1;45000000;22804.7999;7717.4;0.0;0.0;15083.2999;LFF;BLA;Priority;dataset-LargeVF
231;app2;svc2;90000000;21736.2999;15486.3;0.0;0.0;6249.9999;LFF;BLA;Priority;dataset-LargeVF
77;svc9;web0;9000000;59406.7793;12154.8;4.1266;7200.0;40043.6328;LFF;BLA;Priority;dataset-LargeVF
235;db4;web2;135000000;23885.2001;6110.3;0.1;108.0;17662.6;LFF;BLA;Priority;dataset-LargeVF
265;app9;web1;180000000;18318.7996;4884.4;0.0;0.0;13430.2996;LFF;BLA;Priority;dataset-LargeVF
109;app8;app2;18000000;54011.4763;2329.7;4.1254;14400.0;37269.4108;LFF;BLA;Priority;dataset-LargeVF
156;db2;app1;13500000;45617.2755;3228.3;4.1254;10800.0;31576.6101;LFF;BLA;Priority;dataset-LargeVF
272;web8;app2;270000000;19624.0994;3948.6;0.1;216.0;15455.1793;LFF;BLA;Priority;dataset-LargeVF
89;web0;web1;18000000;61223.1793;3173.6;4.1266;14400.0;43637.2128;LFF;BLA;Priority;dataset-LargeVF
210;app0;web5;4500000;34440.0999;11226.7;0.0;0.0;23209.2799;LFF;BLA;Priority;dataset-LargeVF
220;web0;web0;27000000;32313.7999;7914.6;0.0;0.0;24395.0799;LFF;BLA;Priority;dataset-LargeVF
273;app8;app6;270000000;21175.2001;4552.3;0.1;216.0;16402.58;LFF;BLA;Priority;dataset-LargeVF
207;app9;web3;67500000;37182.7993;17747.3;0.1;54.0;19381.1993;LFF;BLA;Priority;dataset-LargeVF
94;app7;app7;13500000;62749.0;18543.0;0.0;0.0;44201.88;LFF;BLA;Priority;dataset-LargeVF
190;db8;app9;13500000;42533.4836;1493.7;4.1281;10800.0;30227.4155;LFF;BLA;Priority;dataset-LargeVF
271;web7;app3;27000000;24460.5997;5698.5;0.1;21.6;18736.1797;LFF;BLA;Priority;dataset-LargeVF
146;web8;web4;90000000;53396.2993;15892.1;0.0;0.0;37500.0793;LFF;BLA;Priority;dataset-LargeVF
10;web2;web5;90000000;84452.7994;25865.5;0.1;72.0;58510.9794;LFF;BLA;Priority;dataset-LargeVF
287;web5;web5;9000000;21533.0999;5977.7;0.0;0.0;15551.2799;LFF;BLA;Priority;dataset-LargeVF
135;web6;web5;4500000;57283.2765;12850.3;4.1255;3600.0;40820.631;LFF;BLA;Priority;dataset-LargeVF
145;web8;web2;4500000;55598.7994;16555.9;0.1;3.6;39034.9994;LFF;BLA;Priority;dataset-LargeVF
20;svc7;web0;27000000;85493.879;5510.5;4.1266;21600.0;58371.0324;LFF;BLA;Priority;dataset-LargeVF
297;app9;web3;13500000;23110.5993;10789.4;0.1;10.8;12310.0993;LFF;BLA;Priority;dataset-LargeVF
106;app9;app7;18000000;67439.084;6578.9;4.1281;14400.0;46447.8159;LFF;BLA;Priority;dataset-LargeVF
228;svc1;web5;9000000;39830.5047;3799.4;4.1018;7200.0;28818.7828;LFF;BLA;Priority;dataset-LargeVF
175;app8;app2;13500000;53918.2755;4125.3;4.1254;10800.0;38980.6101;LFF;BLA;Priority;dataset-LargeVF
128;app1;app9;9000000;64390.1016;11122.6;4.1005;7200.0;46055.201;LFF;BLA;Priority;dataset-LargeVF
289;app8;web0;4500000;28363.2789;4750.3;4.1266;3600.0;20000.6123;LFF;BLA;Priority;dataset-LargeVF
232;app9;web1;67500000;42014.3996;18042.2;0.0;0.0;23968.0996;LFF;BLA;Priority;dataset-LargeVF
172;web9;web1;18000000;57090.5839;1359.4;4.1282;14400.0;41318.8157;LFF;BLA;Priority;dataset-LargeVF
101;web2;web1;27000000;75194.8013;1627.5;4.1005;21600.0;51959.0007;LFF;BLA;Priority;dataset-LargeVF
264;app6;app8;45000000;39136.3997;10102.7;0.1;36.0;28993.3797;LFF;BLA;Priority;dataset-LargeVF
249;app1;web9;9000000;43130.1846;6452.6;4.1282;7200.0;29465.2164;LFF;BLA;Priority;dataset-LargeVF
202;app9;web1;90000000;53761.7999;25490.9;0.0;0.0;28266.7999;LFF;BLA;Priority;dataset-LargeVF
86;web6;app5;18000000;83139.3792;10199.0;4.1267;14400.0;58528.0126;LFF;BLA;Priority;dataset-LargeVF
14;web8;web2;45000000;100320.7994;31497.5;0.1;36.0;68782.9994;LFF;BLA;Priority;dataset-LargeVF
282;app6;app5;9000000;39521.1789;4329.6;4.1266;7200.0;27979.2123;LFF;BLA;Priority;dataset-LargeVF
251;app8;app2;13500000;47242.0755;4409.9;4.1254;10800.0;32019.8101;LFF;BLA;Priority;dataset-LargeVF
102;web6;app3;27000000;81834.2762;3937.3;4.1255;21600.0;56284.6107;LFF;BLA;Priority;dataset-LargeVF
105;db3;app8;27000000;82306.4793;4224.7;4.1266;21600.0;56469.4128;LFF;BLA;Priority;dataset-LargeVF
242;app8;app2;18000000;52210.8762;1689.5;4.1254;14400.0;36109.0108;LFF;BLA;Priority;dataset-LargeVF
198;web5;web5;27000000;62362.9999;19531.0;0.0;0.0;42827.8799;LFF;BLA;Priority;dataset-LargeVF
147;svc9;web0;13500000;74434.6796;12144.1;4.1266;10800.0;51482.2331;LFF;BLA;Priority;dataset-LargeVF
129;app0;web0;18000000;79384.2793;8987.3;4.1266;14400.0;55988.6328;LFF;BLA;Priority;dataset-LargeVF
162;web9;web2;27000000;72662.8839;1943.5;4.1282;21600.0;49107.0157;LFF;BLA;Priority;dataset-LargeVF
348;web4;db4;270000000;5627.1996;1287.2;0.0;0.0;4339.9996;LFF;BLA;Priority;dataset-LargeVF
378;app2;svc2;270000000;2866.1992;1446.2;0.0;0.0;1419.9992;LFF;BLA;Priority;dataset-LargeVF
239;web9;web1;13500000;57918.8843;7015.5;4.1282;10800.0;40091.016;LFF;BLA;Priority;dataset-LargeVF
388;app3;web8;135000000;4089.9995;1210.0;0.0;0.0;2875.8795;LFF;BLA;Priority;dataset-LargeVF
119;web0;web1;27000000;85365.0789;6420.9;4.1266;21600.0;57331.8124;LFF;BLA;Priority;dataset-LargeVF
139;db9;web0;27000000;83207.088;3694.9;4.1293;21600.0;57899.8187;LFF;BLA;Priority;dataset-LargeVF
315;web2;app2;270000000;14105.9992;6276.0;0.0;0.0;7829.9992;LFF;BLA;Priority;dataset-LargeVF
216;db7;web0;4500000;66430.7793;15392.8;4.1266;3600.0;47425.6127;LFF;BLA;Priority;dataset-LargeVF
353;app4;web8;90000000;11070.2;2321.3;0.1;72.0;8672.58;LFF;BLA;Priority;dataset-LargeVF
233;app7;web4;18000000;63086.9843;4748.2;4.1281;14400.0;43926.4162;LFF;BLA;Priority;dataset-LargeVF
354;db0;web7;180000000;11583.5999;2591.2;0.0;0.0;8988.2799;LFF;BLA;Priority;dataset-LargeVF
295;db7;web0;13500000;50241.4789;5299.7;4.1266;10800.0;34129.4123;LFF;BLA;Priority;dataset-LargeVF
358;app6;app8;90000000;12056.8997;2820.2;0.1;72.0;9160.3797;LFF;BLA;Priority;dataset-LargeVF
335;svc2;app3;270000000;15692.2993;3108.0;0.1;216.0;12363.9793;LFF;BLA;Priority;dataset-LargeVF
201;app5;web4;18000000;73806.5793;9161.4;4.1266;14400.0;50232.8127;LFF;BLA;Priority;dataset-LargeVF
263;web0;web1;18000000;59821.9796;2533.2;4.1266;14400.0;42876.413;LFF;BLA;Priority;dataset-LargeVF
334;web0;web0;180000000;17836.5999;4002.2;0.0;0.0;13830.2799;LFF;BLA;Priority;dataset-LargeVF
213;app0;web0;27000000;72287.5789;2438.4;4.1266;21600.0;48240.8323;LFF;BLA;Priority;dataset-LargeVF
304;web4;db4;90000000;22088.3999;13078.4;0.0;0.0;9009.9999;LFF;BLA;Priority;dataset-LargeVF
441;app9;web3;135000000;9004.6;1699.2;0.1;108.0;7197.0999;LFF;BLA;Priority;dataset-LargeVF
309;app8;app6;270000000;22061.1994;4334.3;0.1;216.0;17506.5793;LFF;BLA;Priority;dataset-LargeVF
485;web2;app2;90000000;5612.9992;4743.0;0.0;0.0;869.9992;LFF;BLA;Priority;dataset-LargeVF
374;db4;web2;270000000;16664.0997;4718.6;0.1;216.0;11725.1997;LFF;BLA;Priority;dataset-LargeVF
369;db0;web7;180000000;17233.0996;4947.7;0.0;0.0;12281.2796;LFF;BLA;Priority;dataset-LargeVF
196;db6;web1;13500000;79380.0843;14225.9;4.1282;10800.0;54341.8161;LFF;BLA;Priority;dataset-LargeVF
351;web4;db4;135000000;19301.4996;15201.5;0.0;0.0;4099.9996;LFF;BLA;Priority;dataset-LargeVF
462;web8;app2;90000000;9067.8997;1877.2;0.1;72.0;7114.3796;LFF;BLA;Priority;dataset-LargeVF
452;web0;web0;270000000;10705.2992;2115.1;0.0;0.0;8586.0792;LFF;BLA;Priority;dataset-LargeVF
418;web8;web4;180000000;15337.3992;2595.8;0.0;0.0;12737.4792;LFF;BLA;Priority;dataset-LargeVF
173;app7;web2;27000000;87923.584;4480.4;4.1281;21600.0;61830.8159;LFF;BLA;Priority;dataset-LargeVF
489;db0;web7;180000000;8732.7995;2777.6;0.0;0.0;5951.0795;LFF;BLA;Priority;dataset-LargeVF
464;web7;web4;90000000;11647.4;2793.7;0.1;72.0;8777.38;LFF;BLA;Priority;dataset-LargeVF
113;web2;web1;13500000;103338.6009;22712.1;4.1005;10800.0;69818.2003;LFF;BLA;Priority;dataset-LargeVF
11;app0;web0;45000000;128093.3797;4517.0;4.1266;36000.0;87568.0331;LFF;BLA;Priority;dataset-LargeVF
496;app2;svc2;270000000;11644.0992;2174.1;0.0;0.0;9469.9992;LFF;BLA;Priority;dataset-LargeVF
500;web2;app2;180000000;11621.2998;2511.3;0.0;0.0;9109.9998;LFF;BLA;Priority;dataset-LargeVF
506;svc2;app3;135000000;11329.2996;825.0;0.1;108.0;10391.9796;LFF;BLA;Priority;dataset-LargeVF
450;web3;web1;135000000;17454.6;4180.1;0.1;108.0;13162.2;LFF;BLA;Priority;dataset-LargeVF
501;app0;web5;270000000;12924.4995;1291.5;0.0;0.0;11628.8795;LFF;BLA;Priority;dataset-LargeVF
525;app2;svc2;135000000;10314.2998;3914.3;0.0;0.0;6399.9998;LFF;BLA;Priority;dataset-LargeVF
560;app9;web1;90000000;6723.5998;2106.8;0.0;0.0;4612.6998;LFF;BLA;Priority;dataset-LargeVF
416;app3;web7;90000000;22657.4;4903.7;0.1;72.0;17677.38;LFF;BLA;Priority;dataset-LargeVF
420;app9;web3;135000000;22367.6;7390.7;0.1;108.0;14868.5999;LFF;BLA;Priority;dataset-LargeVF
417;web7;web4;135000000;23017.4;5017.7;0.1;108.0;17887.38;LFF;BLA;Priority;dataset-LargeVF
56;svc8;web1;45000000;121977.7839;2511.8;4.1282;36000.0;83453.6157;LFF;BLA;Priority;dataset-LargeVF
362;web2;web5;135000000;31650.7997;9445.5;0.1;108.0;22092.9797;LFF;BLA;Priority;dataset-LargeVF
459;db0;web7;90000000;23428.0995;6632.7;0.0;0.0;16791.2795;LFF;BLA;Priority;dataset-LargeVF
562;app4;web8;180000000;12663.0996;3313.6;0.1;144.0;9201.1796;LFF;BLA;Priority;dataset-LargeVF
517;app3;web8;135000000;18093.7991;3574.6;0.0;0.0;14515.0791;LFF;BLA;Priority;dataset-LargeVF
523;app4;web8;270000000;19235.1996;3982.3;0.1;216.0;15032.5796;LFF;BLA;Priority;dataset-LargeVF
122;web0;web1;45000000;113392.8793;1543.5;4.1266;36000.0;75837.0128;LFF;BLA;Priority;dataset-LargeVF
70;db6;web1;27000000;125538.6843;19362.1;4.1282;21600.0;84564.2161;LFF;BLA;Priority;dataset-LargeVF
312;db4;web2;180000000;41523.7993;11020.5;0.1;144.0;30354.9993;LFF;BLA;Priority;dataset-LargeVF
493;db0;web7;180000000;24123.3995;4747.8;0.0;0.0;19371.4795;LFF;BLA;Priority;dataset-LargeVF
393;web7;app3;135000000;36381.0997;8705.6;0.1;108.0;27563.1796;LFF;BLA;Priority;dataset-LargeVF
474;app7;app7;180000000;28668.5992;8896.2;0.0;0.0;19768.2792;LFF;BLA;Priority;dataset-LargeVF
65;app5;web8;9000000;131955.6789;35451.1;4.1266;7200.0;89296.2324;LFF;BLA;Priority;dataset-LargeVF
515;web2;app2;180000000;26187.9998;18548.0;0.0;0.0;7639.9998;LFF;BLA;Priority;dataset-LargeVF
618;web2;web5;270000000;15563.2996;2685.0;0.1;216.0;12657.9796;LFF;BLA;Priority;dataset-LargeVF
394;web8;web2;180000000;39890.4997;9869.4;0.1;144.0;29872.7996;LFF;BLA;Priority;dataset-LargeVF
637;db4;web2;90000000;16053.1996;3652.3;0.1;72.0;12324.5995;LFF;BLA;Priority;dataset-LargeVF
463;web7;web4;180000000;34901.2997;10443.0;0.1;144.0;24309.9796;LFF;BLA;Priority;dataset-LargeVF
259;app8;web0;27000000;92391.5796;9186.4;4.1266;21600.0;61592.813;LFF;BLA;Priority;dataset-LargeVF
184;app8;app2;27000000;111127.3755;13085.0;4.1254;21600.0;76430.0101;LFF;BLA;Priority;dataset-LargeVF
663;web8;web2;270000000;16653.0999;4511.6;0.1;216.0;11921.1999;LFF;BLA;Priority;dataset-LargeVF
646;web7;web4;90000000;18336.8996;4710.2;0.1;72.0;13550.3795;LFF;BLA;Priority;dataset-LargeVF
579;app6;app8;180000000;25226.8993;8038.2;0.1;144.0;17040.3792;LFF;BLA;Priority;dataset-LargeVF
