# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
200;4;3.1250;6.2500;5.0000;6.3418
200;3;0.7813;3.1250;4.0000;6.3390
200;2;1.5625;6.2500;6.0000;6.3406
200;1;0.7813;3.1250;2.0000;6.3389
200;0;0.7813;3.1250;2.5000;6.3390
210;5;6.2500;12.5000;10.0000;6.6801
210;4;3.1250;6.2500;5.0000;6.6754
210;3;0.7813;3.1250;4.0000;6.6725
210;2;1.5625;6.2500;6.0000;6.6741
210;1;0.7813;3.1250;2.0000;6.6723
210;0;0.7813;3.1250;2.5000;6.6724
220;5;6.2500;12.5000;10.0000;7.0139
220;4;3.1250;6.2500;5.0000;7.0090
220;3;0.7813;3.1250;4.0000;7.0059
220;2;1.5625;6.2500;6.0000;7.0076
220;1;0.7813;3.1250;2.0000;7.0058
220;0;0.7813;3.1250;2.5000;7.0058
230;5;6.2500;12.5000;10.0000;7.3477
230;4;3.1250;6.2500;5.0000;7.3425
230;3;0.7813;3.1250;4.0000;7.3393
230;2;1.5625;6.2500;6.0000;7.3411
230;1;0.7813;3.1250;2.0000;7.3392
230;0;0.7813;3.1250;2.5000;7.3392
240;5;6.2500;12.5000;10.0000;7.6815
240;4;3.1250;6.2500;5.0000;7.6761
240;3;0.7813;3.1250;4.0000;7.6727
240;2;1.5625;6.2500;6.0000;7.6746
240;1;0.7813;3.1250;2.0000;7.6726
240;0;0.7813;3.1250;2.5000;7.6726
250;5;6.2500;12.5000;10.0000;8.0153
250;4;3.1250;6.2500;5.0000;8.0097
250;3;0.7813;3.1250;4.0000;8.0061
250;2;1.5625;6.2500;6.0000;8.0081
250;1;0.7813;3.1250;2.0000;8.0060
250;0;0.7813;3.1250;2.5000;8.0060
260;5;6.2500;12.5000;10.0000;8.3491
260;4;3.1250;6.2500;5.0000;8.3432
260;3;0.7813;3.1250;4.0000;8.3396
260;2;1.5625;6.2500;6.0000;8.3416
260;1;0.7813;3.1250;2.0000;8.3394
260;0;0.7813;3.1250;2.5000;8.3395
270;5;6.2500;12.5000;10.0000;8.6829
270;4;3.1250;6.2500;5.0000;8.6768
270;3;0.7813;3.1250;4.0000;8.6730
270;2;1.5625;6.2500;6.0000;8.6751
270;1;0.7813;3.1250;2.0000;8.6728
270;0;0.7813;3.1250;2.5000;8.6729
280;5;6.2500;12.5000;10.0000;9.0167
280;4;3.1250;6.2500;5.0000;9.0104
280;3;0.7813;3.1250;4.0000;9.0064
280;2;1.5625;6.2500;6.0000;9.0086
280;1;0.7813;3.1250;2.0000;9.0063
280;0;0.7813;3.1250;2.5000;9.0063
290;5;6.2500;12.5000;10.0000;9.3505
290;4;3.1250;6.2500;5.0000;9.3439
290;3;0.7813;3.1250;4.0000;9.3398
290;2;1.5625;6.2500;6.0000;9.3421
290;1;0.7813;3.1250;2.0000;9.3397
290;0;0.7813;3.1250;2.5000;9.3397
300;5;6.2500;12.5000;10.0000;9.6843
300;4;3.1250;6.2500;5.0000;9.6775
300;3;0.7813;3.1250;4.0000;9.6733
300;2;1.5625;6.2500;6.0000;9.6756
300;1;0.7813;3.1250;2.0000;9.6731
300;0;0.7813;3.1250;2.5000;9.6731
310;5;6.2500;12.5000;10.0000;10.0181
310;4;3.1250;6.2500;5.0000;10.0111
310;3;0.7813;3.1250;4.0000;10.0067
310;2;1.5625;6.2500;6.0000;10.0091
310;1;0.7813;3.1250;2.0000;10.0065
310;0;0.7813;3.1250;2.5000;10.0065
320;5;6.2500;12.5000;10.0000;10.3519
