# units: hostId; total_energy(Wh)
3012;h_5;5;100.4785
3012;h_4;4;100.4079
3012;h_3;3;100.3638
3012;h_2;2;100.3886
3012;h_1;1;100.3622
3012;h_0;0;100.3626
TOTAL;;;602.3636
3012;h_5;5;100.4785
3012;h_4;4;100.4079
3012;h_3;3;100.3638
3012;h_2;2;100.3886
3012;h_1;1;100.3622
3012;h_0;0;100.3626
TOTAL;;;602.3636
3012;h_5;5;100.4785
3012;h_4;4;100.4079
3012;h_3;3;100.3638
3012;h_2;2;100.3886
3012;h_1;1;100.3622
3012;h_0;0;100.3626
TOTAL;;;602.3636
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
4010;h_3;3;133.7073
4010;h_2;2;133.7403
4010;h_1;1;133.7051
4010;h_0;0;133.7056
TOTAL;;;802.4844
4010;h_5;5;133.8600
4010;h_4;4;133.7660
