# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
100;4;0.7813;3.1250;4.0000;3.3342
100;3;1.1719;4.6875;4.5000;3.3346
100;2;1.5625;6.2500;4.0000;3.3350
100;1;3.1250;6.2500;5.0000;3.3357
100;0;1.9531;4.6875;4.5000;3.3349
110;11;1.5625;6.2500;6.0000;3.6685
110;10;1.5625;6.2500;5.0000;3.6685
110;9;1.1719;4.6875;5.0000;3.6681
110;8;6.2500;12.5000;10.0000;3.6718
110;7;1.5625;6.2500;5.0000;3.6685
110;6;1.9531;4.6875;4.0000;3.6684
110;5;6.2500;12.5000;10.0000;3.6718
110;4;0.7813;3.1250;4.0000;3.6676
110;3;1.1719;4.6875;4.5000;3.6681
110;2;1.5625;6.2500;4.0000;3.6685
110;1;3.1250;6.2500;5.0000;3.6692
110;0;1.9531;4.6875;4.5000;3.6684
120;11;1.5625;6.2500;6.0000;4.0020
120;10;1.5625;6.2500;5.0000;4.0020
120;9;1.1719;4.6875;5.0000;4.0015
120;8;6.2500;12.5000;10.0000;4.0056
120;7;1.5625;6.2500;5.0000;4.0020
120;6;1.9531;4.6875;4.0000;4.0019
120;5;6.2500;12.5000;10.0000;4.0056
120;4;0.7813;3.1250;4.0000;4.0011
120;3;1.1719;4.6875;4.5000;4.0015
120;2;1.5625;6.2500;4.0000;4.0020
120;1;3.1250;6.2500;5.0000;4.0028
120;0;1.9531;4.6875;4.5000;4.0019
130;11;1.5625;6.2500;6.0000;4.3355
130;10;1.5625;6.2500;5.0000;4.3355
130;9;1.1719;4.6875;5.0000;4.3350
130;8;6.2500;12.5000;10.0000;4.3394
130;7;1.5625;6.2500;5.0000;4.3355
130;6;1.9531;4.6875;4.0000;4.3354
130;5;6.2500;12.5000;10.0000;4.3394
130;4;0.7813;3.1250;4.0000;4.3345
130;3;1.1719;4.6875;4.5000;4.3350
130;2;1.5625;6.2500;4.0000;4.3355
130;1;3.1250;6.2500;5.0000;4.3364
130;0;1.9531;4.6875;4.5000;4.3354
140;11;1.5625;6.2500;6.0000;4.6691
140;10;1.5625;6.2500;5.0000;4.6690
140;9;1.1719;4.6875;5.0000;4.6685
140;8;6.2500;12.5000;10.0000;4.6732
140;7;1.5625;6.2500;5.0000;4.6690
140;6;1.9531;4.6875;4.0000;4.6689
140;5;6.2500;12.5000;10.0000;4.6732
140;4;0.7813;3.1250;4.0000;4.6679
140;3;1.1719;4.6875;4.5000;4.6685
140;2;1.5625;6.2500;4.0000;4.6690
140;1;3.1250;6.2500;5.0000;4.6699
140;0;1.9531;4.6875;4.5000;4.6689
150;11;1.5625;6.2500;6.0000;5.0026
150;10;1.5625;6.2500;5.0000;5.0025
150;9;1.1719;4.6875;5.0000;5.0019
150;8;6.2500;12.5000;10.0000;5.0070
150;7;1.5625;6.2500;5.0000;5.0025
150;6;1.9531;4.6875;4.0000;5.0024
150;5;6.2500;12.5000;10.0000;5.0070
150;4;0.7813;3.1250;4.0000;5.0013
150;3;1.1719;4.6875;4.5000;5.0019
150;2;1.5625;6.2500;4.0000;5.0025
150;1;3.1250;6.2500;5.0000;5.0035
150;0;1.9531;4.6875;4.5000;5.0024
160;11;1.5625;6.2500;6.0000;5.3361
160;10;1.5625;6.2500;5.0000;5.3360
160;9;1.1719;4.6875;5.0000;5.3354
160;8;6.2500;12.5000;10.0000;5.3408
160;7;1.5625;6.2500;5.0000;5.3360
160;6;1.9531;4.6875;4.0000;5.3359
160;5;6.2500;12.5000;10.0000;5.3408
160;4;0.7813;3.1250;4.0000;5.3347
160;3;1.1719;4.6875;4.5000;5.3354
160;2;1.5625;6.2500;4.0000;5.3360
160;1;3.1250;6.2500;5.0000;5.3371
160;0;1.9531;4.6875;4.5000;5.3359
170;11;1.5625;6.2500;6.0000;5.6696
170;10;1.5625;6.2500;5.0000;5.6695
170;9;1.1719;4.6875;5.0000;5.6689
170;8;6.2500;12.5000;10.0000;5.6746
170;7;1.5625;6.2500;5.0000;5.6695
170;6;1.9531;4.6875;4.0000;5.6694
170;5;6.2500;12.5000;10.0000;5.6746
170;4;0.7813;3.1250;4.0000;5.6682
170;3;1.1719;4.6875;4.5000;5.6688
170;2;1.5625;6.2500;4.0000;5.6695
170;1;3.1250;6.2500;5.0000;5.6707
170;0;1.9531;4.6875;4.5000;5.6694
180;11;1.5625;6.2500;6.0000;6.0031
180;10;1.5625;6.2500;5.0000;6.0030
180;9;1.1719;4.6875;5.0000;6.0023
180;8;6.2500;12.5000;10.0000;6.0084
180;7;1.5625;6.2500;5.0000;6.0030
180;6;1.9531;4.6875;4.0000;6.0029
180;5;6.2500;12.5000;10.0000;6.0084
180;4;0.7813;3.1250;4.0000;6.0016
180;3;1.1719;4.6875;4.5000;6.0023
180;2;1.5625;6.2500;4.0000;6.0030
180;1;3.1250;6.2500;5.0000;6.0042
180;0;1.9531;4.6875;4.5000;6.0029
190;11;1.5625;6.2500;6.0000;6.3366
190;10;1.5625;6.2500;5.0000;6.3365
190;9;1.1719;4.6875;5.0000;6.3358
190;8;6.2500;12.5000;10.0000;6.3422
190;7;1.5625;6.2500;5.0000;6.3365
190;6;1.9531;4.6875;4.0000;6.3364
190;5;6.2500;12.5000;10.0000;6.3422
190;4;0.7813;3.1250;4.0000;6.3350
190;3;1.1719;4.6875;4.5000;6.3358
190;2;1.5625;6.2500;4.0000;6.3365
190;1;3.1250;6.2500;5.0000;6.3378
190;0;1.9531;4.6875;4.5000;6.3364
200;11;1.5625;6.2500;6.0000;6.6701
200;10;1.5625;6.2500;5.0000;6.6700
200;9;1.1719;4.6875;5.0000;6.6692
200;8;6.2500;12.5000;10.0000;6.6760
200;7;1.5625;6.2500;5.0000;6.6700
200;6;1.9531;4.6875;4.0000;6.6699
200;5;6.2500;12.5000;10.0000;6.6760
200;4;0.7813;3.1250;4.0000;6.6684
200;3;1.1719;4.6875;4.5000;6.6692
200;2;1.5625;6.2500;4.0000;6.6700
200;1;3.1250;6.2500;5.0000;6.6714
200;0;1.9531;4.6875;4.5000;6.6699
210;11;1.5625;6.2500;6.0000;7.0036
210;10;1.5625;6.2500;5.0000;7.0035
210;9;1.1719;4.6875;5.0000;7.0027
210;8;6.2500;12.5000;10.0000;7.0098
210;7;1.5625;6.2500;5.0000;7.0035
210;6;1.9531;4.6875;4.0000;7.0034
210;5;6.2500;12.5000;10.0000;7.0098
210;4;0.7813;3.1250;4.0000;7.0018
210;3;1.1719;4.6875;4.5000;7.0027
210;2;1.5625;6.2500;4.0000;7.0035
210;1;3.1250;6.2500;5.0000;7.0049
210;0;1.9531;4.6875;4.5000;7.0034
220;11;1.5625;6.2500;6.0000;7.3371
220;10;1.5625;6.2500;5.0000;7.3370
220;9;1.1719;4.6875;5.0000;7.3362
220;8;6.2500;12.5000;10.0000;7.3436
220;7;1.5625;6.2500;5.0000;7.3370
220;6;1.9531;4.6875;4.0000;7.3368
220;5;6.2500;12.5000;10.0000;7.3436
220;4;0.7813;3.1250;4.0000;7.3353
220;3;1.1719;4.6875;4.5000;7.3361
220;2;1.5625;6.2500;4.0000;7.3370
220;1;3.1250;6.2500;5.0000;7.3385
220;0;1.9531;4.6875;4.5000;7.3369
230;11;1.5625;6.2500;6.0000;7.6706
230;10;1.5625;6.2500;5.0000;7.6705
230;9;1.1719;4.6875;5.0000;7.6696
230;8;6.2500;12.5000;10.0000;7.6774
230;7;1.5625;6.2500;5.0000;7.6705
230;6;1.9531;4.6875;4.0000;7.6703
230;5;6.2500;12.5000;10.0000;7.6774
230;4;0.7813;3.1250;4.0000;7.6687
230;3;1.1719;4.6875;4.5000;7.6696
230;2;1.5625;6.2500;4.0000;7.6705
230;1;3.1250;6.2500;5.0000;7.6721
230;0;1.9531;4.6875;4.5000;7.6704
240;11;1.5625;6.2500;6.0000;8.0041
240;10;1.5625;6.2500;5.0000;8.0040
240;9;1.1719;4.6875;5.0000;8.0031
240;8;6.2500;12.5000;10.0000;8.0113
240;7;1.5625;6.2500;5.0000;8.0040
240;6;1.9531;4.6875;4.0000;8.0038
240;5;6.2500;12.5000;10.0000;8.0113
240;4;0.7813;3.1250;4.0000;8.0021
240;3;1.1719;4.6875;4.5000;8.0031
240;2;1.5625;6.2500;4.0000;8.0040
240;1;3.1250;6.2500;5.0000;8.0056
240;0;1.9531;4.6875;4.5000;8.0039
250;11;1.5625;6.2500;6.0000;8.3376
250;10;1.5625;6.2500;5.0000;8.3375
250;9;1.1719;4.6875;5.0000;8.3366
250;8;6.2500;12.5000;10.0000;8.3451
250;7;1.5625;6.2500;5.0000;8.3375
250;6;1.9531;4.6875;4.0000;8.3373
250;5;6.2500;12.5000;10.0000;8.3451
250;4;0.7813;3.1250;4.0000;8.3355
250;3;1.1719;4.6875;4.5000;8.3365
250;2;1.5625;6.2500;4.0000;8.3375
250;1;3.1250;6.2500;5.0000;8.3392
250;0;1.9531;4.6875;4.5000;8.3374
260;11;1.5625;6.2500;6.0000;8.6711
