0;1;2;3;4;5;6;7;8;9;10;vm_policy;link_policy;wf_policy
30;h_2;h_1;h_2->edge1->agg1->core0->agg0->edge0->h_1;1000.0;274.67;9.54;800.3374;99.6626;900.0;True;LFF;BLA;Priority
30;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;317.33;16.31;400.3576;6899.6423;7299.9999;True;LFF;BLA;Priority
30;h_1;h_0;h_1->edge0->h_0;1000.0;190.0;19.0;40.1;2659.8999;2700.0;True;LFF;BLA;Priority
30;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;285.33;13.11;800.3576;0.0;100.0;True;LFF;BLA;Priority
40;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0;64.67;4.98;80.3576;2719.6423;2799.9999;True;LFF;BLA;Priority
40;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0;30.0;2.26;400.3374;9099.6625;9499.9999;True;LFF;BLA;Priority
40;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;395.33;18.41;80.3576;8419.6423;8499.9999;True;LFF;BLA;Priority
40;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0;415.33;15.9;800.3374;5899.6626;6700.0;True;LFF;BLA;Priority
40;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;395.33;18.41;80.3576;3319.6423;3399.9999;True;LFF;BLA;Priority
40;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;395.33;18.41;800.3576;499.6424;1300.0;True;LFF;BLA;Priority
40;h_1;h_0;h_1->edge0->h_0;1000.0;186.0;18.6;800.1;0.0;700.0;True;LFF;BLA;Priority
40;h_2;h_1;h_2->edge1->agg1->core0->agg0->edge0->h_1;1000.0;440.0;18.36;40.3374;5659.6625;5699.9999;True;LFF;BLA;Priority
40;h_0;h_1;h_0->edge0->h_1;1000.0;100.0;10.0;160.1;2039.8999;2200.0;True;LFF;BLA;Priority
40;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;395.33;18.41;40.3576;7559.6424;7600.0;True;LFF;BLA;Priority
40;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;395.33;18.41;600.3576;4299.6424;4900.0;True;LFF;BLA;Priority
40;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;395.33;18.41;600.3576;3599.6423;4200.0;True;LFF;BLA;Priority
50;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;416.0;22.84;40.3576;8659.6423;8700.0;True;LFF;BLA;Priority
50;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;404.0;21.64;800.3576;6999.6424;7800.0;True;LFF;BLA;Priority
50;h_1;h_0;h_1->edge0->h_0;1000.0;332.0;33.2;400.1;2299.8999;2700.0;True;LFF;BLA;Priority
50;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;416.0;22.84;400.3576;699.6423;1100.0;True;LFF;BLA;Priority
50;h_2;h_1;h_2->edge1->agg1->core0->agg0->edge0->h_1;1000.0;238.67;6.37;40.3374;9959.6626;10000.0;True;LFF;BLA;Priority
50;h_2;h_1;h_2->edge1->agg1->core0->agg0->edge0->h_1;1000.0;238.67;6.37;600.3374;0.0;199.9999;True;LFF;BLA;Priority
50;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;6899.9999;6899.9999;True;LFF;BLA;Priority
50;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0;416.0;22.84;160.3576;5939.6423;6099.9999;True;LFF;BLA;Priority
50;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;404.0;21.64;400.3576;4899.6423;5300.0;True;LFF;BLA;Priority
50;h_1;h_0;h_1->edge0->h_0;1000.0;332.0;33.2;800.1;3899.8999;4700.0;True;LFF;BLA;Priority
50;h_0;h_0;h_0->(LOCAL)->h_0;10000.0;0.0;0.0;0.0;4099.9999;4099.9999;True;LFF;BLA;Priority
50;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0;404.0;21.64;40.3576;3459.6423;3499.9999;True;LFF;BLA;Priority
