0;1;2;vm_policy;link_policy;wf_policy
220;8;3.8923;LFF;BLA;Priority
220;7;3.8923;LFF;BLA;Priority
220;6;3.8923;LFF;BLA;Priority
230;12;4.0776;LFF;BLA;Priority
230;11;4.0776;LFF;BLA;Priority
230;10;4.0776;LFF;BLA;Priority
230;9;4.0776;LFF;BLA;Priority
230;8;4.0776;LFF;BLA;Priority
230;7;4.0776;LFF;BLA;Priority
230;6;4.0776;LFF;BLA;Priority
240;12;4.2629;LFF;BLA;Priority
240;11;4.2629;LFF;BLA;Priority
240;10;4.2629;LFF;BLA;Priority
240;9;4.2629;LFF;BLA;Priority
240;8;4.2629;LFF;BLA;Priority
240;7;4.2629;LFF;BLA;Priority
240;6;4.2629;LFF;BLA;Priority
250;12;4.4482;LFF;BLA;Priority
250;11;4.4482;LFF;BLA;Priority
250;10;4.4482;LFF;BLA;Priority
250;9;4.4482;LFF;BLA;Priority
250;8;4.4482;LFF;BLA;Priority
250;7;4.4482;LFF;BLA;Priority
250;6;4.4482;LFF;BLA;Priority
260;12;4.6334;LFF;BLA;Priority
260;11;4.6334;LFF;BLA;Priority
260;10;4.6334;LFF;BLA;Priority
260;9;4.6334;LFF;BLA;Priority
260;8;4.6334;LFF;BLA;Priority
260;7;4.6334;LFF;BLA;Priority
260;6;4.6334;LFF;BLA;Priority
270;12;4.8187;LFF;BLA;Priority
270;11;4.8187;LFF;BLA;Priority
270;10;4.8187;LFF;BLA;Priority
270;9;4.8187;LFF;BLA;Priority
270;8;4.8187;LFF;BLA;Priority
270;7;4.8187;LFF;BLA;Priority
270;6;4.8187;LFF;BLA;Priority
280;12;5.004;LFF;BLA;Priority
280;11;5.004;LFF;BLA;Priority
280;10;5.004;LFF;BLA;Priority
280;9;5.004;LFF;BLA;Priority
280;8;5.004;LFF;BLA;Priority
280;7;5.004;LFF;BLA;Priority
280;6;5.004;LFF;BLA;Priority
290;12;5.1893;LFF;BLA;Priority
290;11;5.1893;LFF;BLA;Priority
290;10;5.1893;LFF;BLA;Priority
290;9;5.1893;LFF;BLA;Priority
290;8;5.1893;LFF;BLA;Priority
290;7;5.1893;LFF;BLA;Priority
290;6;5.1893;LFF;BLA;Priority
300;12;5.3746;LFF;BLA;Priority
300;11;5.3746;LFF;BLA;Priority
300;10;5.3746;LFF;BLA;Priority
300;9;5.3746;LFF;BLA;Priority
300;8;5.3746;LFF;BLA;Priority
300;7;5.3746;LFF;BLA;Priority
300;6;5.3746;LFF;BLA;Priority
310;12;5.5598;LFF;BLA;Priority
310;11;5.5598;LFF;BLA;Priority
310;10;5.5598;LFF;BLA;Priority
310;9;5.5598;LFF;BLA;Priority
310;8;5.5598;LFF;BLA;Priority
310;7;5.5598;LFF;BLA;Priority
310;6;5.5598;LFF;BLA;Priority
320;12;5.7451;LFF;BLA;Priority
320;11;5.7451;LFF;BLA;Priority
320;10;5.7451;LFF;BLA;Priority
320;9;5.7451;LFF;BLA;Priority
320;8;5.7451;LFF;BLA;Priority
320;7;5.7451;LFF;BLA;Priority
320;6;5.7451;LFF;BLA;Priority
330;12;5.9304;LFF;BLA;Priority
330;11;5.9304;LFF;BLA;Priority
330;10;5.9304;LFF;BLA;Priority
330;9;5.9304;LFF;BLA;Priority
330;8;5.9304;LFF;BLA;Priority
330;7;5.9304;LFF;BLA;Priority
330;6;5.9304;LFF;BLA;Priority
340;12;6.1157;LFF;BLA;Priority
340;11;6.1157;LFF;BLA;Priority
340;10;6.1157;LFF;BLA;Priority
340;9;6.1157;LFF;BLA;Priority
340;8;6.1157;LFF;BLA;Priority
340;7;6.1157;LFF;BLA;Priority
340;6;6.1157;LFF;BLA;Priority
350;12;6.3009;LFF;BLA;Priority
350;11;6.3009;LFF;BLA;Priority
350;10;6.3009;LFF;BLA;Priority
350;9;6.3009;LFF;BLA;Priority
350;8;6.3009;LFF;BLA;Priority
350;7;6.3009;LFF;BLA;Priority
350;6;6.3009;LFF;BLA;Priority
360;12;6.4862;LFF;BLA;Priority
360;11;6.4862;LFF;BLA;Priority
360;10;6.4862;LFF;BLA;Priority
360;9;6.4862;LFF;BLA;Priority
360;8;6.4862;LFF;BLA;Priority
360;7;6.4862;LFF;BLA;Priority
360;6;6.4862;LFF;BLA;Priority
370;12;6.6715;LFF;BLA;Priority
370;11;6.6715;LFF;BLA;Priority
370;10;6.6715;LFF;BLA;Priority
370;9;6.6715;LFF;BLA;Priority
370;8;6.6715;LFF;BLA;Priority
370;7;6.6715;LFF;BLA;Priority
370;6;6.6715;LFF;BLA;Priority
380;12;6.8568;LFF;BLA;Priority
380;11;6.8568;LFF;BLA;Priority
380;10;6.8568;LFF;BLA;Priority
380;9;6.8568;LFF;BLA;Priority
380;8;6.8568;LFF;BLA;Priority
380;7;6.8568;LFF;BLA;Priority
380;6;6.8568;LFF;BLA;Priority
390;12;7.0421;LFF;BLA;Priority
390;11;7.0421;LFF;BLA;Priority
390;10;7.0421;LFF;BLA;Priority
390;9;7.0421;LFF;BLA;Priority
390;8;7.0421;LFF;BLA;Priority
390;7;7.0421;LFF;BLA;Priority
390;6;7.0421;LFF;BLA;Priority
400;12;7.2273;LFF;BLA;Priority
400;11;7.2273;LFF;BLA;Priority
400;10;7.2273;LFF;BLA;Priority
400;9;7.2273;LFF;BLA;Priority
400;8;7.2273;LFF;BLA;Priority
400;7;7.2273;LFF;BLA;Priority
400;6;7.2273;LFF;BLA;Priority
410;12;7.4126;LFF;BLA;Priority
410;11;7.4126;LFF;BLA;Priority
410;10;7.4126;LFF;BLA;Priority
410;9;7.4126;LFF;BLA;Priority
410;8;7.4126;LFF;BLA;Priority
410;7;7.4126;LFF;BLA;Priority
410;6;7.4126;LFF;BLA;Priority
420;12;7.5979;LFF;BLA;Priority
420;11;7.5979;LFF;BLA;Priority
420;10;7.5979;LFF;BLA;Priority
420;9;7.5979;LFF;BLA;Priority
420;8;7.5979;LFF;BLA;Priority
420;7;7.5979;LFF;BLA;Priority
420;6;7.5979;LFF;BLA;Priority
430;12;7.7832;LFF;BLA;Priority
430;11;7.7832;LFF;BLA;Priority
430;10;7.7832;LFF;BLA;Priority
430;9;7.7832;LFF;BLA;Priority
430;8;7.7832;LFF;BLA;Priority
430;7;7.7832;LFF;BLA;Priority
430;6;7.7832;LFF;BLA;Priority
440;12;7.9684;LFF;BLA;Priority
440;11;7.9684;LFF;BLA;Priority
440;10;7.9684;LFF;BLA;Priority
440;9;7.9684;LFF;BLA;Priority
440;8;7.9684;LFF;BLA;Priority
440;7;7.9684;LFF;BLA;Priority
440;6;7.9684;LFF;BLA;Priority
450;12;8.1537;LFF;BLA;Priority
450;11;8.1537;LFF;BLA;Priority
450;10;8.1537;LFF;BLA;Priority
450;9;8.1537;LFF;BLA;Priority
450;8;8.1537;LFF;BLA;Priority
450;7;8.1537;LFF;BLA;Priority
450;6;8.1537;LFF;BLA;Priority
460;12;8.339;LFF;BLA;Priority
460;11;8.339;LFF;BLA;Priority
460;10;8.339;LFF;BLA;Priority
460;9;8.339;LFF;BLA;Priority
460;8;8.339;LFF;BLA;Priority
460;7;8.339;LFF;BLA;Priority
460;6;8.339;LFF;BLA;Priority
470;12;8.5243;LFF;BLA;Priority
470;11;8.5243;LFF;BLA;Priority
470;10;8.5243;LFF;BLA;Priority
470;9;8.5243;LFF;BLA;Priority
470;8;8.5243;LFF;BLA;Priority
470;7;8.5243;LFF;BLA;Priority
470;6;8.5243;LFF;BLA;Priority
480;12;8.7096;LFF;BLA;Priority
480;11;8.7096;LFF;BLA;Priority
480;10;8.7096;LFF;BLA;Priority
480;9;8.7096;LFF;BLA;Priority
480;8;8.7096;LFF;BLA;Priority
480;7;8.7096;LFF;BLA;Priority
480;6;8.7096;LFF;BLA;Priority
490;12;8.8948;LFF;BLA;Priority
490;11;8.8948;LFF;BLA;Priority
490;10;8.8948;LFF;BLA;Priority
490;9;8.8948;LFF;BLA;Priority
490;8;8.8948;LFF;BLA;Priority
490;7;8.8948;LFF;BLA;Priority
490;6;8.8948;LFF;BLA;Priority
500;12;9.0801;LFF;BLA;Priority
500;11;9.0801;LFF;BLA;Priority
500;10;9.0801;LFF;BLA;Priority
500;9;9.0801;LFF;BLA;Priority
500;8;9.0801;LFF;BLA;Priority
500;7;9.0801;LFF;BLA;Priority
500;6;9.0801;LFF;BLA;Priority
510;12;9.2654;LFF;BLA;Priority
510;11;9.2654;LFF;BLA;Priority
510;10;9.2654;LFF;BLA;Priority
510;9;9.2654;LFF;BLA;Priority
510;8;9.2654;LFF;BLA;Priority
510;7;9.2654;LFF;BLA;Priority
510;6;9.2654;LFF;BLA;Priority
520;12;9.4507;LFF;BLA;Priority
520;11;9.4507;LFF;BLA;Priority
520;10;9.4507;LFF;BLA;Priority
