0;1;2;3;4;5;6;7;vm_policy;link_policy;wf_policy
timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W);LFF;BLA;Priority
120;h_2;3;1.5625;6.2500;6.0000;LFF;4.0020;LFF;BLA;Priority
120;h_1;1;0.7813;3.1250;2.0000;LFF;4.0010;LFF;BLA;Priority
120;h_0;2|0;0.7813;3.1250;2.5000;LFF;4.0010;LFF;BLA;Priority
130;h_5;4;6.2500;12.5000;10.0000;LFF;4.3394;LFF;BLA;Priority
130;h_4;5;3.1250;6.2500;5.0000;LFF;4.3364;LFF;BLA;Priority
130;h_3;6|7;0.7813;3.1250;4.0000;LFF;4.3345;LFF;BLA;Priority
130;h_2;3;1.5625;6.2500;6.0000;LFF;4.3355;LFF;BLA;Priority
130;h_1;1;0.7813;3.1250;2.0000;LFF;4.3344;LFF;BLA;Priority
130;h_0;2|0;0.7813;3.1250;2.5000;LFF;4.3344;LFF;BLA;Priority
140;h_5;4;6.2500;12.5000;10.0000;LFF;4.6732;LFF;BLA;Priority
140;h_4;5;3.1250;6.2500;5.0000;LFF;4.6699;LFF;BLA;Priority
140;h_3;6|7;0.7813;3.1250;4.0000;LFF;4.6679;LFF;BLA;Priority
140;h_2;3;1.5625;6.2500;6.0000;LFF;4.6691;LFF;BLA;Priority
140;h_1;1;0.7813;3.1250;2.0000;LFF;4.6678;LFF;BLA;Priority
140;h_0;2|0;0.7813;3.1250;2.5000;LFF;4.6678;LFF;BLA;Priority
150;h_5;4;6.2500;12.5000;10.0000;LFF;5.0070;LFF;BLA;Priority
150;h_4;5;3.1250;6.2500;5.0000;LFF;5.0035;LFF;BLA;Priority
150;h_3;6|7;0.7813;3.1250;4.0000;LFF;5.0013;LFF;BLA;Priority
150;h_2;3;1.5625;6.2500;6.0000;LFF;5.0026;LFF;BLA;Priority
150;h_1;1;0.7813;3.1250;2.0000;LFF;5.0012;LFF;BLA;Priority
150;h_0;2|0;0.7813;3.1250;2.5000;LFF;5.0013;LFF;BLA;Priority
160;h_5;4;6.2500;12.5000;10.0000;LFF;5.3408;LFF;BLA;Priority
160;h_4;5;3.1250;6.2500;5.0000;LFF;5.3371;LFF;BLA;Priority
160;h_3;6|7;0.7813;3.1250;4.0000;LFF;5.3347;LFF;BLA;Priority
160;h_2;3;1.5625;6.2500;6.0000;LFF;5.3361;LFF;BLA;Priority
160;h_1;1;0.7813;3.1250;2.0000;LFF;5.3347;LFF;BLA;Priority
160;h_0;2|0;0.7813;3.1250;2.5000;LFF;5.3347;LFF;BLA;Priority
170;h_5;4;6.2500;12.5000;10.0000;LFF;5.6746;LFF;BLA;Priority
170;h_4;5;3.1250;6.2500;5.0000;LFF;5.6707;LFF;BLA;Priority
170;h_3;6|7;0.7813;3.1250;4.0000;LFF;5.6682;LFF;BLA;Priority
170;h_2;3;1.5625;6.2500;6.0000;LFF;5.6696;LFF;BLA;Priority
170;h_1;1;0.7813;3.1250;2.0000;LFF;5.6681;LFF;BLA;Priority
170;h_0;2|0;0.7813;3.1250;2.5000;LFF;5.6681;LFF;BLA;Priority
180;h_5;4;6.2500;12.5000;10.0000;LFF;6.0084;LFF;BLA;Priority
180;h_4;5;3.1250;6.2500;5.0000;LFF;6.0042;LFF;BLA;Priority
180;h_3;6|7;0.7813;3.1250;4.0000;LFF;6.0016;LFF;BLA;Priority
180;h_2;3;1.5625;6.2500;6.0000;LFF;6.0031;LFF;BLA;Priority
180;h_1;1;0.7813;3.1250;2.0000;LFF;6.0015;LFF;BLA;Priority
180;h_0;2|0;0.7813;3.1250;2.5000;LFF;6.0015;LFF;BLA;Priority
190;h_5;4;6.2500;12.5000;10.0000;LFF;6.3422;LFF;BLA;Priority
190;h_4;5;3.1250;6.2500;5.0000;LFF;6.3378;LFF;BLA;Priority
190;h_3;6|7;0.7813;3.1250;4.0000;LFF;6.3350;LFF;BLA;Priority
190;h_2;3;1.5625;6.2500;6.0000;LFF;6.3366;LFF;BLA;Priority
190;h_1;1;0.7813;3.1250;2.0000;LFF;6.3349;LFF;BLA;Priority
190;h_0;2|0;0.7813;3.1250;2.5000;LFF;6.3349;LFF;BLA;Priority
200;h_5;4;6.2500;12.5000;10.0000;LFF;6.6760;LFF;BLA;Priority
200;h_4;5;3.1250;6.2500;5.0000;LFF;6.6714;LFF;BLA;Priority
200;h_3;6|7;0.7813;3.1250;4.0000;LFF;6.6684;LFF;BLA;Priority
200;h_2;3;1.5625;6.2500;6.0000;LFF;6.6701;LFF;BLA;Priority
200;h_1;1;0.7813;3.1250;2.0000;LFF;6.6683;LFF;BLA;Priority
200;h_0;2|0;0.7813;3.1250;2.5000;LFF;6.6683;LFF;BLA;Priority
210;h_5;4;6.2500;12.5000;10.0000;LFF;6.6760;LFF;BLA;Priority
210;h_4;5;3.1250;6.2500;5.0000;LFF;6.6714;LFF;BLA;Priority
210;h_3;6|7;0.7813;3.1250;4.0000;LFF;6.6684;LFF;BLA;Priority
210;h_2;3;1.5625;6.2500;6.0000;LFF;6.6701;LFF;BLA;Priority
210;h_1;1;0.7813;3.1250;2.0000;LFF;6.6683;LFF;BLA;Priority
210;h_0;2|0;0.7813;3.1250;2.5000;LFF;6.6683;LFF;BLA;Priority
220;h_5;4;6.2500;12.5000;10.0000;LFF;7.0125;LFF;BLA;Priority
220;h_4;5;3.1250;6.2500;5.0000;LFF;7.0076;LFF;BLA;Priority
220;h_3;6|7;0.7813;3.1250;4.0000;LFF;7.0045;LFF;BLA;Priority
220;h_2;3;1.5625;6.2500;6.0000;LFF;7.0063;LFF;BLA;Priority
220;h_1;1;0.7813;3.1250;2.0000;LFF;7.0044;LFF;BLA;Priority
220;h_0;2|0;0.7813;3.1250;2.5000;LFF;7.0045;LFF;BLA;Priority
