time;host_name;host_id;energy;vm_policy;link_policy;wf_policy
4020;h_2;2.0;134.0738;LFF;BLA;Priority
4020;h_1;1.0;134.0385;LFF;BLA;Priority
4020;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4020;h_5;5.0;134.1938;LFF;BLA;Priority
4020;h_4;4.0;134.0996;LFF;BLA;Priority
4020;h_3;3.0;134.0407;LFF;BLA;Priority
4020;h_2;2.0;134.0738;LFF;BLA;Priority
4020;h_1;1.0;134.0385;LFF;BLA;Priority
4020;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4020;h_5;5.0;134.1938;LFF;BLA;Priority
4020;h_4;4.0;134.0996;LFF;BLA;Priority
4020;h_3;3.0;134.0407;LFF;BLA;Priority
4020;h_2;2.0;134.0738;LFF;BLA;Priority
4020;h_1;1.0;134.0385;LFF;BLA;Priority
4020;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4020;h_5;5.0;134.1938;LFF;BLA;Priority
4020;h_4;4.0;134.0996;LFF;BLA;Priority
4020;h_3;3.0;134.0407;LFF;BLA;Priority
4020;h_2;2.0;134.0738;LFF;BLA;Priority
4020;h_1;1.0;134.0385;LFF;BLA;Priority
4020;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4020;h_5;5.0;134.1938;LFF;BLA;Priority
4020;h_4;4.0;134.0996;LFF;BLA;Priority
4020;h_3;3.0;134.0407;LFF;BLA;Priority
4020;h_2;2.0;134.0738;LFF;BLA;Priority
4020;h_1;1.0;134.0385;LFF;BLA;Priority
4020;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4020;h_5;5.0;134.1938;LFF;BLA;Priority
4020;h_4;4.0;134.0996;LFF;BLA;Priority
4020;h_3;3.0;134.0407;LFF;BLA;Priority
4020;h_2;2.0;134.0738;LFF;BLA;Priority
4020;h_1;1.0;134.0385;LFF;BLA;Priority
4020;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4020;h_5;5.0;134.1938;LFF;BLA;Priority
4020;h_4;4.0;134.0996;LFF;BLA;Priority
4020;h_3;3.0;134.0407;LFF;BLA;Priority
4020;h_2;2.0;134.0738;LFF;BLA;Priority
4020;h_1;1.0;134.0385;LFF;BLA;Priority
4020;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4022;h_5;5.0;134.1938;LFF;BLA;Priority
4022;h_4;4.0;134.0996;LFF;BLA;Priority
4022;h_3;3.0;134.0407;LFF;BLA;Priority
4022;h_2;2.0;134.0738;LFF;BLA;Priority
4022;h_1;1.0;134.0385;LFF;BLA;Priority
4022;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4030;h_5;5.0;134.1938;LFF;BLA;Priority
4030;h_4;4.0;134.0996;LFF;BLA;Priority
4030;h_3;3.0;134.0407;LFF;BLA;Priority
4030;h_2;2.0;134.0738;LFF;BLA;Priority
4030;h_1;1.0;134.0385;LFF;BLA;Priority
4030;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4030;h_5;5.0;134.1938;LFF;BLA;Priority
4030;h_4;4.0;134.0996;LFF;BLA;Priority
4030;h_3;3.0;134.0407;LFF;BLA;Priority
4030;h_2;2.0;134.0738;LFF;BLA;Priority
4030;h_1;1.0;134.0385;LFF;BLA;Priority
4030;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4030;h_5;5.0;134.1938;LFF;BLA;Priority
4030;h_4;4.0;134.0996;LFF;BLA;Priority
4030;h_3;3.0;134.0407;LFF;BLA;Priority
4030;h_2;2.0;134.0738;LFF;BLA;Priority
4030;h_1;1.0;134.0385;LFF;BLA;Priority
4030;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4030;h_5;5.0;134.1938;LFF;BLA;Priority
4030;h_4;4.0;134.0996;LFF;BLA;Priority
4030;h_3;3.0;134.0407;LFF;BLA;Priority
4030;h_2;2.0;134.0738;LFF;BLA;Priority
4030;h_1;1.0;134.0385;LFF;BLA;Priority
4030;h_0;0.0;134.0391;LFF;BLA;Priority
TOTAL;;;804.4856;LFF;BLA;Priority
4043;h_5;5.0;134.9629;LFF;BLA;Priority
4043;h_4;4.0;134.8681;LFF;BLA;Priority
4043;h_3;3.0;134.8089;LFF;BLA;Priority
4043;h_2;2.0;134.8422;LFF;BLA;Priority
4043;h_1;1.0;134.8067;LFF;BLA;Priority
4043;h_0;0.0;134.8072;LFF;BLA;Priority
TOTAL;;;809.0961;LFF;BLA;Priority
4043;h_5;5.0;134.9629;LFF;BLA;Priority
4043;h_4;4.0;134.8681;LFF;BLA;Priority
4043;h_3;3.0;134.8089;LFF;BLA;Priority
4043;h_2;2.0;134.8422;LFF;BLA;Priority
4043;h_1;1.0;134.8067;LFF;BLA;Priority
4043;h_0;0.0;134.8072;LFF;BLA;Priority
TOTAL;;;809.0961;LFF;BLA;Priority
4043;h_5;5.0;134.9629;LFF;BLA;Priority
4043;h_4;4.0;134.8681;LFF;BLA;Priority
4043;h_3;3.0;134.8089;LFF;BLA;Priority
4043;h_2;2.0;134.8422;LFF;BLA;Priority
4043;h_1;1.0;134.8067;LFF;BLA;Priority
4043;h_0;0.0;134.8072;LFF;BLA;Priority
TOTAL;;;809.0961;LFF;BLA;Priority
4043;h_5;5.0;134.9629;LFF;BLA;Priority
4043;h_4;4.0;134.8681;LFF;BLA;Priority
4043;h_3;3.0;134.8089;LFF;BLA;Priority
4043;h_2;2.0;134.8422;LFF;BLA;Priority
4043;h_1;1.0;134.8067;LFF;BLA;Priority
4043;h_0;0.0;134.8072;LFF;BLA;Priority
TOTAL;;;809.0961;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
4053;h_0;0.0;135.1407;LFF;BLA;Priority
TOTAL;;;811.0973;LFF;BLA;Priority
4053;h_5;5.0;135.2967;LFF;BLA;Priority
4053;h_4;4.0;135.2017;LFF;BLA;Priority
4053;h_3;3.0;135.1424;LFF;BLA;Priority
4053;h_2;2.0;135.1757;LFF;BLA;Priority
4053;h_1;1.0;135.1401;LFF;BLA;Priority
