# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
100.00;0;0.00;0.00;0.00;0.0000
100.00;11;34.38;87.50;0.00;0.0725
100.00;10;10.16;34.38;0.00;0.0705
110.00;11;34.38;87.50;76.00;0.3362
110.00;10;10.16;34.38;32.00;0.3343
110.00;9;0.00;0.00;0.00;0.0000
110.00;8;0.00;0.00;0.00;0.0000
110.00;7;0.00;0.00;0.00;0.0000
110.00;6;0.00;0.00;0.00;0.0000
110.00;5;0.00;0.00;0.00;0.0000
110.00;4;0.00;0.00;0.00;0.0000
110.00;3;0.00;0.00;0.00;0.0000
110.00;2;0.00;0.00;0.00;0.0000
110.00;1;0.00;0.00;0.00;0.0000
110.00;0;0.00;0.00;0.00;0.0000
110.00;11;34.38;87.50;0.00;0.0725
110.00;10;10.16;34.38;0.00;0.0705
120.00;11;34.38;87.50;76.00;0.3362
120.00;10;10.16;34.38;32.00;0.3343
120.00;9;0.00;0.00;0.00;0.0000
120.00;8;0.00;0.00;0.00;0.0000
120.00;7;0.00;0.00;0.00;0.0000
120.00;6;0.00;0.00;0.00;0.0000
120.00;5;0.00;0.00;0.00;0.0000
120.00;4;0.00;0.00;0.00;0.0000
120.00;3;0.00;0.00;0.00;0.0000
120.00;2;0.00;0.00;0.00;0.0000
120.00;1;0.00;0.00;0.00;0.0000
120.00;0;0.00;0.00;0.00;0.0000
120.00;11;34.38;87.50;0.00;0.0725
120.00;10;10.16;34.38;0.00;0.0705
130.00;11;34.38;87.50;0.00;0.0725
130.00;10;10.16;34.38;0.00;0.0705
130.24;11;34.38;87.50;76.00;0.3443
130.24;10;10.16;34.38;32.00;0.3424
130.24;9;0.00;0.00;0.00;0.0000
130.24;8;0.00;0.00;0.00;0.0000
130.24;7;0.00;0.00;0.00;0.0000
130.24;6;0.00;0.00;0.00;0.0000
130.24;5;0.00;0.00;0.00;0.0000
130.24;4;0.00;0.00;0.00;0.0000
130.24;3;0.00;0.00;0.00;0.0000
130.24;2;0.00;0.00;0.00;0.0000
130.24;1;0.00;0.00;0.00;0.0000
130.24;0;0.00;0.00;0.00;0.0000
140.00;11;34.38;87.50;0.00;0.0725
140.00;10;10.16;34.38;0.00;0.0705
140.24;11;34.38;87.50;76.00;0.3362
140.24;10;10.16;34.38;32.00;0.3343
140.24;9;0.00;0.00;0.00;0.0000
140.24;8;0.00;0.00;0.00;0.0000
140.24;7;0.00;0.00;0.00;0.0000
140.24;6;0.00;0.00;0.00;0.0000
140.24;5;0.00;0.00;0.00;0.0000
140.24;4;0.00;0.00;0.00;0.0000
140.24;3;0.00;0.00;0.00;0.0000
140.24;2;0.00;0.00;0.00;0.0000
140.24;1;0.00;0.00;0.00;0.0000
140.24;0;0.00;0.00;0.00;0.0000
150.00;11;34.38;87.50;0.00;0.0725
150.00;10;10.16;34.38;0.00;0.0705
150.24;11;34.38;87.50;76.00;0.3362
150.24;10;10.16;34.38;32.00;0.3343
150.24;9;0.00;0.00;0.00;0.0000
150.24;8;0.00;0.00;0.00;0.0000
150.24;7;0.00;0.00;0.00;0.0000
150.24;6;0.00;0.00;0.00;0.0000
150.24;5;0.00;0.00;0.00;0.0000
150.24;4;0.00;0.00;0.00;0.0000
150.24;3;0.00;0.00;0.00;0.0000
150.24;2;0.00;0.00;0.00;0.0000
150.24;1;0.00;0.00;0.00;0.0000
150.24;0;0.00;0.00;0.00;0.0000
160.00;11;34.38;87.50;0.00;0.0725
160.00;10;10.16;34.38;0.00;0.0705
160.24;11;34.38;87.50;76.00;0.3362
160.24;10;10.16;34.38;32.00;0.3343
160.24;9;0.00;0.00;0.00;0.0000
160.24;8;0.00;0.00;0.00;0.0000
160.24;7;0.00;0.00;0.00;0.0000
160.24;6;0.00;0.00;0.00;0.0000
160.24;5;0.00;0.00;0.00;0.0000
160.24;4;0.00;0.00;0.00;0.0000
160.24;3;0.00;0.00;0.00;0.0000
160.24;2;0.00;0.00;0.00;0.0000
160.24;1;0.00;0.00;0.00;0.0000
160.24;0;0.00;0.00;0.00;0.0000
170.00;11;34.38;87.50;0.00;0.0725
170.00;10;10.16;34.38;0.00;0.0705
170.24;11;34.38;87.50;76.00;0.3362
170.24;10;10.16;34.38;32.00;0.3343
170.24;9;0.00;0.00;0.00;0.0000
170.24;8;0.00;0.00;0.00;0.0000
170.24;7;0.00;0.00;0.00;0.0000
170.24;6;0.00;0.00;0.00;0.0000
170.24;5;0.00;0.00;0.00;0.0000
170.24;4;0.00;0.00;0.00;0.0000
170.24;3;0.00;0.00;0.00;0.0000
170.24;2;0.00;0.00;0.00;0.0000
170.24;1;0.00;0.00;0.00;0.0000
170.24;0;0.00;0.00;0.00;0.0000
180.00;11;34.38;87.50;0.00;0.0725
180.00;10;10.16;34.38;0.00;0.0705
180.24;11;34.38;87.50;76.00;0.3362
180.24;10;10.16;34.38;32.00;0.3343
180.24;9;0.00;0.00;0.00;0.0000
180.24;8;0.00;0.00;0.00;0.0000
180.24;7;0.00;0.00;0.00;0.0000
180.24;6;0.00;0.00;0.00;0.0000
180.24;5;0.00;0.00;0.00;0.0000
180.24;4;0.00;0.00;0.00;0.0000
180.24;3;0.00;0.00;0.00;0.0000
180.24;2;0.00;0.00;0.00;0.0000
180.24;1;0.00;0.00;0.00;0.0000
180.24;0;0.00;0.00;0.00;0.0000
190.00;11;34.38;87.50;0.00;0.0725
190.00;10;10.16;34.38;0.00;0.0705
190.24;11;34.38;87.50;76.00;0.3362
190.24;10;10.16;34.38;32.00;0.3343
190.24;9;0.00;0.00;0.00;0.0000
190.24;8;0.00;0.00;0.00;0.0000
190.24;7;0.00;0.00;0.00;0.0000
190.24;6;0.00;0.00;0.00;0.0000
190.24;5;0.00;0.00;0.00;0.0000
190.24;4;0.00;0.00;0.00;0.0000
190.24;3;0.00;0.00;0.00;0.0000
190.24;2;0.00;0.00;0.00;0.0000
190.24;1;0.00;0.00;0.00;0.0000
190.24;0;0.00;0.00;0.00;0.0000
200.00;11;34.38;87.50;0.00;0.0725
