0;1;2;vm_policy;link_policy;wf_policy
130;4;0.0695;LFF;BLA;Priority
130;3;0.0697;LFF;BLA;Priority
130;2;0.0697;LFF;BLA;Priority
130;1;0.0697;LFF;BLA;Priority
130;0;0.0697;LFF;BLA;Priority
140;11;0.0698;LFF;BLA;Priority
140;10;0.0697;LFF;BLA;Priority
140;9;0.0696;LFF;BLA;Priority
140;8;0.07;LFF;BLA;Priority
140;7;0.0697;LFF;BLA;Priority
140;6;0.0697;LFF;BLA;Priority
140;5;0.07;LFF;BLA;Priority
140;4;0.0695;LFF;BLA;Priority
140;3;0.0697;LFF;BLA;Priority
140;2;0.0698;LFF;BLA;Priority
140;1;0.0697;LFF;BLA;Priority
140;0;0.0696;LFF;BLA;Priority
150;11;0.0698;LFF;BLA;Priority
150;10;0.0698;LFF;BLA;Priority
150;9;0.0697;LFF;BLA;Priority
150;8;0.07;LFF;BLA;Priority
150;7;0.0697;LFF;BLA;Priority
150;6;0.0697;LFF;BLA;Priority
150;5;0.07;LFF;BLA;Priority
150;4;0.0696;LFF;BLA;Priority
150;3;0.0697;LFF;BLA;Priority
150;2;0.0699;LFF;BLA;Priority
150;1;0.0697;LFF;BLA;Priority
150;0;0.0697;LFF;BLA;Priority
160;11;0.0698;LFF;BLA;Priority
160;10;0.07;LFF;BLA;Priority
160;9;0.0696;LFF;BLA;Priority
160;8;0.0702;LFF;BLA;Priority
160;7;0.0698;LFF;BLA;Priority
160;6;0.0698;LFF;BLA;Priority
160;5;0.07;LFF;BLA;Priority
160;4;0.0696;LFF;BLA;Priority
160;3;0.0697;LFF;BLA;Priority
160;2;0.0697;LFF;BLA;Priority
160;1;0.0698;LFF;BLA;Priority
160;0;0.0697;LFF;BLA;Priority
170;11;0.0698;LFF;BLA;Priority
170;10;0.0698;LFF;BLA;Priority
170;9;0.0696;LFF;BLA;Priority
170;8;0.07;LFF;BLA;Priority
170;7;0.0699;LFF;BLA;Priority
170;6;0.0697;LFF;BLA;Priority
170;5;0.07;LFF;BLA;Priority
170;4;0.0696;LFF;BLA;Priority
170;3;0.0697;LFF;BLA;Priority
170;2;0.0698;LFF;BLA;Priority
170;1;0.0697;LFF;BLA;Priority
170;0;0.0696;LFF;BLA;Priority
180;11;0.07;LFF;BLA;Priority
180;10;0.0699;LFF;BLA;Priority
180;9;0.0697;LFF;BLA;Priority
180;8;0.0703;LFF;BLA;Priority
180;7;0.0698;LFF;BLA;Priority
180;6;0.0697;LFF;BLA;Priority
180;5;0.0701;LFF;BLA;Priority
180;4;0.0697;LFF;BLA;Priority
180;3;0.0697;LFF;BLA;Priority
180;2;0.0697;LFF;BLA;Priority
180;1;0.0697;LFF;BLA;Priority
180;0;0.0697;LFF;BLA;Priority
190;11;0.0698;LFF;BLA;Priority
190;10;0.0697;LFF;BLA;Priority
190;9;0.0696;LFF;BLA;Priority
190;8;0.07;LFF;BLA;Priority
190;7;0.0698;LFF;BLA;Priority
190;6;0.0697;LFF;BLA;Priority
190;5;0.0702;LFF;BLA;Priority
190;4;0.0696;LFF;BLA;Priority
190;3;0.0696;LFF;BLA;Priority
190;2;0.0697;LFF;BLA;Priority
190;1;0.0698;LFF;BLA;Priority
190;0;0.0696;LFF;BLA;Priority
200;11;0.0698;LFF;BLA;Priority
200;10;0.0699;LFF;BLA;Priority
200;9;0.0696;LFF;BLA;Priority
200;8;0.0704;LFF;BLA;Priority
200;7;0.0697;LFF;BLA;Priority
200;6;0.0697;LFF;BLA;Priority
200;5;0.0699;LFF;BLA;Priority
200;4;0.0695;LFF;BLA;Priority
200;3;0.0697;LFF;BLA;Priority
200;2;0.0698;LFF;BLA;Priority
200;1;0.0698;LFF;BLA;Priority
200;0;0.0697;LFF;BLA;Priority
210;11;0.07;LFF;BLA;Priority
210;10;0.0697;LFF;BLA;Priority
210;9;0.0696;LFF;BLA;Priority
210;8;0.07;LFF;BLA;Priority
210;7;0.0699;LFF;BLA;Priority
210;6;0.0697;LFF;BLA;Priority
210;5;0.0699;LFF;BLA;Priority
210;4;0.0695;LFF;BLA;Priority
210;3;0.0697;LFF;BLA;Priority
210;2;0.07;LFF;BLA;Priority
210;1;0.0697;LFF;BLA;Priority
210;0;0.0696;LFF;BLA;Priority
220;11;0.0696;LFF;BLA;Priority
220;10;0.0696;LFF;BLA;Priority
220;9;0.0696;LFF;BLA;Priority
220;8;0.0699;LFF;BLA;Priority
220;7;0.0696;LFF;BLA;Priority
220;6;0.0696;LFF;BLA;Priority
220;5;0.0699;LFF;BLA;Priority
220;4;0.0695;LFF;BLA;Priority
220;3;0.0696;LFF;BLA;Priority
220;2;0.0696;LFF;BLA;Priority
220;1;0.0697;LFF;BLA;Priority
220;0;0.0696;LFF;BLA;Priority
230;11;0.0696;LFF;BLA;Priority
230;10;0.0696;LFF;BLA;Priority
230;9;0.0696;LFF;BLA;Priority
230;8;0.0699;LFF;BLA;Priority
230;7;0.0696;LFF;BLA;Priority
230;6;0.0696;LFF;BLA;Priority
230;5;0.0699;LFF;BLA;Priority
230;4;0.0695;LFF;BLA;Priority
230;3;0.0696;LFF;BLA;Priority
230;2;0.0696;LFF;BLA;Priority
