0;1;2;vm_policy;link_policy;wf_policy
130;16;2.4086;LFF;BLA;Priority
130;15;2.4086;LFF;BLA;Priority
130;14;2.4086;LFF;BLA;Priority
130;13;2.4086;LFF;BLA;Priority
130;12;2.4086;LFF;BLA;Priority
140;23;2.5939;LFF;BLA;Priority
140;22;2.5939;LFF;BLA;Priority
140;21;2.5939;LFF;BLA;Priority
140;20;2.5939;LFF;BLA;Priority
140;19;2.5939;LFF;BLA;Priority
140;18;2.5939;LFF;BLA;Priority
140;17;2.5939;LFF;BLA;Priority
140;16;2.5939;LFF;BLA;Priority
140;15;2.5939;LFF;BLA;Priority
140;14;2.5939;LFF;BLA;Priority
140;13;2.5939;LFF;BLA;Priority
140;12;2.5939;LFF;BLA;Priority
150;23;2.7792;LFF;BLA;Priority
150;22;2.7792;LFF;BLA;Priority
150;21;2.7792;LFF;BLA;Priority
150;20;2.7792;LFF;BLA;Priority
150;19;2.7792;LFF;BLA;Priority
150;18;2.7792;LFF;BLA;Priority
150;17;2.7792;LFF;BLA;Priority
150;16;2.7792;LFF;BLA;Priority
150;15;2.7792;LFF;BLA;Priority
150;14;2.7792;LFF;BLA;Priority
150;13;2.7792;LFF;BLA;Priority
150;12;2.7792;LFF;BLA;Priority
160;23;2.9644;LFF;BLA;Priority
160;22;2.9644;LFF;BLA;Priority
160;21;2.9644;LFF;BLA;Priority
160;20;2.9644;LFF;BLA;Priority
160;19;2.9644;LFF;BLA;Priority
160;18;2.9644;LFF;BLA;Priority
160;17;2.9644;LFF;BLA;Priority
160;16;2.9644;LFF;BLA;Priority
160;15;2.9644;LFF;BLA;Priority
160;14;2.9644;LFF;BLA;Priority
160;13;2.9644;LFF;BLA;Priority
160;12;2.9644;LFF;BLA;Priority
170;23;3.1497;LFF;BLA;Priority
170;22;3.1497;LFF;BLA;Priority
170;21;3.1497;LFF;BLA;Priority
170;20;3.1497;LFF;BLA;Priority
170;19;3.1497;LFF;BLA;Priority
170;18;3.1497;LFF;BLA;Priority
170;17;3.1497;LFF;BLA;Priority
170;16;3.1497;LFF;BLA;Priority
170;15;3.1497;LFF;BLA;Priority
170;14;3.1497;LFF;BLA;Priority
170;13;3.1497;LFF;BLA;Priority
170;12;3.1497;LFF;BLA;Priority
180;23;3.335;LFF;BLA;Priority
180;22;3.335;LFF;BLA;Priority
180;21;3.335;LFF;BLA;Priority
180;20;3.335;LFF;BLA;Priority
180;19;3.335;LFF;BLA;Priority
180;18;3.335;LFF;BLA;Priority
180;17;3.335;LFF;BLA;Priority
180;16;3.335;LFF;BLA;Priority
180;15;3.335;LFF;BLA;Priority
180;14;3.335;LFF;BLA;Priority
180;13;3.335;LFF;BLA;Priority
180;12;3.335;LFF;BLA;Priority
190;23;3.5203;LFF;BLA;Priority
190;22;3.5203;LFF;BLA;Priority
190;21;3.5203;LFF;BLA;Priority
190;20;3.5203;LFF;BLA;Priority
190;19;3.5203;LFF;BLA;Priority
190;18;3.5203;LFF;BLA;Priority
190;17;3.5203;LFF;BLA;Priority
190;16;3.5203;LFF;BLA;Priority
190;15;3.5203;LFF;BLA;Priority
190;14;3.5203;LFF;BLA;Priority
190;13;3.5203;LFF;BLA;Priority
190;12;3.5203;LFF;BLA;Priority
200;23;3.7056;LFF;BLA;Priority
200;22;3.7056;LFF;BLA;Priority
200;21;3.7056;LFF;BLA;Priority
200;20;3.7056;LFF;BLA;Priority
200;19;3.7056;LFF;BLA;Priority
200;18;3.7056;LFF;BLA;Priority
200;17;3.7056;LFF;BLA;Priority
200;16;3.7056;LFF;BLA;Priority
200;15;3.7056;LFF;BLA;Priority
200;14;3.7056;LFF;BLA;Priority
200;13;3.7056;LFF;BLA;Priority
200;12;3.7056;LFF;BLA;Priority
210;23;3.8908;LFF;BLA;Priority
210;22;3.8908;LFF;BLA;Priority
210;21;3.8908;LFF;BLA;Priority
210;20;3.8908;LFF;BLA;Priority
210;19;3.8908;LFF;BLA;Priority
210;18;3.8908;LFF;BLA;Priority
210;17;3.8908;LFF;BLA;Priority
210;16;3.8908;LFF;BLA;Priority
210;15;3.8908;LFF;BLA;Priority
210;14;3.8908;LFF;BLA;Priority
210;13;3.8908;LFF;BLA;Priority
210;12;3.8908;LFF;BLA;Priority
220;23;4.0761;LFF;BLA;Priority
220;22;4.0761;LFF;BLA;Priority
220;21;4.0761;LFF;BLA;Priority
220;20;4.0761;LFF;BLA;Priority
220;19;4.0761;LFF;BLA;Priority
220;18;4.0761;LFF;BLA;Priority
220;17;4.0761;LFF;BLA;Priority
220;16;4.0761;LFF;BLA;Priority
220;15;4.0761;LFF;BLA;Priority
220;14;4.0761;LFF;BLA;Priority
220;13;4.0761;LFF;BLA;Priority
220;12;4.0761;LFF;BLA;Priority
230;23;4.2614;LFF;BLA;Priority
230;22;4.2614;LFF;BLA;Priority
230;21;4.2614;LFF;BLA;Priority
230;20;4.2614;LFF;BLA;Priority
230;19;4.2614;LFF;BLA;Priority
230;18;4.2614;LFF;BLA;Priority
230;17;4.2614;LFF;BLA;Priority
230;16;4.2614;LFF;BLA;Priority
230;15;4.2614;LFF;BLA;Priority
230;14;4.2614;LFF;BLA;Priority
230;13;4.2614;LFF;BLA;Priority
230;12;4.2614;LFF;BLA;Priority
240;23;4.4467;LFF;BLA;Priority
240;22;4.4467;LFF;BLA;Priority
240;21;4.4467;LFF;BLA;Priority
240;20;4.4467;LFF;BLA;Priority
240;19;4.4467;LFF;BLA;Priority
240;18;4.4467;LFF;BLA;Priority
240;17;4.4467;LFF;BLA;Priority
240;16;4.4467;LFF;BLA;Priority
240;15;4.4467;LFF;BLA;Priority
240;14;4.4467;LFF;BLA;Priority
240;13;4.4467;LFF;BLA;Priority
240;12;4.4467;LFF;BLA;Priority
250;23;4.6319;LFF;BLA;Priority
250;22;4.6319;LFF;BLA;Priority
250;21;4.6319;LFF;BLA;Priority
250;20;4.6319;LFF;BLA;Priority
250;19;4.6319;LFF;BLA;Priority
250;18;4.6319;LFF;BLA;Priority
250;17;4.6319;LFF;BLA;Priority
250;16;4.6319;LFF;BLA;Priority
250;15;4.6319;LFF;BLA;Priority
250;14;4.6319;LFF;BLA;Priority
250;13;4.6319;LFF;BLA;Priority
250;12;4.6319;LFF;BLA;Priority
260;23;4.8172;LFF;BLA;Priority
260;22;4.8172;LFF;BLA;Priority
260;21;4.8172;LFF;BLA;Priority
260;20;4.8172;LFF;BLA;Priority
260;19;4.8172;LFF;BLA;Priority
260;18;4.8172;LFF;BLA;Priority
260;17;4.8172;LFF;BLA;Priority
260;16;4.8172;LFF;BLA;Priority
260;15;4.8172;LFF;BLA;Priority
260;14;4.8172;LFF;BLA;Priority
260;13;4.8172;LFF;BLA;Priority
260;12;4.8172;LFF;BLA;Priority
270;23;5.0025;LFF;BLA;Priority
270;22;5.0025;LFF;BLA;Priority
270;21;5.0025;LFF;BLA;Priority
270;20;5.0025;LFF;BLA;Priority
270;19;5.0025;LFF;BLA;Priority
270;18;5.0025;LFF;BLA;Priority
270;17;5.0025;LFF;BLA;Priority
270;16;5.0025;LFF;BLA;Priority
270;15;5.0025;LFF;BLA;Priority
270;14;5.0025;LFF;BLA;Priority
270;13;5.0025;LFF;BLA;Priority
270;12;5.0025;LFF;BLA;Priority
280;23;5.1878;LFF;BLA;Priority
280;22;5.1878;LFF;BLA;Priority
280;21;5.1878;LFF;BLA;Priority
280;20;5.1878;LFF;BLA;Priority
280;19;5.1878;LFF;BLA;Priority
280;18;5.1878;LFF;BLA;Priority
280;17;5.1878;LFF;BLA;Priority
280;16;5.1878;LFF;BLA;Priority
280;15;5.1878;LFF;BLA;Priority
280;14;5.1878;LFF;BLA;Priority
280;13;5.1878;LFF;BLA;Priority
280;12;5.1878;LFF;BLA;Priority
290;23;5.3731;LFF;BLA;Priority
290;22;5.3731;LFF;BLA;Priority
290;21;5.3731;LFF;BLA;Priority
290;20;5.3731;LFF;BLA;Priority
290;19;5.3731;LFF;BLA;Priority
290;18;5.3731;LFF;BLA;Priority
290;17;5.3731;LFF;BLA;Priority
290;16;5.3731;LFF;BLA;Priority
290;15;5.3731;LFF;BLA;Priority
290;14;5.3731;LFF;BLA;Priority
290;13;5.3731;LFF;BLA;Priority
290;12;5.3731;LFF;BLA;Priority
300;23;5.5583;LFF;BLA;Priority
300;22;5.5583;LFF;BLA;Priority
300;21;5.5583;LFF;BLA;Priority
300;20;5.5583;LFF;BLA;Priority
300;19;5.5583;LFF;BLA;Priority
300;18;5.5583;LFF;BLA;Priority
300;17;5.5583;LFF;BLA;Priority
300;16;5.5583;LFF;BLA;Priority
300;15;5.5583;LFF;BLA;Priority
300;14;5.5583;LFF;BLA;Priority
300;13;5.5583;LFF;BLA;Priority
300;12;5.5583;LFF;BLA;Priority
310;23;5.7436;LFF;BLA;Priority
310;22;5.7436;LFF;BLA;Priority
310;21;5.7436;LFF;BLA;Priority
310;20;5.7436;LFF;BLA;Priority
