# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
100.00;0;0.00;0.00;0.00;0.0000
100.00;11;34.38;87.50;43.04;0.0731
100.00;10;10.16;34.38;21.52;0.0708
110.00;11;34.38;87.50;76.00;0.3362
110.00;10;10.16;34.38;32.00;0.3343
110.00;9;0.00;0.00;0.00;0.0000
110.00;8;0.00;0.00;0.00;0.0000
110.00;7;0.00;0.00;0.00;0.0000
110.00;6;0.00;0.00;0.00;0.0000
110.00;5;0.00;0.00;0.00;0.0000
110.00;4;0.00;0.00;0.00;0.0000
110.00;3;0.00;0.00;0.00;0.0000
110.00;2;0.00;0.00;0.00;0.0000
110.00;1;0.00;0.00;0.00;0.0000
110.00;0;0.00;0.00;0.00;0.0000
110.00;11;34.38;87.50;49.76;0.0732
110.00;10;10.16;34.38;24.88;0.0709
120.00;11;34.38;87.50;76.00;0.3362
120.00;10;10.16;34.38;32.00;0.3343
120.00;9;0.00;0.00;0.00;0.0000
120.00;8;0.00;0.00;0.00;0.0000
120.00;7;0.00;0.00;0.00;0.0000
120.00;6;0.00;0.00;0.00;0.0000
120.00;5;0.00;0.00;0.00;0.0000
120.00;4;0.00;0.00;0.00;0.0000
120.00;3;0.00;0.00;0.00;0.0000
120.00;2;0.00;0.00;0.00;0.0000
120.00;1;0.00;0.00;0.00;0.0000
120.00;0;0.00;0.00;0.00;0.0000
120.00;11;34.38;87.50;50.40;0.0732
120.00;10;10.16;34.38;25.20;0.0709
130.00;11;34.38;87.50;76.00;0.3362
130.00;10;10.16;34.38;32.00;0.3343
130.00;9;0.00;0.00;0.00;0.0000
130.00;8;0.00;0.00;0.00;0.0000
130.00;7;0.00;0.00;0.00;0.0000
130.00;6;0.00;0.00;0.00;0.0000
130.00;5;0.00;0.00;0.00;0.0000
130.00;4;0.00;0.00;0.00;0.0000
130.00;3;0.00;0.00;0.00;0.0000
130.00;2;0.00;0.00;0.00;0.0000
130.00;1;0.00;0.00;0.00;0.0000
130.00;0;0.00;0.00;0.00;0.0000
130.00;11;34.38;87.50;41.44;0.0731
130.00;10;10.16;34.38;20.72;0.0708
140.00;11;34.38;87.50;76.00;0.3362
140.00;10;10.16;34.38;32.00;0.3343
140.00;9;0.00;0.00;0.00;0.0000
140.00;8;0.00;0.00;0.00;0.0000
140.00;7;0.00;0.00;0.00;0.0000
140.00;6;0.00;0.00;0.00;0.0000
140.00;5;0.00;0.00;0.00;0.0000
140.00;4;0.00;0.00;0.00;0.0000
140.00;3;0.00;0.00;0.00;0.0000
140.00;2;0.00;0.00;0.00;0.0000
140.00;1;0.00;0.00;0.00;0.0000
140.00;0;0.00;0.00;0.00;0.0000
140.00;11;34.38;87.50;32.16;0.0730
140.00;10;10.16;34.38;16.08;0.0708
150.00;11;34.38;87.50;76.00;0.3362
150.00;10;10.16;34.38;32.00;0.3343
150.00;9;0.00;0.00;0.00;0.0000
150.00;8;0.00;0.00;0.00;0.0000
150.00;7;0.00;0.00;0.00;0.0000
150.00;6;0.00;0.00;0.00;0.0000
150.00;5;0.00;0.00;0.00;0.0000
150.00;4;0.00;0.00;0.00;0.0000
150.00;3;0.00;0.00;0.00;0.0000
150.00;2;0.00;0.00;0.00;0.0000
150.00;1;0.00;0.00;0.00;0.0000
150.00;0;0.00;0.00;0.00;0.0000
150.00;11;34.38;87.50;30.40;0.0730
150.00;10;10.16;34.38;15.20;0.0708
160.00;11;34.38;87.50;76.00;0.3362
160.00;10;10.16;34.38;32.00;0.3343
160.00;9;0.00;0.00;0.00;0.0000
160.00;8;0.00;0.00;0.00;0.0000
160.00;7;0.00;0.00;0.00;0.0000
160.00;6;0.00;0.00;0.00;0.0000
160.00;5;0.00;0.00;0.00;0.0000
160.00;4;0.00;0.00;0.00;0.0000
160.00;3;0.00;0.00;0.00;0.0000
160.00;2;0.00;0.00;0.00;0.0000
160.00;1;0.00;0.00;0.00;0.0000
160.00;0;0.00;0.00;0.00;0.0000
160.00;11;34.38;87.50;75.68;0.0736
160.00;10;10.16;34.38;37.84;0.0711
170.00;11;34.38;87.50;76.00;0.3362
170.00;10;10.16;34.38;32.00;0.3343
170.00;9;0.00;0.00;0.00;0.0000
170.00;8;0.00;0.00;0.00;0.0000
170.00;7;0.00;0.00;0.00;0.0000
170.00;6;0.00;0.00;0.00;0.0000
170.00;5;0.00;0.00;0.00;0.0000
170.00;4;0.00;0.00;0.00;0.0000
170.00;3;0.00;0.00;0.00;0.0000
170.00;2;0.00;0.00;0.00;0.0000
170.00;1;0.00;0.00;0.00;0.0000
170.00;0;0.00;0.00;0.00;0.0000
170.00;11;34.38;87.50;52.32;0.0733
170.00;10;10.16;34.38;26.16;0.0709
180.00;11;34.38;87.50;76.00;0.3362
180.00;10;10.16;34.38;32.00;0.3343
180.00;9;0.00;0.00;0.00;0.0000
180.00;8;0.00;0.00;0.00;0.0000
180.00;7;0.00;0.00;0.00;0.0000
180.00;6;0.00;0.00;0.00;0.0000
180.00;5;0.00;0.00;0.00;0.0000
180.00;4;0.00;0.00;0.00;0.0000
180.00;3;0.00;0.00;0.00;0.0000
180.00;2;0.00;0.00;0.00;0.0000
180.00;1;0.00;0.00;0.00;0.0000
180.00;0;0.00;0.00;0.00;0.0000
180.00;11;34.38;87.50;55.68;0.0733
180.00;10;10.16;34.38;27.84;0.0709
190.00;11;34.38;87.50;76.00;0.3362
190.00;10;10.16;34.38;32.00;0.3343
190.00;9;0.00;0.00;0.00;0.0000
190.00;8;0.00;0.00;0.00;0.0000
