# units: time(s); hostId; energy(Wh)
360;5;0.0000
360;4;0.0000
360;3;0.0697
360;2;0.0000
360;1;0.0000
360;0;0.0697
370;5;0.0000
370;4;0.0000
370;3;0.0697
370;2;0.0000
370;1;0.0000
370;0;0.0697
380;5;0.0000
380;4;0.0000
380;3;0.0697
380;2;0.0000
380;1;0.0000
380;0;0.0697
390;5;0.0000
390;4;0.0000
390;3;0.0697
390;2;0.0000
390;1;0.0000
390;0;0.0697
400;5;0.0000
400;4;0.0000
400;3;0.0697
400;2;0.0000
400;1;0.0000
400;0;0.0697
410;5;0.0000
410;4;0.0000
410;3;0.0697
410;2;0.0000
410;1;0.0000
410;0;0.0697
420;5;0.0000
420;4;0.0000
420;3;0.0697
420;2;0.0000
420;1;0.0000
420;0;0.0697
430;5;0.0000
430;4;0.0000
430;3;0.0697
430;2;0.0000
430;1;0.0000
430;0;0.0697
440;5;0.0000
440;4;0.0000
440;3;0.0697
440;2;0.0000
440;1;0.0000
440;0;0.0697
450;5;0.0000
450;4;0.0000
450;3;0.0697
450;2;0.0000
450;1;0.0000
450;0;0.0697
460;5;0.0000
460;4;0.0000
460;3;0.0697
460;2;0.0000
460;1;0.0000
460;0;0.0697
470;5;0.0000
470;4;0.0000
470;3;0.0697
470;2;0.0000
470;1;0.0000
470;0;0.0697
480;5;0.0000
480;4;0.0000
480;3;0.0697
480;2;0.0000
480;1;0.0000
480;0;0.0697
490;5;0.0000
490;4;0.0000
490;3;0.0697
490;2;0.0000
490;1;0.0000
490;0;0.0697
500;5;0.0000
500;4;0.0000
500;3;0.0697
500;2;0.0000
500;1;0.0000
500;0;0.0697
510;5;0.0000
510;4;0.0000
510;3;0.0697
510;2;0.0000
510;1;0.0000
510;0;0.0697
520;5;0.0000
520;4;0.0000
520;3;0.0697
520;2;0.0000
520;1;0.0000
520;0;0.0697
530;5;0.0000
530;4;0.0000
530;3;0.0697
530;2;0.0000
530;1;0.0000
530;0;0.0697
540;5;0.0000
540;4;0.0000
540;3;0.0697
540;2;0.0000
540;1;0.0000
540;0;0.0697
550;5;0.0000
550;4;0.0000
550;3;0.0697
550;2;0.0000
550;1;0.0000
550;0;0.0697
560;5;0.0000
560;4;0.0000
560;3;0.0697
560;2;0.0000
560;1;0.0000
