# units: time(s); switchId; energy(watt)
510;9;9.4492
510;8;9.4492
510;7;9.4492
510;6;9.4492
520;12;9.4492
520;11;9.4492
520;10;9.4492
520;9;9.4492
520;8;9.4492
520;7;9.4492
520;6;9.4492
530;12;9.4492
530;11;9.4492
530;10;9.4492
530;9;9.4492
530;8;9.4492
530;7;9.4492
530;6;9.4492
540;12;9.4492
540;11;9.4492
540;10;9.4492
540;9;9.4492
540;8;9.4492
540;7;9.4492
540;6;9.4492
550;12;9.4492
550;11;9.4492
550;10;9.4492
550;9;9.4492
550;8;9.4492
550;7;9.4492
550;6;9.4492
560;12;9.4492
560;11;9.4492
560;10;9.4492
560;9;9.4492
560;8;9.4492
560;7;9.4492
560;6;9.4492
570;12;9.4492
570;11;9.4492
570;10;9.4492
570;9;9.4492
570;8;9.4492
570;7;9.4492
570;6;9.4492
580;12;9.4492
580;11;9.4492
580;10;9.4492
580;9;9.4492
580;8;9.4492
580;7;9.4492
580;6;9.4492
590;12;9.4492
590;11;9.4492
590;10;9.4492
590;9;9.4492
590;8;9.4492
590;7;9.4492
590;6;9.4492
600;12;9.4492
600;11;9.4492
600;10;9.4492
600;9;9.4492
600;8;9.4492
600;7;9.4492
600;6;9.4492
610;12;9.4492
610;11;9.4492
610;10;9.4492
610;9;9.4492
610;8;9.4492
610;7;9.4492
610;6;9.4492
620;12;9.4492
620;11;9.4492
620;10;9.4492
620;9;9.4492
620;8;9.4492
620;7;9.4492
620;6;9.4492
630;12;9.4492
630;11;9.4492
630;10;9.4492
630;9;9.4492
630;8;9.4492
630;7;9.4492
630;6;9.4492
640;12;9.4492
640;11;9.4492
640;10;9.4492
640;9;9.4492
640;8;9.4492
640;7;9.4492
640;6;9.4492
650;12;9.4492
650;11;9.4492
650;10;9.4492
650;9;9.4492
650;8;9.4492
650;7;9.4492
650;6;9.4492
660;12;9.4492
660;11;9.4492
660;10;9.4492
660;9;9.4492
660;8;9.4492
660;7;9.4492
660;6;9.4492
670;12;9.4492
670;11;9.4492
670;10;9.4492
670;9;9.4492
670;8;9.4492
670;7;9.4492
670;6;9.4492
680;12;9.4492
680;11;9.4492
680;10;9.4492
680;9;9.4492
680;8;9.4492
680;7;9.4492
680;6;9.4492
690;12;9.4492
690;11;9.4492
690;10;9.4492
690;9;9.4492
690;8;9.4492
690;7;9.4492
690;6;9.4492
700;12;9.4492
700;11;9.4492
700;10;9.4492
700;9;9.4492
700;8;9.4492
700;7;9.4492
700;6;9.4492
710;12;9.4492
710;11;9.4492
710;10;9.4492
710;9;9.4492
710;8;9.4492
710;7;9.4492
710;6;9.4492
720;12;9.4492
720;11;9.4492
720;10;9.4492
720;9;9.4492
720;8;9.4492
720;7;9.4492
720;6;9.4492
730;12;9.4492
730;11;9.4492
730;10;9.4492
730;9;9.4492
730;8;9.4492
730;7;9.4492
730;6;9.4492
740;12;9.4492
740;11;9.4492
740;10;9.4492
740;9;9.4492
740;8;9.4492
740;7;9.4492
740;6;9.4492
750;12;9.4492
750;11;9.4492
750;10;9.4492
750;9;9.4492
750;8;9.4492
750;7;9.4492
750;6;9.4492
760;12;9.4492
760;11;9.4492
760;10;9.4492
760;9;9.4492
760;8;9.4492
760;7;9.4492
760;6;9.4492
770;12;9.4492
770;11;9.4492
770;10;9.4492
770;9;9.4492
770;8;9.4492
770;7;9.4492
770;6;9.4492
780;12;9.4492
780;11;9.4492
780;10;9.4492
780;9;9.4492
780;8;9.4492
780;7;9.4492
780;6;9.4492
790;12;9.4492
790;11;9.4492
790;10;9.4492
790;9;9.4492
790;8;9.4492
790;7;9.4492
790;6;9.4492
800;12;9.4492
800;11;9.4492
800;10;9.4492
800;9;9.4492
800;8;9.4492
800;7;9.4492
800;6;9.4492
810;12;9.4492
810;11;9.4492
810;10;9.4492
810;9;9.4492
810;8;9.4492
810;7;9.4492
810;6;9.4492
820;12;9.4492
820;11;9.4492
820;10;9.4492
820;9;9.4492
820;8;9.4492
820;7;9.4492
820;6;9.4492
830;12;9.4492
830;11;9.4492
830;10;9.4492
830;9;9.4492
830;8;9.4492
830;7;9.4492
830;6;9.4492
840;12;9.4492
840;11;9.4492
840;10;9.4492
840;9;9.4492
840;8;9.4492
840;7;9.4492
840;6;9.4492
850;12;9.4492
850;11;9.4492
850;10;9.4492
850;9;9.4492
850;8;9.4492
850;7;9.4492
850;6;9.4492
860;12;9.4492
860;11;9.4492
860;10;9.4492
860;9;9.4492
860;8;9.4492
860;7;9.4492
860;6;9.4492
870;12;9.4492
870;11;9.4492
870;10;9.4492
870;9;9.4492
870;8;9.4492
870;7;9.4492
870;6;9.4492
880;12;9.4492
880;11;9.4492
880;10;9.4492
880;9;9.4492
880;8;9.4492
880;7;9.4492
880;6;9.4492
890;12;9.4492
890;11;9.4492
890;10;9.4492
890;9;9.4492
890;8;9.4492
890;7;9.4492
890;6;9.4492
900;12;9.4492
900;11;9.4492
900;10;9.4492
900;9;9.4492
900;8;9.4492
900;7;9.4492
900;6;9.4492
910;12;9.4492
910;11;9.4492
910;10;9.4492
910;9;9.4492
910;8;9.4492
910;7;9.4492
910;6;9.4492
920;12;9.4492
920;11;9.4492
920;10;9.4492
920;9;9.4492
920;8;9.4492
920;7;9.4492
920;6;9.4492
930;12;9.4492
930;11;9.4492
930;10;9.4492
930;9;9.4492
930;8;9.4492
