# units: hostId; total_energy(Wh)
3250;h_5;5;108.4857
3250;h_4;4;108.4095
3250;h_3;3;108.3619
3250;h_2;2;108.3887
3250;h_1;1;108.3601
3250;h_0;0;108.3606
TOTAL;;;650.3667
3250;h_5;5;108.4857
3250;h_4;4;108.4095
3250;h_3;3;108.3619
3250;h_2;2;108.3887
3250;h_1;1;108.3601
3250;h_0;0;108.3606
TOTAL;;;650.3667
3250;h_5;5;108.4857
3250;h_4;4;108.4095
3250;h_3;3;108.3619
3250;h_2;2;108.3887
3250;h_1;1;108.3601
3250;h_0;0;108.3606
TOTAL;;;650.3667
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4026;h_5;5;134.3888
4026;h_4;4;134.2944
4026;h_3;3;134.2355
4026;h_2;2;134.2686
4026;h_1;1;134.2332
4026;h_0;0;134.2338
TOTAL;;;805.6542
4330;h_5;5;144.5363
4330;h_4;4;144.4349
4330;h_3;3;144.3715
4330;h_2;2;144.4071
4330;h_1;1;144.3691
4330;h_0;0;144.3697
TOTAL;;;866.4885
4330;h_5;5;144.5363
