# units: time(s); hostId; energy(Wh)
590;0;0.0695
600;5;0.0699
600;4;0.0697
600;3;0.0695
600;2;0.0696
600;1;0.0695
600;0;0.0695
610;5;0.0699
610;4;0.0697
610;3;0.0695
610;2;0.0696
610;1;0.0695
610;0;0.0695
620;5;0.0699
620;4;0.0697
620;3;0.0695
620;2;0.0696
620;1;0.0695
620;0;0.0695
630;5;0.0699
630;4;0.0697
630;3;0.0695
630;2;0.0696
630;1;0.0695
630;0;0.0695
640;5;0.0699
640;4;0.0697
640;3;0.0695
640;2;0.0696
640;1;0.0695
640;0;0.0695
650;5;0.0699
650;4;0.0697
650;3;0.0695
650;2;0.0696
650;1;0.0695
650;0;0.0695
660;5;0.0699
660;4;0.0697
660;3;0.0695
660;2;0.0696
660;1;0.0695
660;0;0.0695
670;5;0.0699
670;4;0.0697
670;3;0.0695
670;2;0.0696
670;1;0.0695
670;0;0.0695
680;5;0.0699
680;4;0.0697
680;3;0.0695
680;2;0.0696
680;1;0.0695
680;0;0.0695
690;5;0.0699
690;4;0.0697
690;3;0.0695
690;2;0.0696
690;1;0.0695
690;0;0.0695
700;5;0.0699
700;4;0.0697
700;3;0.0695
700;2;0.0696
700;1;0.0695
700;0;0.0695
710;5;0.0699
710;4;0.0697
710;3;0.0695
710;2;0.0696
710;1;0.0695
710;0;0.0695
720;5;0.0699
720;4;0.0697
720;3;0.0695
720;2;0.0696
720;1;0.0695
720;0;0.0695
730;5;0.0699
730;4;0.0697
730;3;0.0695
730;2;0.0696
730;1;0.0695
730;0;0.0695
740;5;0.0699
740;4;0.0697
740;3;0.0695
740;2;0.0696
740;1;0.0695
740;0;0.0695
750;5;0.0699
750;4;0.0697
750;3;0.0695
750;2;0.0696
750;1;0.0695
750;0;0.0695
760;5;0.0699
760;4;0.0697
760;3;0.0695
760;2;0.0696
760;1;0.0695
760;0;0.0695
770;5;0.0699
770;4;0.0697
770;3;0.0695
770;2;0.0696
770;1;0.0695
770;0;0.0695
780;5;0.0699
780;4;0.0697
780;3;0.0695
780;2;0.0696
780;1;0.0695
780;0;0.0695
790;5;0.0699
790;4;0.0697
790;3;0.0695
790;2;0.0696
790;1;0.0695
790;0;0.0695
800;5;0.0699
800;4;0.0697
800;3;0.0695
800;2;0.0696
800;1;0.0695
800;0;0.0695
810;5;0.0699
810;4;0.0697
810;3;0.0695
810;2;0.0696
810;1;0.0695
810;0;0.0695
820;5;0.0699
820;4;0.0697
820;3;0.0695
820;2;0.0696
820;1;0.0695
820;0;0.0695
830;5;0.0699
830;4;0.0697
830;3;0.0695
830;2;0.0696
830;1;0.0695
830;0;0.0695
840;5;0.0699
840;4;0.0697
840;3;0.0695
840;2;0.0696
840;1;0.0695
840;0;0.0695
850;5;0.0699
850;4;0.0697
850;3;0.0695
850;2;0.0696
850;1;0.0695
850;0;0.0695
860;5;0.0699
860;4;0.0697
860;3;0.0695
860;2;0.0696
860;1;0.0695
860;0;0.0695
870;5;0.0699
870;4;0.0697
870;3;0.0695
870;2;0.0696
870;1;0.0695
870;0;0.0695
880;5;0.0699
880;4;0.0697
880;3;0.0695
880;2;0.0696
880;1;0.0695
880;0;0.0695
890;5;0.0699
890;4;0.0697
890;3;0.0695
890;2;0.0696
890;1;0.0695
890;0;0.0695
900;5;0.0699
900;4;0.0697
900;3;0.0695
900;2;0.0696
900;1;0.0695
900;0;0.0695
910;5;0.0699
910;4;0.0697
910;3;0.0695
910;2;0.0696
910;1;0.0695
910;0;0.0695
920;5;0.0699
920;4;0.0697
920;3;0.0695
920;2;0.0696
920;1;0.0695
920;0;0.0695
930;5;0.0699
930;4;0.0697
930;3;0.0695
930;2;0.0696
930;1;0.0695
930;0;0.0695
940;5;0.0699
940;4;0.0697
940;3;0.0695
940;2;0.0696
940;1;0.0695
940;0;0.0695
950;5;0.0699
950;4;0.0697
950;3;0.0695
950;2;0.0696
950;1;0.0695
950;0;0.0695
960;5;0.0699
960;4;0.0697
960;3;0.0695
960;2;0.0696
960;1;0.0695
960;0;0.0695
970;5;0.0699
970;4;0.0697
970;3;0.0695
970;2;0.0696
970;1;0.0695
970;0;0.0695
980;5;0.0699
980;4;0.0697
980;3;0.0695
980;2;0.0696
980;1;0.0695
980;0;0.0695
990;5;0.0699
990;4;0.0697
990;3;0.0695
990;2;0.0696
990;1;0.0695
990;0;0.0695
1000;5;0.0699
1000;4;0.0697
1000;3;0.0695
1000;2;0.0696
1000;1;0.0695
1000;0;0.0695
1010;5;0.0699
1010;4;0.0697
1010;3;0.0695
1010;2;0.0696
1010;1;0.0695
1010;0;0.0695
1020;5;0.0699
1020;4;0.0697
1020;3;0.0695
1020;2;0.0696
1020;1;0.0695
1020;0;0.0695
1030;5;0.0699
1030;4;0.0697
1030;3;0.0695
1030;2;0.0696
1030;1;0.0695
1030;0;0.0695
1040;5;0.0699
1040;4;0.0697
1040;3;0.0695
1040;2;0.0696
1040;1;0.0695
1040;0;0.0695
1050;5;0.0699
1050;4;0.0697
1050;3;0.0695
1050;2;0.0696
1050;1;0.0695
1050;0;0.0695
1060;5;0.0699
1060;4;0.0697
1060;3;0.0695
1060;2;0.0696
1060;1;0.0695
1060;0;0.0695
1070;5;0.0699
1070;4;0.0697
1070;3;0.0695
1070;2;0.0696
1070;1;0.0695
1070;0;0.0695
1080;5;0.0699
1080;4;0.0697
1080;3;0.0695
1080;2;0.0696
1080;1;0.0695
1080;0;0.0695
1090;5;0.0699
1090;4;0.0697
1090;3;0.0695
1090;2;0.0696
1090;1;0.0695
1090;0;0.0695
1100;5;0.0699
1100;4;0.0697
1100;3;0.0695
1100;2;0.0696
1100;1;0.0695
1100;0;0.0695
1110;5;0.0699
1110;4;0.0697
1110;3;0.0695
1110;2;0.0696
1110;1;0.0695
1110;0;0.0695
1120;5;0.0699
1120;4;0.0697
1120;3;0.0695
1120;2;0.0696
1120;1;0.0695
1120;0;0.0695
1130;5;0.0699
1130;4;0.0697
1130;3;0.0695
1130;2;0.0696
1130;1;0.0695
1130;0;0.0695
1140;5;0.0699
1140;4;0.0697
1140;3;0.0695
1140;2;0.0696
1140;1;0.0695
1140;0;0.0695
1150;5;0.0699
1150;4;0.0697
1150;3;0.0695
1150;2;0.0696
1150;1;0.0695
1150;0;0.0695
1160;5;0.0699
1160;4;0.0697
1160;3;0.0695
1160;2;0.0696
