time;host_id;cpu_util;ram_util;bw_util;energy;vm_policy;link_policy;wf_policy
160;1;0.7813;3.125;2.0;5.3347;LFF;BLA;Priority
160;0;0.7813;3.125;2.5;5.3347;LFF;BLA;Priority
170;5;6.25;12.5;10.0;5.6746;LFF;BLA;Priority
170;4;3.125;6.25;5.0;5.6707;LFF;BLA;Priority
170;3;0.7813;3.125;4.0;5.6682;LFF;BLA;Priority
170;2;1.5625;6.25;6.0;5.6696;LFF;BLA;Priority
170;1;0.7813;3.125;2.0;5.6681;LFF;BLA;Priority
170;0;0.7813;3.125;2.5;5.6681;LFF;BLA;Priority
180;5;6.25;12.5;10.0;6.0084;LFF;BLA;Priority
180;4;3.125;6.25;5.0;6.0042;LFF;BLA;Priority
180;3;0.7813;3.125;4.0;6.0016;LFF;BLA;Priority
180;2;1.5625;6.25;6.0;6.0031;LFF;BLA;Priority
180;1;0.7813;3.125;2.0;6.0015;LFF;BLA;Priority
180;0;0.7813;3.125;2.5;6.0015;LFF;BLA;Priority
190;5;6.25;12.5;10.0;6.3422;LFF;BLA;Priority
190;4;3.125;6.25;5.0;6.3378;LFF;BLA;Priority
190;3;0.7813;3.125;4.0;6.335;LFF;BLA;Priority
190;2;1.5625;6.25;6.0;6.3366;LFF;BLA;Priority
190;1;0.7813;3.125;2.0;6.3349;LFF;BLA;Priority
190;0;0.7813;3.125;2.5;6.3349;LFF;BLA;Priority
200;5;6.25;12.5;10.0;6.676;LFF;BLA;Priority
200;4;3.125;6.25;5.0;6.6714;LFF;BLA;Priority
200;3;0.7813;3.125;4.0;6.6684;LFF;BLA;Priority
200;2;1.5625;6.25;6.0;6.6701;LFF;BLA;Priority
200;1;0.7813;3.125;2.0;6.6683;LFF;BLA;Priority
200;0;0.7813;3.125;2.5;6.6683;LFF;BLA;Priority
210;5;6.25;12.5;10.0;6.676;LFF;BLA;Priority
210;4;3.125;6.25;5.0;6.6714;LFF;BLA;Priority
210;3;0.7813;3.125;4.0;6.6684;LFF;BLA;Priority
210;2;1.5625;6.25;6.0;6.6701;LFF;BLA;Priority
210;1;0.7813;3.125;2.0;6.6683;LFF;BLA;Priority
210;0;0.7813;3.125;2.5;6.6683;LFF;BLA;Priority
220;5;6.25;12.5;10.0;7.0125;LFF;BLA;Priority
220;4;3.125;6.25;5.0;7.0076;LFF;BLA;Priority
220;3;0.7813;3.125;4.0;7.0045;LFF;BLA;Priority
