# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
220;0;2.7344;7.8125;7.0000;7.3387
230;5;0.0000;0.0000;0.0000;0.0000
230;4;0.0000;0.0000;0.0000;0.0000
230;3;2.7344;7.8125;7.0000;7.3387
230;2;0.0000;0.0000;0.0000;0.0000
230;1;0.0000;0.0000;0.0000;0.0000
230;0;2.7344;7.8125;7.0000;7.3387
240;5;0.0000;0.0000;0.0000;0.0000
240;4;0.0000;0.0000;0.0000;0.0000
240;3;2.7344;7.8125;7.0000;7.3387
240;2;0.0000;0.0000;0.0000;0.0000
240;1;0.0000;0.0000;0.0000;0.0000
240;0;2.7344;7.8125;7.0000;7.3387
250;5;0.0000;0.0000;0.0000;0.0000
250;4;0.0000;0.0000;0.0000;0.0000
250;3;2.7344;7.8125;7.0000;7.3387
250;2;0.0000;0.0000;0.0000;0.0000
250;1;0.0000;0.0000;0.0000;0.0000
250;0;2.7344;7.8125;7.0000;7.3387
260;5;0.0000;0.0000;0.0000;0.0000
260;4;0.0000;0.0000;0.0000;0.0000
260;3;2.7344;7.8125;7.0000;7.3387
260;2;0.0000;0.0000;0.0000;0.0000
260;1;0.0000;0.0000;0.0000;0.0000
260;0;2.7344;7.8125;7.0000;7.3387
270;5;0.0000;0.0000;0.0000;0.0000
270;4;0.0000;0.0000;0.0000;0.0000
270;3;2.7344;7.8125;7.0000;7.3387
270;2;0.0000;0.0000;0.0000;0.0000
270;1;0.0000;0.0000;0.0000;0.0000
270;0;2.7344;7.8125;7.0000;7.3387
280;5;0.0000;0.0000;0.0000;0.0000
280;4;0.0000;0.0000;0.0000;0.0000
280;3;2.7344;7.8125;7.0000;7.3387
280;2;0.0000;0.0000;0.0000;0.0000
280;1;0.0000;0.0000;0.0000;0.0000
280;0;2.7344;7.8125;7.0000;7.3387
290;5;0.0000;0.0000;0.0000;0.0000
290;4;0.0000;0.0000;0.0000;0.0000
290;3;2.7344;7.8125;7.0000;7.3387
290;2;0.0000;0.0000;0.0000;0.0000
290;1;0.0000;0.0000;0.0000;0.0000
290;0;2.7344;7.8125;7.0000;7.3387
300;5;0.0000;0.0000;0.0000;0.0000
300;4;0.0000;0.0000;0.0000;0.0000
300;3;2.7344;7.8125;7.0000;7.3387
300;2;0.0000;0.0000;0.0000;0.0000
300;1;0.0000;0.0000;0.0000;0.0000
300;0;2.7344;7.8125;7.0000;7.3387
310;5;0.0000;0.0000;0.0000;0.0000
310;4;0.0000;0.0000;0.0000;0.0000
310;3;2.7344;7.8125;7.0000;10.3409
310;2;0.0000;0.0000;0.0000;0.0000
310;1;0.0000;0.0000;0.0000;0.0000
310;0;2.7344;7.8125;7.0000;10.3409
320;5;0.0000;0.0000;0.0000;0.0000
320;4;0.0000;0.0000;0.0000;0.0000
320;3;2.7344;7.8125;7.0000;10.6745
320;2;0.0000;0.0000;0.0000;0.0000
320;1;0.0000;0.0000;0.0000;0.0000
320;0;2.7344;7.8125;7.0000;10.6745
330;5;0.0000;0.0000;0.0000;0.0000
330;4;0.0000;0.0000;0.0000;0.0000
330;3;2.7344;7.8125;7.0000;10.6745
330;2;0.0000;0.0000;0.0000;0.0000
330;1;0.0000;0.0000;0.0000;0.0000
330;0;2.7344;7.8125;7.0000;10.6745
340;5;0.0000;0.0000;0.0000;0.0000
340;4;0.0000;0.0000;0.0000;0.0000
340;3;2.7344;7.8125;7.0000;10.6745
340;2;0.0000;0.0000;0.0000;0.0000
340;1;0.0000;0.0000;0.0000;0.0000
340;0;2.7344;7.8125;7.0000;10.6745
350;5;0.0000;0.0000;0.0000;0.0000
350;4;0.0000;0.0000;0.0000;0.0000
350;3;2.7344;7.8125;7.0000;10.6745
350;2;0.0000;0.0000;0.0000;0.0000
350;1;0.0000;0.0000;0.0000;0.0000
350;0;2.7344;7.8125;7.0000;10.6745
360;5;0.0000;0.0000;0.0000;0.0000
360;4;0.0000;0.0000;0.0000;0.0000
360;3;2.7344;7.8125;7.0000;10.6745
360;2;0.0000;0.0000;0.0000;0.0000
360;1;0.0000;0.0000;0.0000;0.0000
360;0;2.7344;7.8125;7.0000;10.6745
370;5;0.0000;0.0000;0.0000;0.0000
370;4;0.0000;0.0000;0.0000;0.0000
370;3;2.7344;7.8125;7.0000;10.6745
370;2;0.0000;0.0000;0.0000;0.0000
370;1;0.0000;0.0000;0.0000;0.0000
370;0;2.7344;7.8125;7.0000;10.6745
380;5;0.0000;0.0000;0.0000;0.0000
380;4;0.0000;0.0000;0.0000;0.0000
380;3;2.7344;7.8125;7.0000;10.6745
380;2;0.0000;0.0000;0.0000;0.0000
380;1;0.0000;0.0000;0.0000;0.0000
380;0;2.7344;7.8125;7.0000;10.6745
390;5;0.0000;0.0000;0.0000;0.0000
390;4;0.0000;0.0000;0.0000;0.0000
390;3;2.7344;7.8125;7.0000;10.6745
390;2;0.0000;0.0000;0.0000;0.0000
390;1;0.0000;0.0000;0.0000;0.0000
390;0;2.7344;7.8125;7.0000;10.6745
400;5;0.0000;0.0000;0.0000;0.0000
400;4;0.0000;0.0000;0.0000;0.0000
400;3;2.7344;7.8125;7.0000;10.6745
400;2;0.0000;0.0000;0.0000;0.0000
400;1;0.0000;0.0000;0.0000;0.0000
400;0;2.7344;7.8125;7.0000;10.6745
410;5;0.0000;0.0000;0.0000;0.0000
410;4;0.0000;0.0000;0.0000;0.0000
410;3;2.7344;7.8125;7.0000;13.6767
410;2;0.0000;0.0000;0.0000;0.0000
410;1;0.0000;0.0000;0.0000;0.0000
410;0;2.7344;7.8125;7.0000;13.6767
420;5;0.0000;0.0000;0.0000;0.0000
420;4;0.0000;0.0000;0.0000;0.0000
420;3;2.7344;7.8125;7.0000;14.0103
420;2;0.0000;0.0000;0.0000;0.0000
420;1;0.0000;0.0000;0.0000;0.0000
420;0;2.7344;7.8125;7.0000;14.0103
430;5;0.0000;0.0000;0.0000;0.0000
430;4;0.0000;0.0000;0.0000;0.0000
430;3;2.7344;7.8125;7.0000;14.0103
430;2;0.0000;0.0000;0.0000;0.0000
430;1;0.0000;0.0000;0.0000;0.0000
430;0;2.7344;7.8125;7.0000;14.0103
440;5;0.0000;0.0000;0.0000;0.0000
440;4;0.0000;0.0000;0.0000;0.0000
440;3;2.7344;7.8125;7.0000;14.0103
440;2;0.0000;0.0000;0.0000;0.0000
440;1;0.0000;0.0000;0.0000;0.0000
440;0;2.7344;7.8125;7.0000;14.0103
