# units: hostId; total_energy(Wh)
3011;h_5;5;0.0000
3011;h_4;4;0.0000
3011;h_3;3;100.4178
3011;h_2;2;0.0000
3011;h_1;1;0.0000
3011;h_0;0;100.4178
TOTAL;;;200.8355
3011;h_5;5;0.0000
3011;h_4;4;0.0000
3011;h_3;3;100.4178
3011;h_2;2;0.0000
3011;h_1;1;0.0000
3011;h_0;0;100.4178
TOTAL;;;200.8355
3011;h_5;5;0.0000
3011;h_4;4;0.0000
3011;h_3;3;100.4178
3011;h_2;2;0.0000
3011;h_1;1;0.0000
3011;h_0;0;100.4178
TOTAL;;;200.8355
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4012;h_5;5;0.0000
4012;h_4;4;0.0000
4012;h_3;3;133.8183
4012;h_2;2;0.0000
4012;h_1;1;0.0000
4012;h_0;0;133.8183
TOTAL;;;267.6366
4022;h_5;5;0.0000
4022;h_4;4;0.0000
4022;h_3;3;134.1519
4022;h_2;2;0.0000
4022;h_1;1;0.0000
4022;h_0;0;134.1519
TOTAL;;;268.3038
