# units: time(s); switchId; energy(watt)
510;9;9.4492
510;8;9.4492
510;7;9.4492
510;6;9.4492
520;12;9.6344
520;11;9.6344
520;10;9.6344
520;9;9.6344
520;8;9.6344
520;7;9.6344
520;6;9.6344
530;12;9.6344
530;11;9.6344
530;10;9.6344
530;9;9.6344
530;8;9.6344
530;7;9.6344
530;6;9.6344
540;12;9.6344
540;11;9.6344
540;10;9.6344
540;9;9.6344
540;8;9.6344
540;7;9.6344
540;6;9.6344
550;12;9.6344
550;11;9.6344
550;10;9.6344
550;9;9.6344
550;8;9.6344
550;7;9.6344
550;6;9.6344
560;12;9.6344
560;11;9.6344
560;10;9.6344
560;9;9.6344
560;8;9.6344
560;7;9.6344
560;6;9.6344
570;12;9.6344
570;11;9.6344
570;10;9.6344
570;9;9.6344
570;8;9.6344
570;7;9.6344
570;6;9.6344
580;12;9.6344
580;11;9.6344
580;10;9.6344
580;9;9.6344
580;8;9.6344
580;7;9.6344
580;6;9.6344
590;12;9.6344
590;11;9.6344
590;10;9.6344
590;9;9.6344
590;8;9.6344
590;7;9.6344
590;6;9.6344
600;12;9.6344
600;11;9.6344
600;10;9.6344
600;9;9.6344
600;8;9.6344
600;7;9.6344
600;6;9.6344
610;12;11.3019
610;11;11.3019
610;10;11.3019
610;9;11.3019
610;8;11.3019
610;7;11.3019
610;6;11.3019
620;12;11.4872
620;11;11.4872
620;10;11.4872
620;9;11.4872
620;8;11.4872
620;7;11.4872
620;6;11.4872
630;12;11.4872
630;11;11.4872
630;10;11.4872
630;9;11.4872
630;8;11.4872
630;7;11.4872
630;6;11.4872
640;12;11.4872
640;11;11.4872
640;10;11.4872
640;9;11.4872
640;8;11.4872
640;7;11.4872
640;6;11.4872
650;12;11.4872
650;11;11.4872
650;10;11.4872
650;9;11.4872
650;8;11.4872
650;7;11.4872
650;6;11.4872
660;12;11.4872
660;11;11.4872
660;10;11.4872
660;9;11.4872
660;8;11.4872
660;7;11.4872
660;6;11.4872
670;12;11.4872
670;11;11.4872
670;10;11.4872
670;9;11.4872
670;8;11.4872
670;7;11.4872
670;6;11.4872
680;12;11.4872
680;11;11.4872
680;10;11.4872
680;9;11.4872
680;8;11.4872
680;7;11.4872
680;6;11.4872
690;12;11.4872
690;11;11.4872
690;10;11.4872
690;9;11.4872
690;8;11.4872
690;7;11.4872
690;6;11.4872
700;12;11.4872
700;11;11.4872
700;10;11.4872
700;9;11.4872
700;8;11.4872
700;7;11.4872
700;6;11.4872
710;12;11.4872
710;11;11.4872
710;10;11.4872
710;9;11.4872
710;8;11.4872
710;7;11.4872
710;6;11.4872
720;12;11.4872
720;11;11.4872
720;10;11.4872
720;9;11.4872
720;8;11.4872
720;7;11.4872
720;6;11.4872
730;12;11.4872
730;11;11.4872
730;10;11.4872
730;9;11.4872
730;8;11.4872
730;7;11.4872
730;6;11.4872
740;12;11.4872
740;11;11.4872
740;10;11.4872
740;9;11.4872
740;8;11.4872
740;7;11.4872
740;6;11.4872
750;12;11.4872
750;11;11.4872
750;10;11.4872
750;9;11.4872
750;8;11.4872
750;7;11.4872
750;6;11.4872
760;12;11.4872
760;11;11.4872
760;10;11.4872
760;9;11.4872
760;8;11.4872
760;7;11.4872
760;6;11.4872
770;12;11.4872
770;11;11.4872
770;10;11.4872
770;9;11.4872
770;8;11.4872
770;7;11.4872
770;6;11.4872
780;12;11.4872
780;11;11.4872
780;10;11.4872
780;9;11.4872
780;8;11.4872
780;7;11.4872
780;6;11.4872
790;12;11.4872
790;11;11.4872
790;10;11.4872
790;9;11.4872
790;8;11.4872
790;7;11.4872
790;6;11.4872
800;12;11.4872
800;11;11.4872
800;10;11.4872
800;9;11.4872
800;8;11.4872
800;7;11.4872
800;6;11.4872
810;12;11.4872
810;11;11.4872
810;10;11.4872
810;9;11.4872
810;8;11.4872
810;7;11.4872
810;6;11.4872
820;12;15.0134
820;11;15.0134
820;10;15.0134
820;9;15.0134
820;8;15.0134
820;7;15.0134
820;6;15.0134
830;12;15.1987
830;11;15.1987
830;10;15.1987
830;9;15.1987
830;8;15.1987
830;7;15.1987
830;6;15.1987
840;12;15.3840
840;11;15.3840
840;10;15.3840
840;9;15.3840
840;8;15.3840
840;7;15.3840
840;6;15.3840
850;12;15.5693
850;11;15.5693
850;10;15.5693
850;9;15.5693
850;8;15.5693
850;7;15.5693
850;6;15.5693
860;12;15.7546
860;11;15.7546
860;10;15.7546
860;9;15.7546
860;8;15.7546
860;7;15.7546
860;6;15.7546
870;12;15.9398
870;11;15.9398
870;10;15.9398
870;9;15.9398
870;8;15.9398
870;7;15.9398
870;6;15.9398
880;12;16.1251
880;11;16.1251
880;10;16.1251
880;9;16.1251
880;8;16.1251
880;7;16.1251
880;6;16.1251
890;12;16.3104
890;11;16.3104
890;10;16.3104
890;9;16.3104
890;8;16.3104
890;7;16.3104
890;6;16.3104
900;12;16.4957
900;11;16.4957
900;10;16.4957
900;9;16.4957
900;8;16.4957
900;7;16.4957
900;6;16.4957
910;12;16.6809
910;11;16.6809
910;10;16.6809
910;9;16.6809
910;8;16.6809
910;7;16.6809
910;6;16.6809
920;12;16.8662
920;11;16.8662
920;10;16.8662
920;9;16.8662
920;8;16.8662
920;7;16.8662
920;6;16.8662
930;12;17.0515
930;11;17.0515
930;10;17.0515
930;9;17.0515
930;8;17.0515
