# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
110.00;7;1.56;6.25;5.00;0.3335
110.00;6;1.95;4.69;4.00;0.3335
110.00;5;6.25;12.50;10.00;0.3338
110.00;4;0.78;3.13;4.00;0.3334
110.00;3;1.17;4.69;4.50;0.3335
110.00;2;1.56;6.25;4.00;0.3335
110.00;1;3.13;6.25;5.00;0.3336
110.00;0;1.95;4.69;4.50;0.3335
110.00;11;1.56;6.25;0.00;0.0696
110.00;10;1.56;6.25;0.00;0.0696
110.00;9;1.17;4.69;0.00;0.0696
110.00;8;6.25;12.50;0.00;0.0699
110.00;7;1.56;6.25;0.00;0.0696
110.00;6;1.95;4.69;0.00;0.0696
110.00;5;6.25;12.50;0.00;0.0699
110.00;4;0.78;3.13;0.00;0.0695
110.00;3;1.17;4.69;0.00;0.0696
110.00;2;1.56;6.25;0.00;0.0696
110.00;1;3.13;6.25;0.00;0.0697
110.00;0;1.95;4.69;0.00;0.0696
120.00;11;1.56;6.25;6.00;0.3335
120.00;10;1.56;6.25;5.00;0.3335
120.00;9;1.17;4.69;5.00;0.3335
120.00;8;6.25;12.50;10.00;0.3338
120.00;7;1.56;6.25;5.00;0.3335
120.00;6;1.95;4.69;4.00;0.3335
120.00;5;6.25;12.50;10.00;0.3338
120.00;4;0.78;3.13;4.00;0.3334
120.00;3;1.17;4.69;4.50;0.3335
120.00;2;1.56;6.25;4.00;0.3335
120.00;1;3.13;6.25;5.00;0.3336
120.00;0;1.95;4.69;4.50;0.3335
120.00;11;1.56;6.25;0.00;0.0696
120.00;10;1.56;6.25;0.00;0.0696
120.00;9;1.17;4.69;0.00;0.0696
120.00;8;6.25;12.50;0.00;0.0699
120.00;7;1.56;6.25;0.00;0.0696
120.00;6;1.95;4.69;0.00;0.0696
120.00;5;6.25;12.50;0.00;0.0699
120.00;4;0.78;3.13;0.00;0.0695
120.00;3;1.17;4.69;0.00;0.0696
120.00;2;1.56;6.25;0.00;0.0696
120.00;1;3.13;6.25;0.00;0.0697
120.00;0;1.95;4.69;0.00;0.0696
130.00;11;1.56;6.25;6.00;0.3335
130.00;10;1.56;6.25;5.00;0.3335
130.00;9;1.17;4.69;5.00;0.3335
130.00;8;6.25;12.50;10.00;0.3338
130.00;7;1.56;6.25;5.00;0.3335
130.00;6;1.95;4.69;4.00;0.3335
130.00;5;6.25;12.50;10.00;0.3338
130.00;4;0.78;3.13;4.00;0.3334
130.00;3;1.17;4.69;4.50;0.3335
130.00;2;1.56;6.25;4.00;0.3335
130.00;1;3.13;6.25;5.00;0.3336
130.00;0;1.95;4.69;4.50;0.3335
130.00;11;1.56;6.25;0.00;0.0696
130.00;10;1.56;6.25;0.00;0.0696
130.00;9;1.17;4.69;0.00;0.0696
130.00;8;6.25;12.50;0.00;0.0699
130.00;7;1.56;6.25;0.00;0.0696
130.00;6;1.95;4.69;0.00;0.0696
130.00;5;6.25;12.50;0.00;0.0699
130.00;4;0.78;3.13;0.00;0.0695
130.00;3;1.17;4.69;0.00;0.0696
130.00;2;1.56;6.25;0.00;0.0696
130.00;1;3.13;6.25;0.00;0.0697
130.00;0;1.95;4.69;0.00;0.0696
140.00;11;1.56;6.25;6.00;0.3335
140.00;10;1.56;6.25;5.00;0.3335
140.00;9;1.17;4.69;5.00;0.3335
140.00;8;6.25;12.50;10.00;0.3338
140.00;7;1.56;6.25;5.00;0.3335
140.00;6;1.95;4.69;4.00;0.3335
140.00;5;6.25;12.50;10.00;0.3338
140.00;4;0.78;3.13;4.00;0.3334
140.00;3;1.17;4.69;4.50;0.3335
140.00;2;1.56;6.25;4.00;0.3335
140.00;1;3.13;6.25;5.00;0.3336
140.00;0;1.95;4.69;4.50;0.3335
140.00;11;1.56;6.25;0.00;0.0696
140.00;10;1.56;6.25;0.00;0.0696
140.00;9;1.17;4.69;0.00;0.0696
140.00;8;6.25;12.50;0.00;0.0699
140.00;7;1.56;6.25;0.00;0.0696
140.00;6;1.95;4.69;0.00;0.0696
140.00;5;6.25;12.50;0.00;0.0699
140.00;4;0.78;3.13;0.00;0.0695
140.00;3;1.17;4.69;0.00;0.0696
140.00;2;1.56;6.25;0.00;0.0696
140.00;1;3.13;6.25;0.00;0.0697
140.00;0;1.95;4.69;0.00;0.0696
150.00;11;1.56;6.25;6.00;0.3335
150.00;10;1.56;6.25;5.00;0.3335
150.00;9;1.17;4.69;5.00;0.3335
150.00;8;6.25;12.50;10.00;0.3338
150.00;7;1.56;6.25;5.00;0.3335
150.00;6;1.95;4.69;4.00;0.3335
150.00;5;6.25;12.50;10.00;0.3338
150.00;4;0.78;3.13;4.00;0.3334
150.00;3;1.17;4.69;4.50;0.3335
150.00;2;1.56;6.25;4.00;0.3335
150.00;1;3.13;6.25;5.00;0.3336
150.00;0;1.95;4.69;4.50;0.3335
150.00;11;1.56;6.25;0.00;0.0696
150.00;10;1.56;6.25;0.00;0.0696
150.00;9;1.17;4.69;0.00;0.0696
150.00;8;6.25;12.50;0.00;0.0699
150.00;7;1.56;6.25;0.00;0.0696
150.00;6;1.95;4.69;0.00;0.0696
150.00;5;6.25;12.50;0.00;0.0699
150.00;4;0.78;3.13;0.00;0.0695
150.00;3;1.17;4.69;0.00;0.0696
150.00;2;1.56;6.25;0.00;0.0696
150.00;1;3.13;6.25;0.00;0.0697
150.00;0;1.95;4.69;0.00;0.0696
160.00;11;1.56;6.25;6.00;0.3335
160.00;10;1.56;6.25;5.00;0.3335
160.00;9;1.17;4.69;5.00;0.3335
160.00;8;6.25;12.50;10.00;0.3338
160.00;7;1.56;6.25;5.00;0.3335
160.00;6;1.95;4.69;4.00;0.3335
160.00;5;6.25;12.50;10.00;0.3338
160.00;4;0.78;3.13;4.00;0.3334
160.00;3;1.17;4.69;4.50;0.3335
160.00;2;1.56;6.25;4.00;0.3335
160.00;1;3.13;6.25;5.00;0.3336
160.00;0;1.95;4.69;4.50;0.3335
160.00;11;1.56;6.25;0.00;0.0696
160.00;10;1.56;6.25;0.00;0.0696
160.00;9;1.17;4.69;0.00;0.0696
160.00;8;6.25;12.50;0.00;0.0699
160.00;7;1.56;6.25;0.00;0.0696
160.00;6;1.95;4.69;0.00;0.0696
160.00;5;6.25;12.50;0.00;0.0699
160.00;4;0.78;3.13;0.00;0.0695
160.00;3;1.17;4.69;0.00;0.0696
160.00;2;1.56;6.25;0.00;0.0696
160.00;1;3.13;6.25;0.00;0.0697
160.00;0;1.95;4.69;0.00;0.0696
170.00;11;1.56;6.25;6.00;0.3335
170.00;10;1.56;6.25;5.00;0.3335
170.00;9;1.17;4.69;5.00;0.3335
170.00;8;6.25;12.50;10.00;0.3338
170.00;7;1.56;6.25;5.00;0.3335
170.00;6;1.95;4.69;4.00;0.3335
170.00;5;6.25;12.50;10.00;0.3338
170.00;4;0.78;3.13;4.00;0.3334
170.00;3;1.17;4.69;4.50;0.3335
170.00;2;1.56;6.25;4.00;0.3335
170.00;1;3.13;6.25;5.00;0.3336
170.00;0;1.95;4.69;4.50;0.3335
170.00;11;1.56;6.25;0.00;0.0696
170.00;10;1.56;6.25;0.00;0.0696
170.00;9;1.17;4.69;0.00;0.0696
170.00;8;6.25;12.50;0.00;0.0699
170.00;7;1.56;6.25;0.00;0.0696
170.00;6;1.95;4.69;0.00;0.0696
170.00;5;6.25;12.50;0.00;0.0699
170.00;4;0.78;3.13;0.00;0.0695
170.00;3;1.17;4.69;0.00;0.0696
170.00;2;1.56;6.25;0.00;0.0696
170.00;1;3.13;6.25;0.00;0.0697
170.00;0;1.95;4.69;0.00;0.0696
180.00;11;1.56;6.25;6.00;0.3335
180.00;10;1.56;6.25;5.00;0.3335
180.00;9;1.17;4.69;5.00;0.3335
180.00;8;6.25;12.50;10.00;0.3338
180.00;7;1.56;6.25;5.00;0.3335
180.00;6;1.95;4.69;4.00;0.3335
180.00;5;6.25;12.50;10.00;0.3338
180.00;4;0.78;3.13;4.00;0.3334
180.00;3;1.17;4.69;4.50;0.3335
180.00;2;1.56;6.25;4.00;0.3335
180.00;1;3.13;6.25;5.00;0.3336
180.00;0;1.95;4.69;4.50;0.3335
180.00;11;1.56;6.25;0.00;0.0696
180.00;10;1.56;6.25;0.00;0.0696
180.00;9;1.17;4.69;0.00;0.0696
180.00;8;6.25;12.50;0.00;0.0699
180.00;7;1.56;6.25;0.00;0.0696
180.00;6;1.95;4.69;0.00;0.0696
180.00;5;6.25;12.50;0.00;0.0699
180.00;4;0.78;3.13;0.00;0.0695
180.00;3;1.17;4.69;0.00;0.0696
180.00;2;1.56;6.25;0.00;0.0696
180.00;1;3.13;6.25;0.00;0.0697
180.00;0;1.95;4.69;0.00;0.0696
190.00;11;1.56;6.25;6.00;0.3335
190.00;10;1.56;6.25;5.00;0.3335
190.00;9;1.17;4.69;5.00;0.3335
190.00;8;6.25;12.50;10.00;0.3338
190.00;7;1.56;6.25;5.00;0.3335
190.00;6;1.95;4.69;4.00;0.3335
190.00;5;6.25;12.50;10.00;0.3338
190.00;4;0.78;3.13;4.00;0.3334
190.00;3;1.17;4.69;4.50;0.3335
