# units: time(s); switchId; energy(watt)
510;9;8.8933
510;8;8.8933
510;7;8.8933
510;6;8.8933
520;12;8.8933
520;11;8.8933
520;10;8.8933
520;9;8.8933
520;8;8.8933
520;7;8.8933
520;6;8.8933
530;12;8.8933
530;11;8.8933
530;10;8.8933
530;9;8.8933
530;8;8.8933
530;7;8.8933
530;6;8.8933
540;12;10.0050
540;11;10.0050
540;10;10.0050
540;9;10.0050
540;8;10.0050
540;7;10.0050
540;6;10.0050
550;12;10.1903
550;11;10.1903
550;10;10.1903
550;9;10.1903
550;8;10.1903
550;7;10.1903
550;6;10.1903
560;12;10.1903
560;11;10.1903
560;10;10.1903
560;9;10.1903
560;8;10.1903
560;7;10.1903
560;6;10.1903
570;12;10.5608
570;11;10.5608
570;10;10.5608
570;9;10.5608
570;8;10.5608
570;7;10.5608
570;6;10.5608
580;12;10.5608
580;11;10.5608
580;10;10.5608
580;9;10.5608
580;8;10.5608
580;7;10.5608
580;6;10.5608
590;12;10.5608
590;11;10.5608
590;10;10.5608
590;9;10.5608
590;8;10.5608
590;7;10.5608
590;6;10.5608
600;12;10.5608
600;11;10.5608
600;10;10.5608
600;9;10.5608
600;8;10.5608
600;7;10.5608
600;6;10.5608
610;12;10.5608
610;11;10.5608
610;10;10.5608
610;9;10.5608
610;8;10.5608
610;7;10.5608
610;6;10.5608
620;12;10.5608
620;11;10.5608
620;10;10.5608
620;9;10.5608
620;8;10.5608
620;7;10.5608
620;6;10.5608
630;12;10.5608
630;11;10.5608
630;10;10.5608
630;9;10.5608
630;8;10.5608
630;7;10.5608
630;6;10.5608
640;12;10.5608
640;11;10.5608
640;10;10.5608
640;9;10.5608
640;8;10.5608
640;7;10.5608
640;6;10.5608
650;12;10.5608
650;11;10.5608
650;10;10.5608
650;9;10.5608
650;8;10.5608
650;7;10.5608
650;6;10.5608
660;12;10.5608
660;11;10.5608
660;10;10.5608
660;9;10.5608
660;8;10.5608
660;7;10.5608
660;6;10.5608
670;12;10.5608
670;11;10.5608
670;10;10.5608
670;9;10.5608
670;8;10.5608
670;7;10.5608
670;6;10.5608
680;12;10.5608
680;11;10.5608
680;10;10.5608
680;9;10.5608
680;8;10.5608
680;7;10.5608
680;6;10.5608
690;12;10.5608
690;11;10.5608
690;10;10.5608
690;9;10.5608
690;8;10.5608
690;7;10.5608
690;6;10.5608
700;12;10.5608
700;11;10.5608
700;10;10.5608
700;9;10.5608
700;8;10.5608
700;7;10.5608
700;6;10.5608
710;12;10.5608
710;11;10.5608
710;10;10.5608
710;9;10.5608
710;8;10.5608
710;7;10.5608
710;6;10.5608
720;12;10.5608
720;11;10.5608
720;10;10.5608
720;9;10.5608
720;8;10.5608
720;7;10.5608
720;6;10.5608
730;12;10.5608
730;11;10.5608
730;10;10.5608
730;9;10.5608
730;8;10.5608
730;7;10.5608
730;6;10.5608
740;12;10.5608
740;11;10.5608
740;10;10.5608
740;9;10.5608
740;8;10.5608
740;7;10.5608
740;6;10.5608
750;12;10.5608
750;11;10.5608
750;10;10.5608
