vm_policy;link_policy;wf_policy;# units: time(s); switchId; energy(watt)
LWFF;First;SJF;130;6;2.4086
LWFF;First;SJF;130;5;2.4086
LWFF;First;SJF;130;4;2.4086
LWFF;First;SJF;140;7;2.5939
LWFF;First;SJF;140;6;2.5939
LWFF;First;SJF;140;5;2.5939
LWFF;First;SJF;140;4;2.5939
LWFF;First;SJF;150;7;2.7792
LWFF;First;SJF;150;6;2.7792
LWFF;First;SJF;150;5;2.7792
LWFF;First;SJF;150;4;2.7792
LWFF;First;SJF;160;7;2.9644
LWFF;First;SJF;160;6;2.9644
LWFF;First;SJF;160;5;2.9644
LWFF;First;SJF;160;4;2.9644
MFF;BLA;Priority;10;7;0.1853
MFF;BLA;Priority;10;6;0.1853
MFF;BLA;Priority;10;5;0.1853
MFF;BLA;Priority;10;4;0.1853
MFF;BLA;Priority;20;7;0.3706
MFF;BLA;Priority;20;6;0.3706
MFF;BLA;Priority;20;5;0.3706
MFF;BLA;Priority;20;4;0.3706
MFF;BLA;Priority;30;7;0.5558
MFF;BLA;Priority;30;6;0.5558
MFF;BLA;Priority;30;5;0.5558
MFF;BLA;Priority;30;4;0.5558
MFF;BLA;Priority;40;7;0.7411
MFF;BLA;Priority;40;6;0.7411
MFF;BLA;Priority;40;5;0.7411
MFF;BLA;Priority;40;4;0.7411
MFF;BLA;Priority;50;7;0.9264
MFF;BLA;Priority;50;6;0.9264
MFF;BLA;Priority;50;5;0.9264
MFF;BLA;Priority;50;4;0.9264
MFF;BLA;Priority;60;7;1.1117
MFF;BLA;Priority;60;6;1.1117
MFF;BLA;Priority;60;5;1.1117
MFF;BLA;Priority;60;4;1.1117
MFF;BLA;Priority;70;7;1.1117
MFF;BLA;Priority;70;6;1.1117
MFF;BLA;Priority;70;5;1.1117
MFF;BLA;Priority;70;4;1.1117
MFF;BLA;PSO;10;7;0.1853
MFF;BLA;PSO;10;6;0.1853
MFF;BLA;PSO;10;5;0.1853
MFF;BLA;PSO;10;4;0.1853
MFF;BLA;PSO;20;7;0.3706
MFF;BLA;PSO;20;6;0.3706
MFF;BLA;PSO;20;5;0.3706
MFF;BLA;PSO;20;4;0.3706
MFF;BLA;PSO;30;7;0.5558
MFF;BLA;PSO;30;6;0.5558
MFF;BLA;PSO;30;5;0.5558
MFF;BLA;PSO;30;4;0.5558
MFF;BLA;PSO;40;7;0.7411
MFF;BLA;PSO;40;6;0.7411
MFF;BLA;PSO;40;5;0.7411
MFF;BLA;PSO;40;4;0.7411
MFF;BLA;PSO;50;7;0.9264
MFF;BLA;PSO;50;6;0.9264
MFF;BLA;PSO;50;5;0.9264
MFF;BLA;PSO;50;4;0.9264
MFF;BLA;SJF;10;7;0.1853
MFF;BLA;SJF;10;6;0.1853
MFF;BLA;SJF;10;5;0.1853
MFF;BLA;SJF;10;4;0.1853
MFF;BLA;SJF;20;7;0.3706
MFF;BLA;SJF;20;6;0.3706
MFF;BLA;SJF;20;5;0.3706
MFF;BLA;SJF;20;4;0.3706
MFF;BLA;SJF;30;7;0.5558
MFF;BLA;SJF;30;6;0.5558
MFF;BLA;SJF;30;5;0.5558
MFF;BLA;SJF;30;4;0.5558
MFF;BLA;SJF;40;7;0.7411
MFF;BLA;SJF;40;6;0.7411
MFF;BLA;SJF;40;5;0.7411
MFF;BLA;SJF;40;4;0.7411
MFF;BLA;SJF;50;7;0.9264
MFF;BLA;SJF;50;6;0.9264
MFF;BLA;SJF;50;5;0.9264
MFF;BLA;SJF;50;4;0.9264
MFF;BLA;SJF;60;7;1.1117
MFF;BLA;SJF;60;6;1.1117
MFF;BLA;SJF;60;5;1.1117
MFF;BLA;SJF;60;4;1.1117
MFF;BLA;SJF;70;7;1.1117
MFF;BLA;SJF;70;6;1.1117
MFF;BLA;SJF;70;5;1.1117
MFF;BLA;SJF;70;4;1.1117
MFF;First;Priority;10;7;0.1853
MFF;First;Priority;10;6;0.1853
MFF;First;Priority;10;5;0.1853
MFF;First;Priority;10;4;0.1853
MFF;First;Priority;20;7;0.3706
MFF;First;Priority;20;6;0.3706
MFF;First;Priority;20;5;0.3706
MFF;First;Priority;20;4;0.3706
MFF;First;Priority;30;7;0.5558
MFF;First;Priority;30;6;0.5558
MFF;First;Priority;30;5;0.5558
MFF;First;Priority;30;4;0.5558
MFF;First;Priority;40;7;0.7411
MFF;First;Priority;40;6;0.7411
MFF;First;Priority;40;5;0.7411
MFF;First;Priority;40;4;0.7411
MFF;First;Priority;50;7;0.9264
MFF;First;Priority;50;6;0.9264
MFF;First;Priority;50;5;0.9264
MFF;First;Priority;50;4;0.9264
MFF;First;Priority;60;7;1.1117
MFF;First;Priority;60;6;1.1117
MFF;First;Priority;60;5;1.1117
MFF;First;Priority;60;4;1.1117
MFF;First;Priority;70;7;1.1117
MFF;First;Priority;70;6;1.1117
MFF;First;Priority;70;5;1.1117
MFF;First;Priority;70;4;1.1117
MFF;First;PSO;10;7;0.1853
MFF;First;PSO;10;6;0.1853
MFF;First;PSO;10;5;0.1853
MFF;First;PSO;10;4;0.1853
MFF;First;PSO;20;7;0.3706
MFF;First;PSO;20;6;0.3706
MFF;First;PSO;20;5;0.3706
MFF;First;PSO;20;4;0.3706
MFF;First;PSO;30;7;0.5558
MFF;First;PSO;30;6;0.5558
MFF;First;PSO;30;5;0.5558
MFF;First;PSO;30;4;0.5558
MFF;First;PSO;40;7;0.7411
MFF;First;PSO;40;6;0.7411
MFF;First;PSO;40;5;0.7411
MFF;First;PSO;40;4;0.7411
MFF;First;PSO;50;7;0.9264
MFF;First;PSO;50;6;0.9264
MFF;First;PSO;50;5;0.9264
MFF;First;PSO;50;4;0.9264
MFF;First;SJF;10;7;0.1853
MFF;First;SJF;10;6;0.1853
MFF;First;SJF;10;5;0.1853
MFF;First;SJF;10;4;0.1853
MFF;First;SJF;20;7;0.3706
MFF;First;SJF;20;6;0.3706
MFF;First;SJF;20;5;0.3706
MFF;First;SJF;20;4;0.3706
MFF;First;SJF;30;7;0.5558
MFF;First;SJF;30;6;0.5558
MFF;First;SJF;30;5;0.5558
MFF;First;SJF;30;4;0.5558
MFF;First;SJF;40;7;0.7411
MFF;First;SJF;40;6;0.7411
MFF;First;SJF;40;5;0.7411
MFF;First;SJF;40;4;0.7411
MFF;First;SJF;50;7;0.9264
MFF;First;SJF;50;6;0.9264
MFF;First;SJF;50;5;0.9264
MFF;First;SJF;50;4;0.9264
MFF;First;SJF;60;7;1.1117
MFF;First;SJF;60;6;1.1117
MFF;First;SJF;60;5;1.1117
MFF;First;SJF;60;4;1.1117
MFF;First;SJF;70;7;1.1117
MFF;First;SJF;70;6;1.1117
MFF;First;SJF;70;5;1.1117
MFF;First;SJF;70;4;1.1117
