vm_policy;link_policy;wf_policy;# units: time(s); switchId; energy(watt)
LFF;BLA;SJF;130;5;2.4086
LFF;BLA;SJF;130;4;2.4086
LFF;First;Priority;10;7;0.1853
LFF;First;Priority;10;6;0.1853
LFF;First;Priority;10;5;0.1853
LFF;First;Priority;10;4;0.1853
LFF;First;Priority;20;7;0.3706
LFF;First;Priority;20;6;0.3706
LFF;First;Priority;20;5;0.3706
LFF;First;Priority;20;4;0.3706
LFF;First;Priority;30;7;0.5558
LFF;First;Priority;30;6;0.5558
LFF;First;Priority;30;5;0.5558
LFF;First;Priority;30;4;0.5558
LFF;First;Priority;40;7;0.7411
LFF;First;Priority;40;6;0.7411
LFF;First;Priority;40;5;0.7411
LFF;First;Priority;40;4;0.7411
LFF;First;Priority;50;7;0.9264
LFF;First;Priority;50;6;0.9264
LFF;First;Priority;50;5;0.9264
LFF;First;Priority;50;4;0.9264
LFF;First;Priority;60;7;1.1117
LFF;First;Priority;60;6;1.1117
LFF;First;Priority;60;5;1.1117
LFF;First;Priority;60;4;1.1117
LFF;First;Priority;70;7;1.2969
LFF;First;Priority;70;6;1.2969
LFF;First;Priority;70;5;1.2969
LFF;First;Priority;70;4;1.2969
LFF;First;Priority;80;7;1.4822
LFF;First;Priority;80;6;1.4822
LFF;First;Priority;80;5;1.4822
LFF;First;Priority;80;4;1.4822
LFF;First;Priority;90;7;1.6675
LFF;First;Priority;90;6;1.6675
LFF;First;Priority;90;5;1.6675
LFF;First;Priority;90;4;1.6675
LFF;First;Priority;100;7;1.8528
LFF;First;Priority;100;6;1.8528
LFF;First;Priority;100;5;1.8528
LFF;First;Priority;100;4;1.8528
LFF;First;Priority;110;7;2.0381
LFF;First;Priority;110;6;2.0381
LFF;First;Priority;110;5;2.0381
LFF;First;Priority;110;4;2.0381
LFF;First;Priority;120;7;2.2233
LFF;First;Priority;120;6;2.2233
LFF;First;Priority;120;5;2.2233
LFF;First;Priority;120;4;2.2233
LFF;First;Priority;130;7;2.4086
LFF;First;Priority;130;6;2.4086
LFF;First;Priority;130;5;2.4086
LFF;First;Priority;130;4;2.4086
LFF;First;Priority;140;7;2.5939
LFF;First;Priority;140;6;2.5939
LFF;First;Priority;140;5;2.5939
LFF;First;Priority;140;4;2.5939
LFF;First;PSO;10;7;0.1853
LFF;First;PSO;10;6;0.1853
LFF;First;PSO;10;5;0.1853
LFF;First;PSO;10;4;0.1853
LFF;First;PSO;20;7;0.3706
LFF;First;PSO;20;6;0.3706
LFF;First;PSO;20;5;0.3706
LFF;First;PSO;20;4;0.3706
LFF;First;PSO;30;7;0.5558
LFF;First;PSO;30;6;0.5558
LFF;First;PSO;30;5;0.5558
LFF;First;PSO;30;4;0.5558
LFF;First;PSO;40;7;0.7411
LFF;First;PSO;40;6;0.7411
LFF;First;PSO;40;5;0.7411
LFF;First;PSO;40;4;0.7411
LFF;First;PSO;50;7;0.9264
LFF;First;PSO;50;6;0.9264
LFF;First;PSO;50;5;0.9264
LFF;First;PSO;50;4;0.9264
LFF;First;PSO;60;7;1.1117
LFF;First;PSO;60;6;1.1117
LFF;First;PSO;60;5;1.1117
LFF;First;PSO;60;4;1.1117
LFF;First;PSO;70;7;1.2969
LFF;First;PSO;70;6;1.2969
LFF;First;PSO;70;5;1.2969
LFF;First;PSO;70;4;1.2969
LFF;First;PSO;80;7;1.4822
LFF;First;PSO;80;6;1.4822
LFF;First;PSO;80;5;1.4822
LFF;First;PSO;80;4;1.4822
LFF;First;PSO;90;7;1.6675
