# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
110;0;3.1250;9.3750;9.0000;3.6698
120;11;0.0000;0.0000;0.0000;0.0000
120;10;0.0000;0.0000;0.0000;0.0000
120;9;2.7344;10.9375;10.0000;4.0036
120;8;0.0000;0.0000;0.0000;0.0000
120;7;0.0000;0.0000;0.0000;0.0000
120;6;3.9063;9.3750;7.5000;4.0038
120;5;0.0000;0.0000;0.0000;0.0000
120;4;0.0000;0.0000;0.0000;0.0000
120;3;3.9063;9.3750;8.5000;4.0039
120;2;0.0000;0.0000;0.0000;0.0000
120;1;0.0000;0.0000;0.0000;0.0000
120;0;3.1250;9.3750;9.0000;4.0035
130;11;0.0000;0.0000;0.0000;0.0000
130;10;0.0000;0.0000;0.0000;0.0000
130;9;2.7344;10.9375;10.0000;4.3372
130;8;0.0000;0.0000;0.0000;0.0000
130;7;0.0000;0.0000;0.0000;0.0000
130;6;3.9063;9.3750;7.5000;4.3375
130;5;0.0000;0.0000;0.0000;0.0000
130;4;0.0000;0.0000;0.0000;0.0000
130;3;3.9063;9.3750;8.5000;4.3375
130;2;0.0000;0.0000;0.0000;0.0000
130;1;0.0000;0.0000;0.0000;0.0000
130;0;3.1250;9.3750;9.0000;4.3371
140;11;0.0000;0.0000;0.0000;0.0000
140;10;0.0000;0.0000;0.0000;0.0000
140;9;2.7344;10.9375;10.0000;4.6708
140;8;0.0000;0.0000;0.0000;0.0000
140;7;0.0000;0.0000;0.0000;0.0000
140;6;3.9063;9.3750;7.5000;4.6711
140;5;0.0000;0.0000;0.0000;0.0000
140;4;0.0000;0.0000;0.0000;0.0000
140;3;3.9063;9.3750;8.5000;4.6712
140;2;0.0000;0.0000;0.0000;0.0000
140;1;0.0000;0.0000;0.0000;0.0000
140;0;3.1250;9.3750;9.0000;4.6707
150;11;0.0000;0.0000;0.0000;0.0000
150;10;0.0000;0.0000;0.0000;0.0000
150;9;2.7344;10.9375;10.0000;5.0044
150;8;0.0000;0.0000;0.0000;0.0000
150;7;0.0000;0.0000;0.0000;0.0000
150;6;3.9063;9.3750;7.5000;5.0048
150;5;0.0000;0.0000;0.0000;0.0000
150;4;0.0000;0.0000;0.0000;0.0000
150;3;3.9063;9.3750;8.5000;5.0048
150;2;0.0000;0.0000;0.0000;0.0000
150;1;0.0000;0.0000;0.0000;0.0000
150;0;3.1250;9.3750;9.0000;5.0043
160;11;0.0000;0.0000;0.0000;0.0000
160;10;0.0000;0.0000;0.0000;0.0000
160;9;2.7344;10.9375;10.0000;5.3381
160;8;0.0000;0.0000;0.0000;0.0000
160;7;0.0000;0.0000;0.0000;0.0000
160;6;3.9063;9.3750;7.5000;5.3384
