# units: hostId; total_energy(Wh)
3072;h_5;5;102.4799
3072;h_4;4;102.4080
3072;h_3;3;102.3630
3072;h_2;2;102.3883
3072;h_1;1;102.3613
3072;h_0;0;102.3617
TOTAL;;;614.3623
3072;h_5;5;102.4799
3072;h_4;4;102.4080
3072;h_3;3;102.3630
3072;h_2;2;102.3883
3072;h_1;1;102.3613
3072;h_0;0;102.3617
TOTAL;;;614.3623
3072;h_5;5;102.4799
3072;h_4;4;102.4080
3072;h_3;3;102.3630
3072;h_2;2;102.3883
3072;h_1;1;102.3613
3072;h_0;0;102.3617
TOTAL;;;614.3623
3072;h_5;5;102.4799
3072;h_4;4;102.4080
3072;h_3;3;102.3630
3072;h_2;2;102.3883
3072;h_1;1;102.3613
3072;h_0;0;102.3617
TOTAL;;;614.3623
3072;h_5;5;102.4799
3072;h_4;4;102.4080
3072;h_3;3;102.3630
3072;h_2;2;102.3883
3072;h_1;1;102.3613
3072;h_0;0;102.3617
TOTAL;;;614.3623
3072;h_5;5;102.4799
3072;h_4;4;102.4080
3072;h_3;3;102.3630
3072;h_2;2;102.3883
3072;h_1;1;102.3613
3072;h_0;0;102.3617
TOTAL;;;614.3623
3072;h_5;5;102.4799
3072;h_4;4;102.4080
3072;h_3;3;102.3630
3072;h_2;2;102.3883
3072;h_1;1;102.3613
3072;h_0;0;102.3617
TOTAL;;;614.3623
3082;h_5;5;102.8137
3082;h_4;4;102.7415
3082;h_3;3;102.6964
3082;h_2;2;102.7218
3082;h_1;1;102.6947
3082;h_0;0;102.6952
TOTAL;;;616.3634
3082;h_5;5;102.8137
3082;h_4;4;102.7415
3082;h_3;3;102.6964
3082;h_2;2;102.7218
3082;h_1;1;102.6947
3082;h_0;0;102.6952
TOTAL;;;616.3634
3082;h_5;5;102.8137
3082;h_4;4;102.7415
3082;h_3;3;102.6964
3082;h_2;2;102.7218
3082;h_1;1;102.6947
3082;h_0;0;102.6952
TOTAL;;;616.3634
3082;h_5;5;102.8137
3082;h_4;4;102.7415
3082;h_3;3;102.6964
3082;h_2;2;102.7218
3082;h_1;1;102.6947
3082;h_0;0;102.6952
TOTAL;;;616.3634
4020;h_5;5;134.1938
4020;h_4;4;134.0996
