# units: time(s); hostId; energy(Wh)
590;0;0.0000
600;5;0.0716
600;4;0.0000
600;3;0.0000
600;2;0.0000
600;1;0.0000
600;0;0.0000
610;5;0.0716
610;4;0.0000
610;3;0.0000
610;2;0.0000
610;1;0.0000
610;0;0.0000
620;5;0.0716
620;4;0.0000
620;3;0.0000
620;2;0.0000
620;1;0.0000
620;0;0.0000
630;5;0.0716
630;4;0.0000
630;3;0.0000
630;2;0.0000
630;1;0.0000
630;0;0.0000
640;5;0.0716
640;4;0.0000
640;3;0.0000
640;2;0.0000
640;1;0.0000
640;0;0.0000
650;5;0.0716
650;4;0.0000
650;3;0.0000
650;2;0.0000
650;1;0.0000
650;0;0.0000
660;5;0.0716
660;4;0.0000
660;3;0.0000
660;2;0.0000
660;1;0.0000
660;0;0.0000
670;5;0.0716
670;4;0.0000
670;3;0.0000
670;2;0.0000
670;1;0.0000
670;0;0.0000
680;5;0.0716
680;4;0.0000
680;3;0.0000
680;2;0.0000
680;1;0.0000
680;0;0.0000
690;5;0.0716
690;4;0.0000
690;3;0.0000
690;2;0.0000
690;1;0.0000
690;0;0.0000
700;5;0.0716
700;4;0.0000
700;3;0.0000
700;2;0.0000
700;1;0.0000
700;0;0.0000
710;5;0.0716
710;4;0.0000
710;3;0.0000
710;2;0.0000
710;1;0.0000
710;0;0.0000
720;5;0.0716
720;4;0.0000
720;3;0.0000
720;2;0.0000
720;1;0.0000
720;0;0.0000
730;5;0.0716
730;4;0.0000
730;3;0.0000
730;2;0.0000
730;1;0.0000
730;0;0.0000
740;5;0.0716
740;4;0.0000
740;3;0.0000
740;2;0.0000
740;1;0.0000
740;0;0.0000
750;5;0.0716
750;4;0.0000
750;3;0.0000
750;2;0.0000
750;1;0.0000
750;0;0.0000
760;5;0.0716
760;4;0.0000
760;3;0.0000
760;2;0.0000
760;1;0.0000
760;0;0.0000
770;5;0.0716
770;4;0.0000
770;3;0.0000
770;2;0.0000
770;1;0.0000
770;0;0.0000
780;5;0.0716
780;4;0.0000
780;3;0.0000
780;2;0.0000
780;1;0.0000
780;0;0.0000
790;5;0.0716
790;4;0.0000
790;3;0.0000
790;2;0.0000
790;1;0.0000
790;0;0.0000
800;5;0.0716
800;4;0.0000
800;3;0.0000
800;2;0.0000
800;1;0.0000
800;0;0.0000
810;5;0.0716
810;4;0.0000
810;3;0.0000
810;2;0.0000
810;1;0.0000
810;0;0.0000
820;5;0.0716
820;4;0.0000
820;3;0.0000
820;2;0.0000
820;1;0.0000
820;0;0.0000
830;5;0.0716
830;4;0.0000
830;3;0.0000
830;2;0.0000
830;1;0.0000
830;0;0.0000
840;5;0.0716
840;4;0.0000
840;3;0.0000
840;2;0.0000
840;1;0.0000
840;0;0.0000
850;5;0.0716
850;4;0.0000
850;3;0.0000
850;2;0.0000
850;1;0.0000
850;0;0.0000
860;5;0.0716
860;4;0.0000
860;3;0.0000
860;2;0.0000
860;1;0.0000
860;0;0.0000
870;5;0.0716
870;4;0.0000
870;3;0.0000
870;2;0.0000
870;1;0.0000
870;0;0.0000
880;5;0.0716
880;4;0.0000
880;3;0.0000
880;2;0.0000
880;1;0.0000
880;0;0.0000
890;5;0.0716
890;4;0.0000
890;3;0.0000
890;2;0.0000
890;1;0.0000
890;0;0.0000
900;5;0.0716
900;4;0.0000
900;3;0.0000
900;2;0.0000
900;1;0.0000
900;0;0.0000
910;5;0.0716
910;4;0.0000
910;3;0.0000
910;2;0.0000
910;1;0.0000
910;0;0.0000
920;5;0.0716
920;4;0.0000
920;3;0.0000
920;2;0.0000
920;1;0.0000
920;0;0.0000
930;5;0.0716
930;4;0.0000
930;3;0.0000
930;2;0.0000
930;1;0.0000
930;0;0.0000
940;5;0.0716
940;4;0.0000
940;3;0.0000
940;2;0.0000
940;1;0.0000
940;0;0.0000
950;5;0.0716
