# units: time(s); hostId; vmIds
0,00;h_11;10
0,00;h_10;10
0,00;h_9;0
0,00;h_8;0
0,00;h_7;0
0,00;h_6;0
0,00;h_5;0
0,00;h_4;0
0,00;h_3;0
0,00;h_2;0
0,00;h_1;0
0,00;h_0;0
320;10;1|14|15|2|8|19|4|6|18|5
320;9;
320;8;
320;7;
320;6;
320;5;
320;4;
320;3;
320;2;
320;1;
320;0;
330;11;10|9|16|0|11|3|12|13|17|7
330;10;1|14|15|2|8|19|4|6|18|5
330;9;
330;8;
330;7;
330;6;
330;5;
330;4;
330;3;
330;2;
330;1;
330;0;
340;11;10|9|16|0|11|3|12|13|17|7
340;10;1|14|15|2|8|19|4|6|18|5
340;9;
340;8;
340;7;
340;6;
340;5;
340;4;
340;3;
340;2;
340;1;
340;0;
350;11;10|9|16|0|11|3|12|13|17|7
350;10;1|14|15|2|8|19|4|6|18|5
350;9;
350;8;
350;7;
350;6;
350;5;
350;4;
350;3;
350;2;
350;1;
350;0;
360;11;10|9|16|0|11|3|12|13|17|7
360;10;1|14|15|2|8|19|4|6|18|5
360;9;
360;8;
360;7;
360;6;
360;5;
360;4;
360;3;
360;2;
360;1;
360;0;
370;11;10|9|16|0|11|3|12|13|17|7
370;10;1|14|15|2|8|19|4|6|18|5
370;9;
370;8;
370;7;
370;6;
370;5;
370;4;
370;3;
370;2;
370;1;
370;0;
380;11;10|9|16|0|11|3|12|13|17|7
380;10;1|14|15|2|8|19|4|6|18|5
380;9;
380;8;
380;7;
380;6;
380;5;
380;4;
380;3;
380;2;
380;1;
380;0;
390;11;10|9|16|0|11|3|12|13|17|7
390;10;1|14|15|2|8|19|4|6|18|5
390;9;
390;8;
390;7;
390;6;
390;5;
390;4;
390;3;
390;2;
390;1;
390;0;
400;11;10|9|16|0|11|3|12|13|17|7
400;10;1|14|15|2|8|19|4|6|18|5
400;9;
400;8;
400;7;
400;6;
400;5;
400;4;
400;3;
400;2;
400;1;
400;0;
410;11;10|9|16|0|11|3|12|13|17|7
410;10;1|14|15|2|8|19|4|6|18|5
410;9;
410;8;
410;7;
410;6;
410;5;
410;4;
410;3;
410;2;
410;1;
410;0;
420;11;10|9|16|0|11|3|12|13|17|7
420;10;1|14|15|2|8|19|4|6|18|5
420;9;
420;8;
420;7;
420;6;
420;5;
420;4;
420;3;
420;2;
420;1;
420;0;
430;11;10|9|16|0|11|3|12|13|17|7
430;10;1|14|15|2|8|19|4|6|18|5
430;9;
430;8;
430;7;
430;6;
430;5;
430;4;
430;3;
430;2;
430;1;
430;0;
440;11;10|9|16|0|11|3|12|13|17|7
440;10;1|14|15|2|8|19|4|6|18|5
440;9;
440;8;
440;7;
440;6;
440;5;
440;4;
440;3;
440;2;
440;1;
440;0;
450;11;10|9|16|0|11|3|12|13|17|7
450;10;1|14|15|2|8|19|4|6|18|5
450;9;
450;8;
450;7;
450;6;
450;5;
450;4;
450;3;
450;2;
450;1;
450;0;
460;11;10|9|16|0|11|3|12|13|17|7
460;10;1|14|15|2|8|19|4|6|18|5
460;9;
460;8;
460;7;
460;6;
460;5;
460;4;
460;3;
460;2;
460;1;
460;0;
470;11;10|9|16|0|11|3|12|13|17|7
470;10;1|14|15|2|8|19|4|6|18|5
470;9;
470;8;
470;7;
470;6;
470;5;
470;4;
470;3;
470;2;
470;1;
470;0;
480;11;10|9|16|0|11|3|12|13|17|7
480;10;1|14|15|2|8|19|4|6|18|5
480;9;
480;8;
480;7;
480;6;
480;5;
480;4;
480;3;
480;2;
480;1;
480;0;
490;11;10|9|16|0|11|3|12|13|17|7
490;10;1|14|15|2|8|19|4|6|18|5
490;9;
490;8;
490;7;
490;6;
490;5;
490;4;
490;3;
490;2;
490;1;
490;0;
500;11;10|9|16|0|11|3|12|13|17|7
500;10;1|14|15|2|8|19|4|6|18|5
500;9;
500;8;
500;7;
500;6;
500;5;
500;4;
500;3;
500;2;
500;1;
500;0;
510;11;10|9|16|0|11|3|12|13|17|7
510;10;1|14|15|2|8|19|4|6|18|5
510;9;
510;8;
510;7;
510;6;
510;5;
510;4;
510;3;
510;2;
510;1;
510;0;
520;11;10|9|16|0|11|3|12|13|17|7
520;10;1|14|15|2|8|19|4|6|18|5
520;9;
520;8;
520;7;
520;6;
520;5;
520;4;
520;3;
520;2;
520;1;
520;0;
530;11;10|9|16|0|11|3|12|13|17|7
530;10;1|14|15|2|8|19|4|6|18|5
530;9;
530;8;
530;7;
530;6;
530;5;
530;4;
530;3;
530;2;
530;1;
530;0;
540;11;10|9|16|0|11|3|12|13|17|7
540;10;1|14|15|2|8|19|4|6|18|5
540;9;
540;8;
540;7;
540;6;
540;5;
540;4;
540;3;
540;2;
540;1;
540;0;
550;11;10|9|16|0|11|3|12|13|17|7
550;10;1|14|15|2|8|19|4|6|18|5
550;9;
550;8;
550;7;
550;6;
550;5;
550;4;
550;3;
550;2;
550;1;
550;0;
560;11;10|9|16|0|11|3|12|13|17|7
560;10;1|14|15|2|8|19|4|6|18|5
560;9;
560;8;
560;7;
560;6;
560;5;
560;4;
560;3;
560;2;
560;1;
560;0;
570;11;10|9|16|0|11|3|12|13|17|7
570;10;1|14|15|2|8|19|4|6|18|5
570;9;
570;8;
570;7;
570;6;
570;5;
570;4;
570;3;
570;2;
570;1;
570;0;
580;11;10|9|16|0|11|3|12|13|17|7
580;10;1|14|15|2|8|19|4|6|18|5
580;9;
580;8;
580;7;
580;6;
580;5;
580;4;
580;3;
580;2;
580;1;
580;0;
590;11;10|9|16|0|11|3|12|13|17|7
590;10;1|14|15|2|8|19|4|6|18|5
590;9;
590;8;
590;7;
590;6;
590;5;
590;4;
590;3;
590;2;
590;1;
590;0;
600;11;10|9|16|0|11|3|12|13|17|7
600;10;1|14|15|2|8|19|4|6|18|5
600;9;
600;8;
600;7;
600;6;
600;5;
600;4;
600;3;
600;2;
600;1;
600;0;
610;11;10|9|16|0|11|3|12|13|17|7
610;10;1|14|15|2|8|19|4|6|18|5
610;9;
610;8;
610;7;
610;6;
610;5;
610;4;
610;3;
610;2;
610;1;
610;0;
620;11;10|9|16|0|11|3|12|13|17|7
620;10;1|14|15|2|8|19|4|6|18|5
620;9;
620;8;
620;7;
620;6;
620;5;
620;4;
620;3;
620;2;
620;1;
620;0;
630;11;10|9|16|0|11|3|12|13|17|7
630;10;1|14|15|2|8|19|4|6|18|5
630;9;
630;8;
630;7;
630;6;
630;5;
630;4;
630;3;
630;2;
630;1;
630;0;
640;11;10|9|16|0|11|3|12|13|17|7
640;10;1|14|15|2|8|19|4|6|18|5
640;9;
640;8;
640;7;
640;6;
640;5;
640;4;
640;3;
640;2;
640;1;
640;0;
650;11;10|9|16|0|11|3|12|13|17|7
650;10;1|14|15|2|8|19|4|6|18|5
650;9;
650;8;
650;7;
650;6;
650;5;
650;4;
650;3;
650;2;
650;1;
650;0;
660;11;10|9|16|0|11|3|12|13|17|7
660;10;1|14|15|2|8|19|4|6|18|5
660;9;
660;8;
660;7;
660;6;
660;5;
660;4;
660;3;
660;2;
660;1;
660;0;
670;11;10|9|16|0|11|3|12|13|17|7
670;10;1|14|15|2|8|19|4|6|18|5
670;9;
670;8;
670;7;
670;6;
670;5;
670;4;
670;3;
670;2;
670;1;
670;0;
680;11;10|9|16|0|11|3|12|13|17|7
680;10;1|14|15|2|8|19|4|6|18|5
680;9;
680;8;
680;7;
680;6;
680;5;
680;4;
680;3;
680;2;
680;1;
680;0;
690;11;10|9|16|0|11|3|12|13|17|7
690;10;1|14|15|2|8|19|4|6|18|5
690;9;
690;8;
690;7;
690;6;
690;5;
690;4;
690;3;
690;2;
690;1;
690;0;
700;11;10|9|16|0|11|3|12|13|17|7
700;10;1|14|15|2|8|19|4|6|18|5
700;9;
700;8;
700;7;
700;6;
700;5;
700;4;
700;3;
700;2;
700;1;
700;0;
710;11;10|9|16|0|11|3|12|13|17|7
710;10;1|14|15|2|8|19|4|6|18|5
710;9;
710;8;
710;7;
710;6;
710;5;
710;4;
710;3;
710;2;
710;1;
710;0;
720;11;10|9|16|0|11|3|12|13|17|7
720;10;1|14|15|2|8|19|4|6|18|5
720;9;
720;8;
720;7;
720;6;
720;5;
720;4;
720;3;
720;2;
720;1;
720;0;
730;11;10|9|16|0|11|3|12|13|17|7
730;10;1|14|15|2|8|19|4|6|18|5
730;9;
730;8;
730;7;
730;6;
730;5;
730;4;
730;3;
730;2;
730;1;
730;0;
740;11;10|9|16|0|11|3|12|13|17|7
740;10;1|14|15|2|8|19|4|6|18|5
740;9;
740;8;
740;7;
740;6;
740;5;
740;4;
740;3;
740;2;
740;1;
740;0;
750;11;10|9|16|0|11|3|12|13|17|7
750;10;1|14|15|2|8|19|4|6|18|5
750;9;
750;8;
750;7;
750;6;
750;5;
750;4;
750;3;
750;2;
750;1;
750;0;
760;11;10|9|16|0|11|3|12|13|17|7
760;10;1|14|15|2|8|19|4|6|18|5
760;9;
760;8;
760;7;
760;6;
760;5;
760;4;
760;3;
760;2;
760;1;
760;0;
770;11;10|9|16|0|11|3|12|13|17|7
770;10;1|14|15|2|8|19|4|6|18|5
770;9;
770;8;
770;7;
770;6;
770;5;
770;4;
770;3;
770;2;
770;1;
770;0;
780;11;10|9|16|0|11|3|12|13|17|7
780;10;1|14|15|2|8|19|4|6|18|5
780;9;
780;8;
780;7;
780;6;
780;5;
780;4;
780;3;
780;2;
780;1;
780;0;
790;11;10|9|16|0|11|3|12|13|17|7
790;10;1|14|15|2|8|19|4|6|18|5
790;9;
790;8;
790;7;
790;6;
790;5;
790;4;
790;3;
790;2;
790;1;
790;0;
800;11;10|9|16|0|11|3|12|13|17|7
800;10;1|14|15|2|8|19|4|6|18|5
800;9;
800;8;
800;7;
800;6;
800;5;
800;4;
800;3;
800;2;
800;1;
800;0;
810;11;10|9|16|0|11|3|12|13|17|7
810;10;1|14|15|2|8|19|4|6|18|5
810;9;
810;8;
810;7;
810;6;
810;5;
810;4;
810;3;
810;2;
810;1;
810;0;
820;11;10|9|16|0|11|3|12|13|17|7
820;10;1|14|15|2|8|19|4|6|18|5
820;9;
820;8;
820;7;
820;6;
820;5;
820;4;
820;3;
820;2;
820;1;
820;0;
830;11;10|9|16|0|11|3|12|13|17|7
830;10;1|14|15|2|8|19|4|6|18|5
830;9;
830;8;
830;7;
830;6;
830;5;
830;4;
830;3;
830;2;
830;1;
830;0;
840;11;10|9|16|0|11|3|12|13|17|7
840;10;1|14|15|2|8|19|4|6|18|5
840;9;
840;8;
840;7;
840;6;
840;5;
840;4;
840;3;
840;2;
840;1;
840;0;
850;11;10|9|16|0|11|3|12|13|17|7
850;10;1|14|15|2|8|19|4|6|18|5
850;9;
850;8;
850;7;
850;6;
850;5;
850;4;
850;3;
850;2;
850;1;
850;0;
860;11;10|9|16|0|11|3|12|13|17|7
860;10;1|14|15|2|8|19|4|6|18|5
860;9;
860;8;
860;7;
860;6;
860;5;
860;4;
860;3;
860;2;
860;1;
860;0;
870;11;10|9|16|0|11|3|12|13|17|7
870;10;1|14|15|2|8|19|4|6|18|5
870;9;
870;8;
870;7;
870;6;
870;5;
870;4;
870;3;
870;2;
870;1;
870;0;
880;11;10|9|16|0|11|3|12|13|17|7
880;10;1|14|15|2|8|19|4|6|18|5
880;9;
880;8;
880;7;
880;6;
880;5;
880;4;
880;3;
880;2;
880;1;
880;0;
890;11;10|9|16|0|11|3|12|13|17|7
890;10;1|14|15|2|8|19|4|6|18|5
890;9;
890;8;
890;7;
890;6;
890;5;
890;4;
890;3;
890;2;
890;1;
890;0;
900;11;10|9|16|0|11|3|12|13|17|7
900;10;1|14|15|2|8|19|4|6|18|5
900;9;
900;8;
900;7;
900;6;
900;5;
900;4;
900;3;
900;2;
900;1;
900;0;
910;11;10|9|16|0|11|3|12|13|17|7
910;10;1|14|15|2|8|19|4|6|18|5
910;9;
910;8;
910;7;
910;6;
910;5;
910;4;
910;3;
910;2;
910;1;
910;0;
920;11;10|9|16|0|11|3|12|13|17|7
920;10;1|14|15|2|8|19|4|6|18|5
920;9;
920;8;
920;7;
920;6;
920;5;
920;4;
920;3;
920;2;
920;1;
920;0;
930;11;10|9|16|0|11|3|12|13|17|7
930;10;1|14|15|2|8|19|4|6|18|5
930;9;
930;8;
930;7;
930;6;
930;5;
930;4;
930;3;
930;2;
930;1;
930;0;
940;11;10|9|16|0|11|3|12|13|17|7
940;10;1|14|15|2|8|19|4|6|18|5
940;9;
940;8;
940;7;
940;6;
940;5;
940;4;
940;3;
940;2;
940;1;
940;0;
950;11;10|9|16|0|11|3|12|13|17|7
950;10;1|14|15|2|8|19|4|6|18|5
950;9;
950;8;
950;7;
950;6;
950;5;
950;4;
950;3;
950;2;
950;1;
950;0;
960;11;10|9|16|0|11|3|12|13|17|7
960;10;1|14|15|2|8|19|4|6|18|5
960;9;
960;8;
960;7;
960;6;
960;5;
960;4;
960;3;
960;2;
960;1;
960;0;
970;11;10|9|16|0|11|3|12|13|17|7
970;10;1|14|15|2|8|19|4|6|18|5
970;9;
970;8;
970;7;
970;6;
970;5;
970;4;
970;3;
970;2;
970;1;
970;0;
980;11;10|9|16|0|11|3|12|13|17|7
980;10;1|14|15|2|8|19|4|6|18|5
980;9;
980;8;
980;7;
980;6;
980;5;
980;4;
980;3;
980;2;
980;1;
980;0;
990;11;10|9|16|0|11|3|12|13|17|7
990;10;1|14|15|2|8|19|4|6|18|5
990;9;
990;8;
990;7;
990;6;
990;5;
990;4;
990;3;
990;2;
990;1;
990;0;
1000;11;10|9|16|0|11|3|12|13|17|7
1000;10;1|14|15|2|8|19|4|6|18|5
1000;9;
1000;8;
1000;7;
1000;6;
1000;5;
1000;4;
1000;3;
1000;2;
1000;1;
1000;0;
1010;11;10|9|16|0|11|3|12|13|17|7
1010;10;1|14|15|2|8|19|4|6|18|5
1010;9;
1010;8;
1010;7;
1010;6;
1010;5;
1010;4;
1010;3;
1010;2;
1010;1;
1010;0;
1020;11;10|9|16|0|11|3|12|13|17|7
1020;10;1|14|15|2|8|19|4|6|18|5
1020;9;
1020;8;
1020;7;
1020;6;
1020;5;
1020;4;
1020;3;
1020;2;
1020;1;
1020;0;
1030;11;10|9|16|0|11|3|12|13|17|7
1030;10;1|14|15|2|8|19|4|6|18|5
1030;9;
1030;8;
1030;7;
1030;6;
1030;5;
1030;4;
1030;3;
1030;2;
1030;1;
1030;0;
1040;11;10|9|16|0|11|3|12|13|17|7
1040;10;1|14|15|2|8|19|4|6|18|5
1040;9;
1040;8;
1040;7;
1040;6;
1040;5;
1040;4;
1040;3;
1040;2;
1040;1;
1040;0;
1050;11;10|9|16|0|11|3|12|13|17|7
1050;10;1|14|15|2|8|19|4|6|18|5
1050;9;
1050;8;
1050;7;
1050;6;
1050;5;
1050;4;
1050;3;
1050;2;
1050;1;
1050;0;
1060;11;10|9|16|0|11|3|12|13|17|7
1060;10;1|14|15|2|8|19|4|6|18|5
1060;9;
1060;8;
1060;7;
1060;6;
1060;5;
1060;4;
1060;3;
1060;2;
1060;1;
1060;0;
1070;11;10|9|16|0|11|3|12|13|17|7
1070;10;1|14|15|2|8|19|4|6|18|5
1070;9;
1070;8;
1070;7;
1070;6;
1070;5;
1070;4;
1070;3;
1070;2;
1070;1;
1070;0;
1080;11;10|9|16|0|11|3|12|13|17|7
1080;10;1|14|15|2|8|19|4|6|18|5
1080;9;
1080;8;
1080;7;
1080;6;
1080;5;
1080;4;
1080;3;
1080;2;
1080;1;
1080;0;
1090;11;10|9|16|0|11|3|12|13|17|7
1090;10;1|14|15|2|8|19|4|6|18|5
1090;9;
1090;8;
1090;7;
1090;6;
1090;5;
1090;4;
1090;3;
1090;2;
1090;1;
1090;0;
1100;11;10|9|16|0|11|3|12|13|17|7
1100;10;1|14|15|2|8|19|4|6|18|5
1100;9;
1100;8;
1100;7;
1100;6;
1100;5;
1100;4;
1100;3;
1100;2;
1100;1;
1100;0;
1110;11;10|9|16|0|11|3|12|13|17|7
1110;10;1|14|15|2|8|19|4|6|18|5
1110;9;
1110;8;
1110;7;
1110;6;
1110;5;
1110;4;
1110;3;
1110;2;
1110;1;
1110;0;
1120;11;10|9|16|0|11|3|12|13|17|7
1120;10;1|14|15|2|8|19|4|6|18|5
1120;9;
1120;8;
1120;7;
1120;6;
1120;5;
1120;4;
1120;3;
1120;2;
1120;1;
1120;0;
1130;11;10|9|16|0|11|3|12|13|17|7
1130;10;1|14|15|2|8|19|4|6|18|5
1130;9;
1130;8;
1130;7;
1130;6;
1130;5;
1130;4;
1130;3;
1130;2;
1130;1;
1130;0;
1140;11;10|9|16|0|11|3|12|13|17|7
1140;10;1|14|15|2|8|19|4|6|18|5
1140;9;
1140;8;
1140;7;
1140;6;
1140;5;
1140;4;
1140;3;
1140;2;
1140;1;
1140;0;
1150;11;10|9|16|0|11|3|12|13|17|7
1150;10;1|14|15|2|8|19|4|6|18|5
1150;9;
1150;8;
1150;7;
1150;6;
1150;5;
1150;4;
1150;3;
1150;2;
1150;1;
1150;0;
1160;11;10|9|16|0|11|3|12|13|17|7
1160;10;1|14|15|2|8|19|4|6|18|5
1160;9;
1160;8;
1160;7;
1160;6;
1160;5;
1160;4;
1160;3;
1160;2;
1160;1;
1160;0;
1170;11;10|9|16|0|11|3|12|13|17|7
1170;10;1|14|15|2|8|19|4|6|18|5
1170;9;
1170;8;
1170;7;
1170;6;
1170;5;
1170;4;
1170;3;
1170;2;
1170;1;
1170;0;
1180;11;10|9|16|0|11|3|12|13|17|7
1180;10;1|14|15|2|8|19|4|6|18|5
1180;9;
1180;8;
1180;7;
1180;6;
1180;5;
1180;4;
1180;3;
1180;2;
1180;1;
1180;0;
1190;11;10|9|16|0|11|3|12|13|17|7
1190;10;1|14|15|2|8|19|4|6|18|5
1190;9;
1190;8;
1190;7;
1190;6;
1190;5;
1190;4;
1190;3;
1190;2;
1190;1;
1190;0;
1200;11;10|9|16|0|11|3|12|13|17|7
1200;10;1|14|15|2|8|19|4|6|18|5
1200;9;
1200;8;
1200;7;
1200;6;
1200;5;
1200;4;
1200;3;
1200;2;
1200;1;
1200;0;
1210;11;10|9|16|0|11|3|12|13|17|7
1210;10;1|14|15|2|8|19|4|6|18|5
1210;9;
1210;8;
1210;7;
1210;6;
1210;5;
1210;4;
1210;3;
1210;2;
1210;1;
1210;0;
1220;11;10|9|16|0|11|3|12|13|17|7
1220;10;1|14|15|2|8|19|4|6|18|5
1220;9;
1220;8;
1220;7;
1220;6;
1220;5;
1220;4;
1220;3;
1220;2;
1220;1;
1220;0;
1230;11;10|9|16|0|11|3|12|13|17|7
1230;10;1|14|15|2|8|19|4|6|18|5
1230;9;
1230;8;
1230;7;
1230;6;
1230;5;
1230;4;
1230;3;
1230;2;
1230;1;
1230;0;
1240;11;10|9|16|0|11|3|12|13|17|7
1240;10;1|14|15|2|8|19|4|6|18|5
1240;9;
1240;8;
1240;7;
1240;6;
1240;5;
1240;4;
1240;3;
1240;2;
1240;1;
1240;0;
1250;11;10|9|16|0|11|3|12|13|17|7
1250;10;1|14|15|2|8|19|4|6|18|5
1250;9;
1250;8;
1250;7;
1250;6;
1250;5;
1250;4;
1250;3;
1250;2;
1250;1;
1250;0;
1260;11;10|9|16|0|11|3|12|13|17|7
1260;10;1|14|15|2|8|19|4|6|18|5
1260;9;
1260;8;
1260;7;
1260;6;
1260;5;
1260;4;
1260;3;
1260;2;
1260;1;
1260;0;
1270;11;10|9|16|0|11|3|12|13|17|7
1270;10;1|14|15|2|8|19|4|6|18|5
1270;9;
1270;8;
1270;7;
1270;6;
1270;5;
1270;4;
1270;3;
1270;2;
1270;1;
1270;0;
1280;11;10|9|16|0|11|3|12|13|17|7
1280;10;1|14|15|2|8|19|4|6|18|5
1280;9;
1280;8;
1280;7;
1280;6;
1280;5;
1280;4;
1280;3;
1280;2;
1280;1;
1280;0;
1290;11;10|9|16|0|11|3|12|13|17|7
1290;10;1|14|15|2|8|19|4|6|18|5
1290;9;
1290;8;
1290;7;
1290;6;
1290;5;
1290;4;
1290;3;
1290;2;
1290;1;
1290;0;
1300;11;10|9|16|0|11|3|12|13|17|7
1300;10;1|14|15|2|8|19|4|6|18|5
1300;9;
1300;8;
1300;7;
1300;6;
1300;5;
1300;4;
1300;3;
1300;2;
1300;1;
1300;0;
1310;11;10|9|16|0|11|3|12|13|17|7
1310;10;1|14|15|2|8|19|4|6|18|5
1310;9;
1310;8;
1310;7;
1310;6;
1310;5;
1310;4;
1310;3;
1310;2;
1310;1;
1310;0;
1320;11;10|9|16|0|11|3|12|13|17|7
1320;10;1|14|15|2|8|19|4|6|18|5
