# units: hostId; total_energy(Wh)
3410;h_11;11;114.3210
3410;h_10;10;113.6763
3410;h_9;9;0.0000
3410;h_8;8;0.0000
3410;h_7;7;0.0000
3410;h_6;6;0.0000
3410;h_5;5;0.0000
3410;h_4;4;0.0000
3410;h_3;3;0.0000
3410;h_2;2;0.0000
3410;h_1;1;0.0000
3410;h_0;0;0.0000
TOTAL;;;227.9972
3410;h_11;11;114.3210
3410;h_10;10;113.6763
3410;h_9;9;0.0000
3410;h_8;8;0.0000
3410;h_7;7;0.0000
3410;h_6;6;0.0000
3410;h_5;5;0.0000
3410;h_4;4;0.0000
3410;h_3;3;0.0000
3410;h_2;2;0.0000
3410;h_1;1;0.0000
3410;h_0;0;0.0000
TOTAL;;;227.9972
3410;h_11;11;114.3210
3410;h_10;10;113.6763
3410;h_9;9;0.0000
3410;h_8;8;0.0000
3410;h_7;7;0.0000
3410;h_6;6;0.0000
3410;h_5;5;0.0000
3410;h_4;4;0.0000
3410;h_3;3;0.0000
3410;h_2;2;0.0000
3410;h_1;1;0.0000
3410;h_0;0;0.0000
TOTAL;;;227.9972
3410;h_11;11;114.3210
3410;h_10;10;113.6763
3410;h_9;9;0.0000
3410;h_8;8;0.0000
3410;h_7;7;0.0000
3410;h_6;6;0.0000
3410;h_5;5;0.0000
3410;h_4;4;0.0000
3410;h_3;3;0.0000
3410;h_2;2;0.0000
3410;h_1;1;0.0000
3410;h_0;0;0.0000
TOTAL;;;227.9972
3410;h_11;11;114.3210
3410;h_10;10;113.6763
3410;h_9;9;0.0000
3410;h_8;8;0.0000
3410;h_7;7;0.0000
3410;h_6;6;0.0000
3410;h_5;5;0.0000
3410;h_4;4;0.0000
3410;h_3;3;0.0000
3410;h_2;2;0.0000
3410;h_1;1;0.0000
3410;h_0;0;0.0000
TOTAL;;;227.9972
4820;h_11;11;162.0710
4820;h_10;10;161.1571
4820;h_9;9;0.0000
4820;h_8;8;0.0000
4820;h_7;7;0.0000
4820;h_6;6;0.0000
4820;h_5;5;0.0000
4820;h_4;4;0.0000
4820;h_3;3;0.0000
4820;h_2;2;0.0000
4820;h_1;1;0.0000
4820;h_0;0;0.0000
TOTAL;;;323.2281
4820;h_11;11;162.0710
4820;h_10;10;161.1571
4820;h_9;9;0.0000
4820;h_8;8;0.0000
4820;h_7;7;0.0000
4820;h_6;6;0.0000
4820;h_5;5;0.0000
4820;h_4;4;0.0000
4820;h_3;3;0.0000
4820;h_2;2;0.0000
4820;h_1;1;0.0000
4820;h_0;0;0.0000
TOTAL;;;323.2281
4820;h_11;11;162.0710
4820;h_10;10;161.1571
4820;h_9;9;0.0000
4820;h_8;8;0.0000
4820;h_7;7;0.0000
4820;h_6;6;0.0000
4820;h_5;5;0.0000
4820;h_4;4;0.0000
4820;h_3;3;0.0000
4820;h_2;2;0.0000
4820;h_1;1;0.0000
4820;h_0;0;0.0000
TOTAL;;;323.2281
4820;h_11;11;162.0710
4820;h_10;10;161.1571
4820;h_9;9;0.0000
4820;h_8;8;0.0000
4820;h_7;7;0.0000
4820;h_6;6;0.0000
4820;h_5;5;0.0000
4820;h_4;4;0.0000
4820;h_3;3;0.0000
4820;h_2;2;0.0000
4820;h_1;1;0.0000
4820;h_0;0;0.0000
TOTAL;;;323.2281
4821;h_11;11;162.0710
4821;h_10;10;161.1571
4821;h_9;9;0.0000
4821;h_8;8;0.0000
4821;h_7;7;0.0000
4821;h_6;6;0.0000
4821;h_5;5;0.0000
4821;h_4;4;0.0000
4821;h_3;3;0.0000
4821;h_2;2;0.0000
4821;h_1;1;0.0000
4821;h_0;0;0.0000
TOTAL;;;323.2281
4821;h_11;11;162.0710
4821;h_10;10;161.1571
4821;h_9;9;0.0000
4821;h_8;8;0.0000
4821;h_7;7;0.0000
4821;h_6;6;0.0000
4821;h_5;5;0.0000
4821;h_4;4;0.0000
4821;h_3;3;0.0000
4821;h_2;2;0.0000
4821;h_1;1;0.0000
4821;h_0;0;0.0000
TOTAL;;;323.2281
4821;h_11;11;162.0710
4821;h_10;10;161.1571
4821;h_9;9;0.0000
4821;h_8;8;0.0000
4821;h_7;7;0.0000
4821;h_6;6;0.0000
4821;h_5;5;0.0000
4821;h_4;4;0.0000
4821;h_3;3;0.0000
4821;h_2;2;0.0000
4821;h_1;1;0.0000
4821;h_0;0;0.0000
TOTAL;;;323.2281
4821;h_11;11;162.0710
4821;h_10;10;161.1571
4821;h_9;9;0.0000
4821;h_8;8;0.0000
4821;h_7;7;0.0000
4821;h_6;6;0.0000
4821;h_5;5;0.0000
4821;h_4;4;0.0000
4821;h_3;3;0.0000
4821;h_2;2;0.0000
4821;h_1;1;0.0000
4821;h_0;0;0.0000
TOTAL;;;323.2281
4851;h_11;11;163.1039
4851;h_10;10;162.1842
4851;h_9;9;0.0000
4851;h_8;8;0.0000
4851;h_7;7;0.0000
4851;h_6;6;0.0000
4851;h_5;5;0.0000
4851;h_4;4;0.0000
4851;h_3;3;0.0000
4851;h_2;2;0.0000
4851;h_1;1;0.0000
4851;h_0;0;0.0000
TOTAL;;;325.2881
4851;h_11;11;163.1039
4851;h_10;10;162.1842
4851;h_9;9;0.0000
4851;h_8;8;0.0000
4851;h_7;7;0.0000
4851;h_6;6;0.0000
4851;h_5;5;0.0000
4851;h_4;4;0.0000
4851;h_3;3;0.0000
4851;h_2;2;0.0000
4851;h_1;1;0.0000
4851;h_0;0;0.0000
TOTAL;;;325.2881
4851;h_11;11;163.1039
4851;h_10;10;162.1842
4851;h_9;9;0.0000
4851;h_8;8;0.0000
4851;h_7;7;0.0000
4851;h_6;6;0.0000
4851;h_5;5;0.0000
4851;h_4;4;0.0000
4851;h_3;3;0.0000
4851;h_2;2;0.0000
4851;h_1;1;0.0000
4851;h_0;0;0.0000
TOTAL;;;325.2881
4851;h_11;11;163.1039
4851;h_10;10;162.1842
4851;h_9;9;0.0000
4851;h_8;8;0.0000
4851;h_7;7;0.0000
4851;h_6;6;0.0000
4851;h_5;5;0.0000
4851;h_4;4;0.0000
4851;h_3;3;0.0000
4851;h_2;2;0.0000
4851;h_1;1;0.0000
4851;h_0;0;0.0000
TOTAL;;;325.2881
4855;h_11;11;163.1039
4855;h_10;10;162.1842
4855;h_9;9;0.0000
4855;h_8;8;0.0000
4855;h_7;7;0.0000
4855;h_6;6;0.0000
4855;h_5;5;0.0000
4855;h_4;4;0.0000
4855;h_3;3;0.0000
4855;h_2;2;0.0000
4855;h_1;1;0.0000
4855;h_0;0;0.0000
TOTAL;;;325.2881
4855;h_11;11;163.1039
4855;h_10;10;162.1842
4855;h_9;9;0.0000
4855;h_8;8;0.0000
4855;h_7;7;0.0000
4855;h_6;6;0.0000
4855;h_5;5;0.0000
4855;h_4;4;0.0000
4855;h_3;3;0.0000
4855;h_2;2;0.0000
4855;h_1;1;0.0000
4855;h_0;0;0.0000
TOTAL;;;325.2881
4855;h_11;11;163.1039
4855;h_10;10;162.1842
4855;h_9;9;0.0000
4855;h_8;8;0.0000
4855;h_7;7;0.0000
4855;h_6;6;0.0000
4855;h_5;5;0.0000
4855;h_4;4;0.0000
4855;h_3;3;0.0000
4855;h_2;2;0.0000
4855;h_1;1;0.0000
4855;h_0;0;0.0000
TOTAL;;;325.2881
4855;h_11;11;163.1039
4855;h_10;10;162.1842
4855;h_9;9;0.0000
4855;h_8;8;0.0000
4855;h_7;7;0.0000
4855;h_6;6;0.0000
4855;h_5;5;0.0000
4855;h_4;4;0.0000
4855;h_3;3;0.0000
4855;h_2;2;0.0000
4855;h_1;1;0.0000
4855;h_0;0;0.0000
TOTAL;;;325.2881
4857;h_11;11;163.1039
4857;h_10;10;162.1842
4857;h_9;9;0.0000
4857;h_8;8;0.0000
4857;h_7;7;0.0000
4857;h_6;6;0.0000
4857;h_5;5;0.0000
4857;h_4;4;0.0000
4857;h_3;3;0.0000
4857;h_2;2;0.0000
4857;h_1;1;0.0000
4857;h_0;0;0.0000
TOTAL;;;325.2881
4857;h_11;11;163.1039
4857;h_10;10;162.1842
4857;h_9;9;0.0000
4857;h_8;8;0.0000
4857;h_7;7;0.0000
4857;h_6;6;0.0000
4857;h_5;5;0.0000
4857;h_4;4;0.0000
4857;h_3;3;0.0000
4857;h_2;2;0.0000
4857;h_1;1;0.0000
4857;h_0;0;0.0000
TOTAL;;;325.2881
4857;h_11;11;163.1039
4857;h_10;10;162.1842
4857;h_9;9;0.0000
4857;h_8;8;0.0000
4857;h_7;7;0.0000
4857;h_6;6;0.0000
4857;h_5;5;0.0000
4857;h_4;4;0.0000
4857;h_3;3;0.0000
4857;h_2;2;0.0000
4857;h_1;1;0.0000
4857;h_0;0;0.0000
TOTAL;;;325.2881
4857;h_11;11;163.1039
4857;h_10;10;162.1842
4857;h_9;9;0.0000
4857;h_8;8;0.0000
4857;h_7;7;0.0000
4857;h_6;6;0.0000
4857;h_5;5;0.0000
4857;h_4;4;0.0000
4857;h_3;3;0.0000
4857;h_2;2;0.0000
4857;h_1;1;0.0000
4857;h_0;0;0.0000
TOTAL;;;325.2881
4880;h_11;11;164.0965
4880;h_10;10;163.1711
4880;h_9;9;0.0000
4880;h_8;8;0.0000
4880;h_7;7;0.0000
4880;h_6;6;0.0000
4880;h_5;5;0.0000
4880;h_4;4;0.0000
4880;h_3;3;0.0000
4880;h_2;2;0.0000
4880;h_1;1;0.0000
4880;h_0;0;0.0000
TOTAL;;;327.2676
4880;h_11;11;164.0965
4880;h_10;10;163.1711
4880;h_9;9;0.0000
4880;h_8;8;0.0000
4880;h_7;7;0.0000
4880;h_6;6;0.0000
4880;h_5;5;0.0000
4880;h_4;4;0.0000
4880;h_3;3;0.0000
4880;h_2;2;0.0000
4880;h_1;1;0.0000
4880;h_0;0;0.0000
TOTAL;;;327.2676
4880;h_11;11;164.0965
4880;h_10;10;163.1711
4880;h_9;9;0.0000
4880;h_8;8;0.0000
4880;h_7;7;0.0000
4880;h_6;6;0.0000
4880;h_5;5;0.0000
4880;h_4;4;0.0000
4880;h_3;3;0.0000
4880;h_2;2;0.0000
4880;h_1;1;0.0000
4880;h_0;0;0.0000
TOTAL;;;327.2676
4880;h_11;11;164.0965
4880;h_10;10;163.1711
4880;h_9;9;0.0000
4880;h_8;8;0.0000
4880;h_7;7;0.0000
4880;h_6;6;0.0000
4880;h_5;5;0.0000
4880;h_4;4;0.0000
4880;h_3;3;0.0000
4880;h_2;2;0.0000
4880;h_1;1;0.0000
4880;h_0;0;0.0000
TOTAL;;;327.2676
4911;h_11;11;165.1213
4911;h_10;10;164.1902
4911;h_9;9;0.0000
4911;h_8;8;0.0000
4911;h_7;7;0.0000
4911;h_6;6;0.0000
4911;h_5;5;0.0000
4911;h_4;4;0.0000
4911;h_3;3;0.0000
4911;h_2;2;0.0000
4911;h_1;1;0.0000
4911;h_0;0;0.0000
TOTAL;;;329.3115
4911;h_11;11;165.1213
4911;h_10;10;164.1902
4911;h_9;9;0.0000
4911;h_8;8;0.0000
4911;h_7;7;0.0000
4911;h_6;6;0.0000
4911;h_5;5;0.0000
4911;h_4;4;0.0000
4911;h_3;3;0.0000
4911;h_2;2;0.0000
4911;h_1;1;0.0000
4911;h_0;0;0.0000
TOTAL;;;329.3115
4911;h_11;11;165.1213
4911;h_10;10;164.1902
4911;h_9;9;0.0000
4911;h_8;8;0.0000
4911;h_7;7;0.0000
4911;h_6;6;0.0000
4911;h_5;5;0.0000
4911;h_4;4;0.0000
4911;h_3;3;0.0000
4911;h_2;2;0.0000
4911;h_1;1;0.0000
4911;h_0;0;0.0000
TOTAL;;;329.3115
4911;h_11;11;165.1213
4911;h_10;10;164.1902
4911;h_9;9;0.0000
4911;h_8;8;0.0000
4911;h_7;7;0.0000
4911;h_6;6;0.0000
4911;h_5;5;0.0000
4911;h_4;4;0.0000
4911;h_3;3;0.0000
4911;h_2;2;0.0000
4911;h_1;1;0.0000
4911;h_0;0;0.0000
TOTAL;;;329.3115
4940;h_11;11;166.1058
4940;h_10;10;165.1691
4940;h_9;9;0.0000
4940;h_8;8;0.0000
4940;h_7;7;0.0000
4940;h_6;6;0.0000
4940;h_5;5;0.0000
4940;h_4;4;0.0000
4940;h_3;3;0.0000
4940;h_2;2;0.0000
4940;h_1;1;0.0000
4940;h_0;0;0.0000
TOTAL;;;331.2749
4940;h_11;11;166.1058
4940;h_10;10;165.1691
4940;h_9;9;0.0000
4940;h_8;8;0.0000
4940;h_7;7;0.0000
4940;h_6;6;0.0000
4940;h_5;5;0.0000
4940;h_4;4;0.0000
4940;h_3;3;0.0000
4940;h_2;2;0.0000
4940;h_1;1;0.0000
4940;h_0;0;0.0000
TOTAL;;;331.2749
4940;h_11;11;166.1058
4940;h_10;10;165.1691
4940;h_9;9;0.0000
4940;h_8;8;0.0000
4940;h_7;7;0.0000
4940;h_6;6;0.0000
4940;h_5;5;0.0000
4940;h_4;4;0.0000
4940;h_3;3;0.0000
4940;h_2;2;0.0000
4940;h_1;1;0.0000
4940;h_0;0;0.0000
TOTAL;;;331.2749
4940;h_11;11;166.1058
4940;h_10;10;165.1691
4940;h_9;9;0.0000
4940;h_8;8;0.0000
4940;h_7;7;0.0000
4940;h_6;6;0.0000
4940;h_5;5;0.0000
4940;h_4;4;0.0000
4940;h_3;3;0.0000
4940;h_2;2;0.0000
4940;h_1;1;0.0000
4940;h_0;0;0.0000
TOTAL;;;331.2749
4964;h_11;11;166.8912
4964;h_10;10;165.9501
4964;h_9;9;0.0000
4964;h_8;8;0.0000
4964;h_7;7;0.0000
4964;h_6;6;0.0000
4964;h_5;5;0.0000
4964;h_4;4;0.0000
4964;h_3;3;0.0000
4964;h_2;2;0.0000
4964;h_1;1;0.0000
4964;h_0;0;0.0000
TOTAL;;;332.8413
4964;h_11;11;166.8912
4964;h_10;10;165.9501
4964;h_9;9;0.0000
4964;h_8;8;0.0000
4964;h_7;7;0.0000
4964;h_6;6;0.0000
4964;h_5;5;0.0000
4964;h_4;4;0.0000
4964;h_3;3;0.0000
4964;h_2;2;0.0000
4964;h_1;1;0.0000
4964;h_0;0;0.0000
TOTAL;;;332.8413
4964;h_11;11;166.8912
4964;h_10;10;165.9501
4964;h_9;9;0.0000
4964;h_8;8;0.0000
4964;h_7;7;0.0000
4964;h_6;6;0.0000
4964;h_5;5;0.0000
4964;h_4;4;0.0000
4964;h_3;3;0.0000
4964;h_2;2;0.0000
4964;h_1;1;0.0000
4964;h_0;0;0.0000
TOTAL;;;332.8413
4964;h_11;11;166.8912
4964;h_10;10;165.9501
4964;h_9;9;0.0000
4964;h_8;8;0.0000
4964;h_7;7;0.0000
4964;h_6;6;0.0000
4964;h_5;5;0.0000
4964;h_4;4;0.0000
4964;h_3;3;0.0000
4964;h_2;2;0.0000
4964;h_1;1;0.0000
4964;h_0;0;0.0000
TOTAL;;;332.8413
4974;h_11;11;167.2275
4974;h_10;10;166.2844
4974;h_9;9;0.0000
4974;h_8;8;0.0000
4974;h_7;7;0.0000
4974;h_6;6;0.0000
4974;h_5;5;0.0000
4974;h_4;4;0.0000
4974;h_3;3;0.0000
4974;h_2;2;0.0000
4974;h_1;1;0.0000
4974;h_0;0;0.0000
TOTAL;;;333.5119
4974;h_11;11;167.2275
4974;h_10;10;166.2844
4974;h_9;9;0.0000
4974;h_8;8;0.0000
4974;h_7;7;0.0000
4974;h_6;6;0.0000
4974;h_5;5;0.0000
4974;h_4;4;0.0000
4974;h_3;3;0.0000
4974;h_2;2;0.0000
4974;h_1;1;0.0000
4974;h_0;0;0.0000
TOTAL;;;333.5119
4974;h_11;11;167.2275
4974;h_10;10;166.2844
4974;h_9;9;0.0000
4974;h_8;8;0.0000
4974;h_7;7;0.0000
4974;h_6;6;0.0000
4974;h_5;5;0.0000
4974;h_4;4;0.0000
4974;h_3;3;0.0000
4974;h_2;2;0.0000
4974;h_1;1;0.0000
4974;h_0;0;0.0000
TOTAL;;;333.5119
4974;h_11;11;167.2275
4974;h_10;10;166.2844
4974;h_9;9;0.0000
4974;h_8;8;0.0000
4974;h_7;7;0.0000
4974;h_6;6;0.0000
4974;h_5;5;0.0000
4974;h_4;4;0.0000
4974;h_3;3;0.0000
4974;h_2;2;0.0000
4974;h_1;1;0.0000
4974;h_0;0;0.0000
TOTAL;;;333.5119
4980;h_11;11;167.2275
4980;h_10;10;166.2844
4980;h_9;9;0.0000
4980;h_8;8;0.0000
4980;h_7;7;0.0000
4980;h_6;6;0.0000
4980;h_5;5;0.0000
4980;h_4;4;0.0000
4980;h_3;3;0.0000
4980;h_2;2;0.0000
4980;h_1;1;0.0000
4980;h_0;0;0.0000
TOTAL;;;333.5119
4980;h_11;11;167.2275
4980;h_10;10;166.2844
4980;h_9;9;0.0000
4980;h_8;8;0.0000
4980;h_7;7;0.0000
4980;h_6;6;0.0000
4980;h_5;5;0.0000
4980;h_4;4;0.0000
4980;h_3;3;0.0000
4980;h_2;2;0.0000
4980;h_1;1;0.0000
4980;h_0;0;0.0000
TOTAL;;;333.5119
4980;h_11;11;167.2275
4980;h_10;10;166.2844
4980;h_9;9;0.0000
4980;h_8;8;0.0000
4980;h_7;7;0.0000
4980;h_6;6;0.0000
4980;h_5;5;0.0000
4980;h_4;4;0.0000
4980;h_3;3;0.0000
4980;h_2;2;0.0000
