# units: hostId; total_energy(Wh)
5440;h_11;11;181.4127
5440;h_10;10;181.4111
5440;h_9;9;181.3902
5440;h_8;8;181.5750
5440;h_7;7;181.4111
5440;h_6;6;181.4069
5440;h_5;5;181.5750
5440;h_4;4;181.3678
5440;h_3;3;181.3895
5440;h_2;2;181.4096
5440;h_1;1;181.4475
5440;h_0;0;181.4077
TOTAL;;;2177.2042
5440;h_11;11;181.4127
5440;h_10;10;181.4111
5440;h_9;9;181.3902
5440;h_8;8;181.5750
5440;h_7;7;181.4111
5440;h_6;6;181.4069
5440;h_5;5;181.5750
5440;h_4;4;181.3678
5440;h_3;3;181.3895
5440;h_2;2;181.4096
5440;h_1;1;181.4475
5440;h_0;0;181.4077
TOTAL;;;2177.2042
5440;h_11;11;181.4127
5440;h_10;10;181.4111
5440;h_9;9;181.3902
5440;h_8;8;181.5750
5440;h_7;7;181.4111
5440;h_6;6;181.4069
5440;h_5;5;181.5750
5440;h_4;4;181.3678
5440;h_3;3;181.3895
5440;h_2;2;181.4096
5440;h_1;1;181.4475
5440;h_0;0;181.4077
TOTAL;;;2177.2042
6422;h_11;11;214.1841
6422;h_10;10;214.1823
6422;h_9;9;214.1577
6422;h_8;8;214.3758
6422;h_7;7;214.1823
6422;h_6;6;214.1773
6422;h_5;5;214.3758
6422;h_4;4;214.1312
6422;h_3;3;214.1568
6422;h_2;2;214.1805
6422;h_1;1;214.2253
6422;h_0;0;214.1782
TOTAL;;;2570.5073
6422;h_11;11;214.1841
6422;h_10;10;214.1823
6422;h_9;9;214.1577
6422;h_8;8;214.3758
6422;h_7;7;214.1823
6422;h_6;6;214.1773
6422;h_5;5;214.3758
6422;h_4;4;214.1312
6422;h_3;3;214.1568
6422;h_2;2;214.1805
6422;h_1;1;214.2253
6422;h_0;0;214.1782
TOTAL;;;2570.5073
6422;h_11;11;214.1841
6422;h_10;10;214.1823
6422;h_9;9;214.1577
6422;h_8;8;214.3758
6422;h_7;7;214.1823
6422;h_6;6;214.1773
6422;h_5;5;214.3758
6422;h_4;4;214.1312
6422;h_3;3;214.1568
6422;h_2;2;214.1805
6422;h_1;1;214.2253
6422;h_0;0;214.1782
TOTAL;;;2570.5073
6422;h_11;11;214.1841
6422;h_10;10;214.1823
6422;h_9;9;214.1577
6422;h_8;8;214.3758
6422;h_7;7;214.1823
