# units: time(s); hostId; energy(Wh)
300;6;0.0696
300;5;0.0699
300;4;0.0695
300;3;0.0696
300;2;0.0696
300;1;0.0697
300;0;0.0696
310;11;0.0696
310;10;0.0696
310;9;0.0696
310;8;0.0699
310;7;0.0696
310;6;0.0696
310;5;0.0699
310;4;0.0695
310;3;0.0696
310;2;0.0696
310;1;0.0697
310;0;0.0696
320;11;0.0696
320;10;0.0696
320;9;0.0696
320;8;0.0699
320;7;0.0696
320;6;0.0696
320;5;0.0699
320;4;0.0695
320;3;0.0696
320;2;0.0696
320;1;0.0697
320;0;0.0696
330;11;0.0696
330;10;0.0696
330;9;0.0696
330;8;0.0699
330;7;0.0696
330;6;0.0696
330;5;0.0699
330;4;0.0695
330;3;0.0696
330;2;0.0696
330;1;0.0697
330;0;0.0696
340;11;0.0696
340;10;0.0696
340;9;0.0696
340;8;0.0699
340;7;0.0696
340;6;0.0696
340;5;0.0699
340;4;0.0695
340;3;0.0696
340;2;0.0696
340;1;0.0697
340;0;0.0696
350;11;0.0696
350;10;0.0696
350;9;0.0696
350;8;0.0699
350;7;0.0696
350;6;0.0696
350;5;0.0699
350;4;0.0695
350;3;0.0696
350;2;0.0696
350;1;0.0697
350;0;0.0696
360;11;0.0696
360;10;0.0696
360;9;0.0696
360;8;0.0699
360;7;0.0696
360;6;0.0696
360;5;0.0699
360;4;0.0695
360;3;0.0696
360;2;0.0696
360;1;0.0697
360;0;0.0696
370;11;0.0696
370;10;0.0696
370;9;0.0696
370;8;0.0699
370;7;0.0696
370;6;0.0696
370;5;0.0699
370;4;0.0695
370;3;0.0696
370;2;0.0696
370;1;0.0697
370;0;0.0696
380;11;0.0696
380;10;0.0696
380;9;0.0696
380;8;0.0699
380;7;0.0696
380;6;0.0696
380;5;0.0699
380;4;0.0695
380;3;0.0696
380;2;0.0696
380;1;0.0697
380;0;0.0696
390;11;0.0696
390;10;0.0696
390;9;0.0696
390;8;0.0699
390;7;0.0696
390;6;0.0696
390;5;0.0699
390;4;0.0695
390;3;0.0696
390;2;0.0696
