# units: time(s); hostId; vmIds
350;2;0
350;1;13
350;0;14|17
360;11;9
360;10;8|3
360;9;15|19|4
360;8;10
360;7;2|7
360;6;11|5
360;5;12
360;4;16
360;3;6|1|18
360;2;0
360;1;13
360;0;14|17
370;11;9
370;10;8|3
370;9;15|19|4
370;8;10
370;7;2|7
370;6;11|5
370;5;12
370;4;16
370;3;6|1|18
370;2;0
370;1;13
370;0;14|17
380;11;9
380;10;8|3
380;9;15|19|4
380;8;10
380;7;2|7
380;6;11|5
380;5;12
380;4;16
380;3;6|1|18
380;2;0
380;1;13
380;0;14|17
390;11;9
390;10;8|3
390;9;15|19|4
390;8;10
390;7;2|7
390;6;11|5
390;5;12
390;4;16
390;3;6|1|18
390;2;0
390;1;13
390;0;14|17
400;11;9
400;10;8|3
400;9;15|19|4
400;8;10
400;7;2|7
400;6;11|5
400;5;12
400;4;16
400;3;6|1|18
400;2;0
400;1;13
400;0;14|17
410;11;9
410;10;8|3
410;9;15|19|4
410;8;10
410;7;2|7
410;6;11|5
410;5;12
410;4;16
410;3;6|1|18
410;2;0
410;1;13
410;0;14|17
420;11;9
420;10;8|3
420;9;15|19|4
420;8;10
420;7;2|7
420;6;11|5
420;5;12
420;4;16
420;3;6|1|18
420;2;0
420;1;13
420;0;14|17
430;11;9
430;10;8|3
430;9;15|19|4
430;8;10
430;7;2|7
430;6;11|5
430;5;12
430;4;16
430;3;6|1|18
430;2;0
430;1;13
430;0;14|17
440;11;9
440;10;8|3
440;9;15|19|4
440;8;10
440;7;2|7
440;6;11|5
440;5;12
440;4;16
440;3;6|1|18
440;2;0
440;1;13
440;0;14|17
450;11;9
450;10;8|3
450;9;15|19|4
450;8;10
450;7;2|7
450;6;11|5
450;5;12
450;4;16
450;3;6|1|18
450;2;0
450;1;13
450;0;14|17
460;11;9
460;10;8|3
460;9;15|19|4
460;8;10
460;7;2|7
460;6;11|5
460;5;12
460;4;16
460;3;6|1|18
460;2;0
460;1;13
460;0;14|17
470;11;9
470;10;8|3
470;9;15|19|4
470;8;10
470;7;2|7
470;6;11|5
470;5;12
470;4;16
470;3;6|1|18
470;2;0
470;1;13
470;0;14|17
480;11;9
480;10;8|3
480;9;15|19|4
480;8;10
480;7;2|7
480;6;11|5
480;5;12
480;4;16
480;3;6|1|18
480;2;0
480;1;13
480;0;14|17
490;11;9
490;10;8|3
490;9;15|19|4
490;8;10
490;7;2|7
490;6;11|5
490;5;12
490;4;16
490;3;6|1|18
490;2;0
490;1;13
490;0;14|17
500;11;9
500;10;8|3
500;9;15|19|4
500;8;10
500;7;2|7
500;6;11|5
500;5;12
500;4;16
500;3;6|1|18
500;2;0
500;1;13
500;0;14|17
510;11;9
510;10;8|3
510;9;15|19|4
510;8;10
510;7;2|7
510;6;11|5
510;5;12
510;4;16
510;3;6|1|18
510;2;0
510;1;13
510;0;14|17
520;11;9
520;10;8|3
520;9;15|19|4
520;8;10
